routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
easum	-	64	1.3474	1.2416	1.2542	1.2538	1.0550	1.0550	1.0566	1.1058	1.0565
easum	-	128	1.6582	1.5309	1.5528	1.5509	1.2082	1.2082	1.2045	1.0760	0.7567
easum	-	256	0.9750	1.7348	1.7313	1.7314	1.3189	1.3189	1.3113	1.0357	1.3113
easum	-	512	1.9853	1.8553	1.8523	1.8527	1.2991	1.2991	1.3665	1.4620	1.3678
easum	-	1024	1.7661	1.9000	1.9045	1.9033	1.3992	1.3992	1.3993	1.3649	1.3978
easum	-	2048	2.0697	1.9334	1.4376	1.8969	1.2768	1.2768	1.4108	1.2502	1.3341
easum	-	4096	1.2500	1.9540	1.9568	1.9569	1.4124	1.4124	1.3956	1.3838	1.4090
easum	-	16384	1.8496	1.3561	1.8675	1.8966	1.4221	1.4221	1.4195	1.2416	1.4120
easum	-	65536	1.7178	4.4567	1.7154	1.7114	1.3916	1.3916	1.3832	1.4083	1.3973
eaxpy	-	64	1.1265	0.8735	1.1429	1.1443	1.1381	1.1381	1.1402	1.1405	0.9451
eaxpy	-	128	1.2406	1.0791	1.2264	1.2262	1.2013	1.2013	1.2242	1.2247	1.0334
eaxpy	-	256	1.2947	1.0166	1.2647	1.2642	1.2574	1.2574	1.2654	1.2652	1.2636
eaxpy	-	512	1.3331	1.0807	1.2884	1.2885	1.2542	1.2542	1.2886	1.2572	1.2190
eaxpy	-	1024	1.3467	1.3465	1.0624	1.2882	1.1755	1.1755	1.3013	1.3009	1.3018
eaxpy	-	2048	1.3344	1.3365	1.3102	1.3059	1.2876	1.2876	1.3104	1.2996	1.2583
eaxpy	-	4096	1.3609	1.3605	1.3103	1.3099	1.3049	1.3049	1.3105	1.3111	1.3047
eaxpy	-	16384	1.3448	2.6865	1.2980	1.3092	1.2812	1.2812	1.3108	1.3089	1.3066
eaxpy	-	65536	1.3549	4.0038	1.2943	1.3073	1.2993	1.2993	1.3063	1.3067	1.2935
ecabs1	-	200	0.1528	0.1524	0.1584	0.1567	0.1587	0.1587	0.1588	0.1585	0.1587
ecopy	-	64	21.5044	18.7412	82.2718	82.7546	22.0450	22.0450	22.0698	21.9098	18.8531
ecopy	-	128	23.6553	21.8234	136.7313	136.7897	24.0592	24.0592	24.0882	23.9666	22.0703
ecopy	-	256	24.7991	23.7622	181.2273	180.2848	25.1173	25.1173	25.1322	25.0768	23.9768
ecopy	-	512	24.6404	24.9015	217.8177	218.4127	25.3809	25.3809	25.3791	25.3751	24.8073
ecopy	-	1024	25.6432	24.9838	145.3271	136.6471	25.5461	25.5461	25.1072	25.5522	25.5020
ecopy	-	2048	25.8921	25.6524	102.9324	107.0291	25.5949	25.5949	25.4892	25.2721	25.5265
ecopy	-	4096	25.4323	25.8641	86.2846	103.2851	25.7313	25.7313	25.7637	25.7909	24.5952
ecopy	-	16384	25.8744	40.7085	68.6206	69.3313	25.6632	25.6632	25.7986	25.8038	25.7932
ecopy	-	65536	25.6111	78.4039	68.4168	71.5404	25.7906	25.7906	25.8531	25.7135	25.8579
edot	-	64	1.9357	1.9318	1.9270	1.9295	1.6736	1.6736	1.6796	1.6785	1.6840
edot	-	128	2.3055	2.3154	2.2506	2.2503	1.8707	1.8707	1.8734	1.8704	1.8724
edot	-	256	2.5442	2.5406	2.4470	2.4495	1.9928	1.9928	1.9904	1.9895	1.9913
edot	-	512	2.6949	2.6879	2.5297	2.5324	2.0650	2.0650	2.0651	2.0645	2.0634
edot	-	1024	2.6200	2.6302	2.5931	2.5208	2.1005	2.1005	2.1031	2.0607	2.1022
edot	-	2048	2.2573	2.2425	2.4467	2.2874	2.1201	2.1201	2.1014	2.1187	2.1190
edot	-	4096	2.2471	2.2376	2.4803	2.2432	2.0988	2.0988	2.0964	2.1062	2.1033
edot	-	16384	2.0258	3.3965	2.0977	2.0676	1.8893	1.8893	1.9636	1.9644	1.9849
edot	-	65536	1.9961	5.4459	2.1541	1.9250	1.9548	1.9548	1.9637	1.9727	1.9897
egbmv	N	128	1.0494	1.0530	1.1870	1.1430	1.1791	1.1791	1.1764	1.1830	1.1929
egbmv	N	256	1.0284	1.0317	1.1486	1.1287	1.1599	1.1599	1.1385	1.1678	1.1692
egbmv	N	512	1.0199	1.9554	1.1474	1.0850	1.1261	1.1261	1.1466	1.1576	1.1354
egbmv	N	1024	1.0160	2.2985	1.1331	1.1303	1.1223	1.1223	1.1432	1.1529	1.1431
egbmv	N/x-1	128	1.0045	1.0583	1.2019	1.1976	1.1888	1.1888	1.1849	1.1818	1.1978
egbmv	N/x-1	256	1.0829	1.0348	1.1751	1.1705	1.1628	1.1628	1.1447	1.2268	1.1715
egbmv	N/x-1	512	1.0690	1.8904	1.1591	1.1552	1.1479	1.1479	1.1465	1.2122	1.1579
egbmv	N/x-1	1024	1.0589	2.2115	1.1522	1.1517	1.1434	1.1434	1.1383	1.1527	1.1383
egbmv	N/x-1/y-1	128	1.0637	1.0650	0.9656	1.0603	1.0474	1.0474	1.0543	1.0616	1.0581
egbmv	N/x-1/y-1	256	1.0369	1.0361	1.0380	1.0317	0.9987	0.9987	1.0240	1.0332	0.9929
egbmv	N/x-1/y-1	512	1.0225	1.8905	0.9827	1.0190	1.0387	1.0387	1.0167	1.0207	1.0216
egbmv	N/x-1/y-1	1024	1.0225	2.2085	0.9958	1.0114	1.0031	1.0031	1.0010	1.0552	1.0068
egbmv	N/x-1/y2	128	1.0631	1.0610	1.0581	1.0564	1.0571	1.0571	1.0559	1.0598	1.0614
egbmv	N/x-1/y2	256	1.0364	1.0121	1.0329	1.0250	1.0808	1.0808	1.0263	1.0324	1.0350
egbmv	N/x-1/y2	512	1.0190	1.8874	1.0366	1.0077	1.0267	1.0267	1.0000	1.0219	1.0068
egbmv	N/x-1/y2	1024	1.0170	2.2974	0.9610	1.0113	0.9645	0.9645	1.0118	1.0082	1.0156
egbmv	N/x2	128	1.0637	1.0599	1.2009	1.1802	1.0795	1.0795	1.2164	1.2247	1.1954
egbmv	N/x2	256	1.0580	1.0346	1.1683	1.2024	1.1585	1.1585	1.1891	1.1987	1.1652
egbmv	N/x2	512	1.0418	1.6733	1.1367	1.1864	1.1253	1.1253	1.1757	1.1809	1.1574
egbmv	N/x2	1024	1.0400	2.3124	1.1343	1.1799	1.1396	1.1396	1.1262	1.1797	1.1295
egbmv	N/x2/y-1	128	1.0567	1.0641	1.0596	1.0835	1.0572	1.0572	1.0814	1.0891	1.0594
egbmv	N/x2/y-1	256	1.0854	1.0364	1.0337	0.9693	1.0291	1.0291	1.0532	0.9398	1.0346
egbmv	N/x2/y-1	512	0.9878	1.8958	1.0178	1.0009	1.0162	1.0162	0.9920	0.9854	1.0221
egbmv	N/x2/y-1	1024	1.0446	2.2202	1.0120	1.0233	1.0118	1.0118	1.0267	1.0591	1.0167
egbmv	N/x2/y2	128	1.0867	1.0596	1.0567	1.0606	1.0540	1.0540	1.0240	1.0863	1.0628
egbmv	N/x2/y2	256	1.0601	1.0044	1.0273	1.0241	1.0283	1.0283	1.0528	1.0596	1.0351
egbmv	N/x2/y2	512	1.0310	1.8308	1.0171	1.0431	1.0165	1.0165	1.0420	1.0283	1.0226
egbmv	N/x2/y2	1024	0.9993	2.2703	1.0125	1.0365	1.0109	1.0109	1.0143	0.9955	1.0156
egbmv	N/y-1	128	0.9757	1.0647	1.0492	1.0596	1.0548	1.0548	1.0005	1.0260	1.0601
egbmv	N/y-1	256	1.0600	1.0362	1.0279	1.0335	0.9905	0.9905	1.0281	1.0569	1.0352
egbmv	N/y-1	512	1.0024	1.9110	1.0138	0.9994	1.0139	1.0139	1.0136	1.0313	1.0223
egbmv	N/y-1	1024	1.0409	2.2635	1.0045	1.0118	1.0106	1.0106	1.0097	1.0406	1.0086
egbmv	N/y2	128	1.0634	1.0621	1.0526	1.0553	1.0511	1.0511	1.0498	1.0601	1.0616
egbmv	N/y2	256	1.0359	1.0374	1.0272	1.0335	1.0281	1.0281	1.0285	1.0595	1.0354
egbmv	N/y2	512	1.0458	1.8727	1.0033	1.0195	1.0137	1.0137	1.0152	1.0459	1.0214
egbmv	N/y2	1024	1.0387	2.2503	1.0034	1.0090	1.0102	1.0102	1.0052	1.0025	1.0169
