run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mger	-	128	200	18595.3	317351.3
par-omp1	1	mger	-	256	200	72169.3	1238789.3
par-omp1	1	mger	-	512	60	279296.2	4881109.3
par-omp1	1	mger	-	1024	15	1537424.7	20335861.1
par-omp1	1	mger	y2	128	200	88460.3	318139.2
par-omp1	1	mger	y2	256	200	334774.7	1230651.5
par-omp1	1	mger	y2	512	58	1367797.4	5000832.0
par-omp1	1	mger	y2	1024	15	5763851.2	19639714.1
par-omp1	1	mger	y-1	128	200	86574.1	315986.4
par-omp1	1	mger	y-1	256	200	350718.9	1266401.3
par-omp1	1	mger	y-1	512	60	1381947.3	4899357.1
par-omp1	1	mger	y-1	1024	14	5734641.8	20819148.4
par-omp1	1	mger	x2	128	200	85684.7	303620.3
par-omp1	1	mger	x2	256	200	342294.9	1191426.9
par-omp1	1	mger	x2	512	62	1343437.9	4731944.9
par-omp1	1	mger	x2	1024	15	5728529.6	19375030.5
par-omp1	1	mger	x2/y2	128	200	84891.5	299620.8
par-omp1	1	mger	x2/y2	256	200	326460.4	1184028.0
par-omp1	1	mger	x2/y2	512	60	1321255.6	4888166.8
par-omp1	1	mger	x2/y2	1024	15	5842211.9	19479068.3
par-omp1	1	mger	x2/y-1	128	200	83110.0	297738.4
par-omp1	1	mger	x2/y-1	256	200	334995.9	1214117.3
par-omp1	1	mger	x2/y-1	512	62	1346165.8	4740761.8
par-omp1	1	mger	x2/y-1	1024	15	5687803.5	19732403.4
par-omp1	1	mger	x-1	128	200	84756.9	300557.8
par-omp1	1	mger	x-1	256	200	331461.7	1188289.8
par-omp1	1	mger	x-1	512	59	1372362.7	4955646.9
par-omp1	1	mger	x-1	1024	15	5721582.6	19856979.9
par-omp1	1	mger	x-1/y2	128	200	85571.8	301766.5
par-omp1	1	mger	x-1/y2	256	200	350691.0	1223974.8
par-omp1	1	mger	x-1/y2	512	60	1358679.3	4861519.7
par-omp1	1	mger	x-1/y2	1024	15	5881799.4	20074115.8
