run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	whemv	U	128	200	82993.3	799079.4
par-omp1	1	whemv	U	256	97	254739.9	3093168.6
par-omp1	1	whemv	U	512	25	912820.7	12282391.6
par-omp1	1	whemv	U/y2	128	200	395650.2	790745.0
par-omp1	1	whemv	U/y2	256	99	1495798.2	3061084.8
par-omp1	1	whemv	U/y2	512	25	6143196.4	12265924.7
par-omp1	1	whemv	U/y-1	128	200	366711.0	787457.0
par-omp1	1	whemv	U/y-1	256	100	1494381.9	3023550.3
par-omp1	1	whemv	U/y-1	512	25	5802548.5	12098580.6
par-omp1	1	whemv	U/x2	128	200	377969.5	784593.3
par-omp1	1	whemv	U/x2	256	99	1476183.9	3030700.3
par-omp1	1	whemv	U/x2	512	26	5823957.2	11919379.5
par-omp1	1	whemv	U/x2/y2	128	200	367716.6	752860.8
par-omp1	1	whemv	U/x2/y2	256	101	1453281.2	2991815.7
par-omp1	1	whemv	U/x2/y2	512	25	5804652.1	12006406.2
par-omp1	1	whemv	U/x2/y-1	128	200	368314.5	753417.0
par-omp1	1	whemv	U/x2/y-1	256	100	1462394.8	3009129.8
par-omp1	1	whemv	U/x2/y-1	512	25	5865993.3	12197755.0
par-omp1	1	whemv	U/x-1	128	200	382194.9	755857.4
par-omp1	1	whemv	U/x-1	256	99	1457114.7	3059167.3
par-omp1	1	whemv	U/x-1	512	25	5838226.2	12239591.3
par-omp1	1	whemv	U/x-1/y2	128	200	368159.9	770939.9
par-omp1	1	whemv	U/x-1/y2	256	100	1456673.5	3024916.3
par-omp1	1	whemv	U/x-1/y2	512	25	5770617.4	12043990.9
par-omp1	1	whemv	U/x-1/y-1	128	200	367979.7	760936.2
par-omp1	1	whemv	U/x-1/y-1	256	100	1460906.0	3002728.2
par-omp1	1	whemv	U/x-1/y-1	512	26	5872026.0	11958794.1
par-omp1	1	whemv	L	128	200	73620.9	764201.4
par-omp1	1	whemv	L	256	101	242274.8	2982377.1
par-omp1	1	whemv	L	512	26	855435.1	11964860.6
par-omp1	1	whemv	L/y2	128	200	419431.2	789392.6
par-omp1	1	whemv	L/y2	256	100	1632589.2	3024671.1
par-omp1	1	whemv	L/y2	512	25	6384650.4	12057323.6
par-omp1	1	whemv	L/y-1	128	200	400639.1	762025.7
par-omp1	1	whemv	L/y-1	256	100	1596350.6	3015651.6
par-omp1	1	whemv	L/y-1	512	25	6332326.1	12251002.8
par-omp1	1	whemv	L/x2	128	200	410377.3	786627.8
par-omp1	1	whemv	L/x2	256	100	1606723.5	3019718.8
par-omp1	1	whemv	L/x2	512	25	6302646.4	12064736.7
par-omp1	1	whemv	L/x2/y2	128	200	401426.9	752788.3
par-omp1	1	whemv	L/x2/y2	256	100	1586111.9	3010088.4
par-omp1	1	whemv	L/x2/y2	512	25	6387935.7	12199870.0
par-omp1	1	whemv	L/x2/y-1	128	200	401819.1	774742.0
par-omp1	1	whemv	L/x2/y-1	256	101	1605354.3	2993005.0
par-omp1	1	whemv	L/x2/y-1	512	26	6318218.9	11957649.0
par-omp1	1	whemv	L/x-1	128	200	400143.1	756719.3
par-omp1	1	whemv	L/x-1	256	101	1583198.3	2988553.0
par-omp1	1	whemv	L/x-1	512	25	6300008.0	12005589.1
par-omp1	1	whemv	L/x-1/y2	128	200	401048.7	758404.0
par-omp1	1	whemv	L/x-1/y2	256	101	1681944.6	2999307.0
par-omp1	1	whemv	L/x-1/y2	512	25	6336509.2	12197528.9
par-omp1	1	whemv	L/x-1/y-1	128	200	408313.5	772841.3
par-omp1	1	whemv	L/x-1/y-1	256	98	1632251.7	3076480.8
par-omp1	1	whemv	L/x-1/y-1	512	25	6301738.6	12192853.0
par-omp4	4	whemv	U	128	200	78713.3	761286.6
par-omp4	4	whemv	U	256	97	82844.6	3100700.8
par-omp4	4	whemv	U	512	25	275105.6	12416671.0
par-omp4	4	whemv	U/y2	128	200	373786.6	752211.1
