run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	whemv	U	128	200	78388.3	764670.1
par-omp1	1	whemv	U	256	99	245459.3	3045451.3
par-omp1	1	whemv	U	512	25	918397.1	12173135.7
par-omp1	1	whemv	U/y2	128	200	355988.3	755892.3
par-omp1	1	whemv	U/y2	256	97	1467730.8	3115749.4
par-omp1	1	whemv	U/y2	512	24	5862682.6	12520562.1
par-omp1	1	whemv	U/y-1	128	200	367243.6	796222.2
par-omp1	1	whemv	U/y-1	256	100	1453411.1	3018515.6
par-omp1	1	whemv	U/y-1	512	25	5760965.5	12162102.9
par-omp1	1	whemv	U/x2	128	200	371222.2	772102.6
par-omp1	1	whemv	U/x2	256	96	1464127.8	3141960.5
par-omp1	1	whemv	U/x2	512	25	5679154.9	12166193.0
par-omp1	1	whemv	U/x2/y2	128	200	359321.8	783814.5
par-omp1	1	whemv	U/x2/y2	256	100	1444197.9	3001905.4
par-omp1	1	whemv	U/x2/y2	512	25	5978578.5	12472544.4
par-omp1	1	whemv	U/x2/y-1	128	200	359375.0	760055.8
par-omp1	1	whemv	U/x2/y-1	256	97	1447987.5	3114732.1
par-omp1	1	whemv	U/x2/y-1	512	25	5654644.3	12145890.0
par-omp1	1	whemv	U/x-1	128	200	361899.7	766568.7
par-omp1	1	whemv	U/x-1	256	101	1457070.9	2998668.6
par-omp1	1	whemv	U/x-1	512	25	5793466.9	12475426.8
par-omp1	1	whemv	U/x-1/y2	128	200	361868.3	757020.2
par-omp1	1	whemv	U/x-1/y2	256	98	1438086.5	3092469.7
par-omp1	1	whemv	U/x-1/y2	512	25	5755147.7	12224362.8
par-omp1	1	whemv	U/x-1/y-1	128	200	372198.6	792561.9
par-omp1	1	whemv	U/x-1/y-1	256	99	1452323.6	3053813.3
par-omp1	1	whemv	U/x-1/y-1	512	24	5774842.6	12715306.0
par-omp1	1	whemv	L	128	200	78898.4	789354.2
par-omp1	1	whemv	L	256	97	246143.8	3098178.5
par-omp1	1	whemv	L	512	25	898388.6	12456282.7
par-omp1	1	whemv	L/y2	128	200	436192.9	796033.9
par-omp1	1	whemv	L/y2	256	95	1686921.4	3162739.4
par-omp1	1	whemv	L/y2	512	25	6813251.9	12472000.0
par-omp1	1	whemv	L/y-1	128	200	425281.1	778369.4
par-omp1	1	whemv	L/y-1	256	97	1752373.3	3103994.8
par-omp1	1	whemv	L/y-1	512	24	6925843.5	12736466.9
par-omp1	1	whemv	L/x2	128	200	422193.4	763993.8
par-omp1	1	whemv	L/x2	256	96	1696089.2	3126107.0
par-omp1	1	whemv	L/x2	512	25	6621589.3	12240411.7
par-omp1	1	whemv	L/x2/y2	128	200	429680.8	794385.4
par-omp1	1	whemv	L/x2/y2	256	98	1713968.9	3089957.9
par-omp1	1	whemv	L/x2/y2	512	25	6807553.5	12470489.4
par-omp1	1	whemv	L/x2/y-1	128	200	415319.6	781973.8
par-omp1	1	whemv	L/x2/y-1	256	95	1701346.8	3161097.5
par-omp1	1	whemv	L/x2/y-1	512	24	6853544.1	12568130.5
par-omp1	1	whemv	L/x-1	128	200	443616.1	864800.9
par-omp1	1	whemv	L/x-1	256	93	1759155.8	3236606.4
par-omp1	1	whemv	L/x-1	512	24	7100411.6	12674043.2
par-omp1	1	whemv	L/x-1/y2	128	200	425611.6	789816.7
par-omp1	1	whemv	L/x-1/y2	256	97	1710250.0	3100105.9
par-omp1	1	whemv	L/x-1/y2	512	25	6829586.2	12262636.5
par-omp1	1	whemv	L/x-1/y-1	128	200	415380.7	788828.5
par-omp1	1	whemv	L/x-1/y-1	256	100	1691527.1	3011521.8
par-omp1	1	whemv	L/x-1/y-1	512	24	6788669.0	12548925.9
par-omp4	4	whemv	U	128	200	80132.7	762941.1
par-omp4	4	whemv	U	256	95	85124.8	3178683.5
par-omp4	4	whemv	U	512	24	274716.1	12916726.5
par-omp4	4	whemv	U/y2	128	200	379130.0	766195.5
par-omp4	4	whemv	U/y2	256	97	1433807.2	3101836.7
par-omp4	4	whemv	U/y2	512	25	5767893.1	12126482.6
par-omp4	4	whemv	U/y-1	128	200	371427.0	759359.1
par-omp4	4	whemv	U/y-1	256	100	1470121.9	3015823.6
par-omp4	4	whemv	U/y-1	512	24	5704000.8	12598115.9
par-omp4	4	whemv	U/x2	128	200	372140.3	774629.8
par-omp4	4	whemv	U/x2	256	96	1428515.6	3141814.3
par-omp4	4	whemv	U/x2	512	26	5844514.4	11981046.0
par-omp4	4	whemv	U/x2/y2	128	200	366248.2	775439.1
par-omp4	4	whemv	U/x2/y2	256	98	1470963.3	3061320.9
par-omp4	4	whemv	U/x2/y2	512	24	5770726.0	12620170.7
par-omp4	4	whemv	U/x2/y-1	128	200	365528.0	783265.8
par-omp4	4	whemv	U/x2/y-1	256	97	1412593.9	3096856.0
par-omp4	4	whemv	U/x2/y-1	512	25	5883611.6	12245244.9
par-omp4	4	whemv	U/x-1	128	200	359743.5	784359.9
par-omp4	4	whemv	U/x-1	256	99	1454225.7	3039873.1
par-omp4	4	whemv	U/x-1	512	24	5696149.6	12523315.2
par-omp4	4	whemv	U/x-1/y2	128	200	370606.6	790741.2
par-omp4	4	whemv	U/x-1/y2	256	96	1417236.9	3142487.8
par-omp4	4	whemv	U/x-1/y2	512	25	5881217.1	12125511.9
par-omp4	4	whemv	U/x-1/y-1	128	200	356558.9	784332.8
par-omp4	4	whemv	U/x-1/y-1	256	96	1462236.3	3125176.0
par-omp4	4	whemv	U/x-1/y-1	512	25	5663016.3	12311246.8
par-omp4	4	whemv	L	128	200	78118.3	789976.9
par-omp4	4	whemv	L	256	96	82282.7	3154845.7
par-omp4	4	whemv	L	512	24	265318.5	12727485.0
par-omp4	4	whemv	L/y2	128	200	428431.4	788224.1
par-omp4	4	whemv	L/y2	256	97	1678829.9	3094381.7
par-omp4	4	whemv	L/y2	512	24	6844207.2	12894598.0
par-omp4	4	whemv	L/y-1	128	200	432741.8	792924.4
par-omp4	4	whemv	L/y-1	256	96	1723603.4	3126959.4
par-omp4	4	whemv	L/y-1	512	25	6617762.8	12350568.3
par-omp4	4	whemv	L/x2	128	200	429413.3	785203.3
par-omp4	4	whemv	L/x2	256	98	1696934.4	3084814.9
par-omp4	4	whemv	L/x2	512	24	6948521.6	12672968.1
par-omp4	4	whemv	L/x2/y2	128	200	438288.1	789921.1
par-omp4	4	whemv	L/x2/y2	256	96	1735670.7	3156826.2
par-omp4	4	whemv	L/x2/y2	512	25	6612668.9	12190954.9
par-omp4	4	whemv	L/x2/y-1	128	200	436301.9	781954.0
par-omp4	4	whemv	L/x2/y-1	256	99	1706583.3	3053296.3
par-omp4	4	whemv	L/x2/y-1	512	25	6889336.9	12342251.9
par-omp4	4	whemv	L/x-1	128	200	417124.6	768268.8
par-omp4	4	whemv	L/x-1	256	97	1686085.8	3108861.2
par-omp4	4	whemv	L/x-1	512	25	6587643.2	12163835.8
par-omp4	4	whemv	L/x-1/y2	128	200	437091.5	792376.2
par-omp4	4	whemv	L/x-1/y2	256	99	1687765.7	3044869.9
par-omp4	4	whemv	L/x-1/y2	512	25	6807043.4	12214467.4
par-omp4	4	whemv	L/x-1/y-1	128	200	417914.6	797431.2
par-omp4	4	whemv	L/x-1/y-1	256	98	1682063.9	3081796.3
par-omp4	4	whemv	L/x-1/y-1	512	25	6616832.8	12589035.0
ob-omp1	1	whemv	U	128	200	436916.4	793091.7
ob-omp1	1	whemv	U	256	98	1652687.0	3072123.9
ob-omp1	1	whemv	U	512	25	6750179.4	12105762.5
ob-omp1	1	whemv	U/y2	128	200	392471.5	778928.4
ob-omp1	1	whemv	U/y2	256	98	1596753.0	3082904.0
ob-omp1	1	whemv	U/y2	512	25	6237469.6	12378481.6
ob-omp1	1	whemv	U/y-1	128	200	406749.6	801379.4
ob-omp1	1	whemv	U/y-1	256	98	1600820.5	3067197.8
ob-omp1	1	whemv	U/y-1	512	25	6408101.2	12217072.0
ob-omp1	1	whemv	U/x2	128	200	393233.6	776763.8
ob-omp1	1	whemv	U/x2	256	97	1623799.4	3114029.1
ob-omp1	1	whemv	U/x2	512	25	6231313.2	12331768.1
ob-omp1	1	whemv	U/x2/y2	128	200	415876.7	784554.0
ob-omp1	1	whemv	U/x2/y2	256	98	1563391.9	3091149.7
ob-omp1	1	whemv	U/x2/y2	512	24	6451577.9	12561698.3
ob-omp1	1	whemv	U/x2/y-1	128	200	416800.8	787395.5
ob-omp1	1	whemv	U/x2/y-1	256	97	1597348.0	3115111.1
ob-omp1	1	whemv	U/x2/y-1	512	25	6271873.9	12448575.1
ob-omp1	1	whemv	U/x-1	128	200	416290.1	786757.5
ob-omp1	1	whemv	U/x-1	256	99	1565160.6	3054590.5
ob-omp1	1	whemv	U/x-1	512	25	6577314.2	12290983.2
ob-omp1	1	whemv	U/x-1/y2	128	200	393046.3	794920.9
ob-omp1	1	whemv	U/x-1/y2	256	96	1597852.9	3126379.1
ob-omp1	1	whemv	U/x-1/y2	512	24	6253336.1	12675049.1
ob-omp1	1	whemv	U/x-1/y-1	128	200	415966.2	776368.8
ob-omp1	1	whemv	U/x-1/y-1	256	98	1572740.7	3073646.3
ob-omp1	1	whemv	U/x-1/y-1	512	25	6363189.2	12237427.2
ob-omp1	1	whemv	L	128	200	360084.3	783223.1
ob-omp1	1	whemv	L	256	95	1506356.5	3170190.4
ob-omp1	1	whemv	L	512	25	5829947.9	12456526.2
ob-omp1	1	whemv	L/y2	128	200	395320.0	781497.8
ob-omp1	1	whemv	L/y2	256	97	1475593.9	3108978.3
ob-omp1	1	whemv	L/y2	512	25	6005578.1	12334203.5
ob-omp1	1	whemv	L/y-1	128	200	378936.5	774312.7
ob-omp1	1	whemv	L/y-1	256	96	1502999.7	3153587.9
ob-omp1	1	whemv	L/y-1	512	25	5821267.8	12323540.6
ob-omp1	1	whemv	L/x2	128	200	385400.6	785652.7
ob-omp1	1	whemv	L/x2	256	99	1492358.8	3050934.7
ob-omp1	1	whemv	L/x2	512	25	6068373.1	12288140.1
ob-omp1	1	whemv	L/x2/y2	128	200	370598.1	767563.6
ob-omp1	1	whemv	L/x2/y2	256	96	1515225.9	3151266.1
ob-omp1	1	whemv	L/x2/y2	512	25	5851917.8	12461959.7
ob-omp1	1	whemv	L/x2/y-1	128	200	389049.1	787512.9
ob-omp1	1	whemv	L/x2/y-1	256	99	1502879.4	3053718.4
ob-omp1	1	whemv	L/x2/y-1	512	25	5993973.7	12164585.4
ob-omp1	1	whemv	L/x-1	128	200	375004.5	764568.9
ob-omp1	1	whemv	L/x-1	256	97	1501122.4	3111556.4
ob-omp1	1	whemv	L/x-1	512	25	5849955.7	12245605.2
ob-omp1	1	whemv	L/x-1/y2	128	200	389596.6	807264.0
ob-omp1	1	whemv	L/x-1/y2	256	96	1554709.7	3162325.0
ob-omp1	1	whemv	L/x-1/y2	512	25	6125123.4	12249477.5
ob-omp1	1	whemv	L/x-1/y-1	128	200	371827.1	759137.4
ob-omp1	1	whemv	L/x-1/y-1	256	94	1516524.3	3196678.3
ob-omp1	1	whemv	L/x-1/y-1	512	25	5846884.3	12296527.5
ob-omp4	4	whemv	U	128	200	434971.1	803452.1
ob-omp4	4	whemv	U	256	94	420576.6	3195727.5
ob-omp4	4	whemv	U	512	23	1628370.5	13173112.2
ob-omp4	4	whemv	U/y2	128	200	406908.0	765074.3
ob-omp4	4	whemv	U/y2	256	97	1583054.9	3120925.8
ob-omp4	4	whemv	U/y2	512	25	6317090.3	12216647.8
ob-omp4	4	whemv	U/y-1	128	200	406914.3	785144.8
ob-omp4	4	whemv	U/y-1	256	99	1633616.7	3054121.7
ob-omp4	4	whemv	U/y-1	512	24	6396836.8	12634313.1
ob-omp4	4	whemv	U/x2	128	200	406791.7	765841.3
ob-omp4	4	whemv	U/x2	256	96	1572956.8	3126664.5
ob-omp4	4	whemv	U/x2	512	25	6467135.1	12297649.6
ob-omp4	4	whemv	U/x2/y2	128	200	407479.0	769457.6
ob-omp4	4	whemv	U/x2/y2	256	99	1617915.2	3056899.1
ob-omp4	4	whemv	U/x2/y2	512	24	6359318.0	12593261.6
ob-omp4	4	whemv	U/x2/y-1	128	200	406977.4	766087.2
ob-omp4	4	whemv	U/x2/y-1	256	96	1588191.6	3153576.0
