run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	easum	-	64	200	68.2	83.2
epopenblas-omp1	ep_	1	0	easum	-	128	200	111.4	142.6
epopenblas-omp1	ep_	1	0	easum	-	256	200	198.4	262.8
epopenblas-omp1	ep_	1	0	easum	-	512	200	370.4	503.1
epopenblas-omp1	ep_	1	0	easum	-	1024	200	728.8	983.5
epopenblas-omp1	ep_	1	0	easum	-	2048	200	1482.9	1954.4
epopenblas-omp1	ep_	1	0	easum	-	4096	200	4199.7	3911.2
epopenblas-omp1	ep_	1	0	easum	-	16384	200	13572.0	16244.8
epopenblas-omp1	ep_	1	0	easum	-	65536	200	49189.6	62587.1
epopenblas-omp4	ep_	4	0-3	easum	-	64	200	68.3	82.3
epopenblas-omp4	ep_	4	0-3	easum	-	128	200	112.8	142.6
epopenblas-omp4	ep_	4	0-3	easum	-	256	200	199.6	262.6
epopenblas-omp4	ep_	4	0-3	easum	-	512	200	371.9	503.4
epopenblas-omp4	ep_	4	0-3	easum	-	1024	200	750.6	983.4
epopenblas-omp4	ep_	4	0-3	easum	-	2048	200	1424.4	1967.0
epopenblas-omp4	ep_	4	0-3	easum	-	4096	200	2813.3	4123.9
epopenblas-omp4	ep_	4	0-3	easum	-	16384	200	3790.8	15597.2
epopenblas-omp4	ep_	4	0-3	easum	-	65536	200	12798.4	63004.6
parallel-blas-omp1	par_	1	0	easum	-	64	200	72.4	81.6
parallel-blas-omp1	par_	1	0	easum	-	128	200	115.0	142.4
parallel-blas-omp1	par_	1	0	easum	-	256	200	202.9	261.7
parallel-blas-omp1	par_	1	0	easum	-	512	200	375.5	546.6
parallel-blas-omp1	par_	1	0	easum	-	1024	200	726.8	984.0
parallel-blas-omp1	par_	1	0	easum	-	2048	200	1426.7	2004.3
parallel-blas-omp1	par_	1	0	easum	-	4096	200	2818.5	3899.9
parallel-blas-omp1	par_	1	0	easum	-	16384	200	11830.0	15626.4
parallel-blas-omp1	par_	1	0	easum	-	65536	200	51038.3	63784.9
parallel-blas-omp4	par_	4	0-3	easum	-	64	200	73.1	81.5
parallel-blas-omp4	par_	4	0-3	easum	-	128	200	157.9	160.1
parallel-blas-omp4	par_	4	0-3	easum	-	256	200	203.4	295.1
parallel-blas-omp4	par_	4	0-3	easum	-	512	200	396.0	607.4
parallel-blas-omp4	par_	4	0-3	easum	-	1024	200	726.8	1022.2
parallel-blas-omp4	par_	4	0-3	easum	-	2048	200	1426.9	1986.7
parallel-blas-omp4	par_	4	0-3	easum	-	4096	200	2818.2	3951.6
parallel-blas-omp4	par_	4	0-3	easum	-	16384	200	3779.1	16822.0
parallel-blas-omp4	par_	4	0-3	easum	-	65536	200	12702.3	62568.9
epopenblas-omp1	ep_	1	0	eaxpy	-	64	200	152.5	150.8
epopenblas-omp1	ep_	1	0	eaxpy	-	128	200	278.0	467.6
epopenblas-omp1	ep_	1	0	eaxpy	-	256	200	540.5	543.9
epopenblas-omp1	ep_	1	0	eaxpy	-	512	200	1037.0	1068.6
epopenblas-omp1	ep_	1	0	eaxpy	-	1024	200	2096.5	2115.2
epopenblas-omp1	ep_	1	0	eaxpy	-	2048	200	4074.2	4236.9
epopenblas-omp1	ep_	1	0	eaxpy	-	4096	200	8082.5	8421.7
epopenblas-omp1	ep_	1	0	eaxpy	-	16384	200	33408.4	33920.3
epopenblas-omp1	ep_	1	0	eaxpy	-	65536	200	131155.8	136441.1
epopenblas-omp4	ep_	4	0-3	eaxpy	-	64	200	167.7	151.0
epopenblas-omp4	ep_	4	0-3	eaxpy	-	128	200	278.1	280.5
epopenblas-omp4	ep_	4	0-3	eaxpy	-	256	200	532.8	543.9
epopenblas-omp4	ep_	4	0-3	eaxpy	-	512	200	1033.0	1068.0
epopenblas-omp4	ep_	4	0-3	eaxpy	-	1024	200	2044.3	2114.7
epopenblas-omp4	ep_	4	0-3	eaxpy	-	2048	200	4052.8	4215.8
epopenblas-omp4	ep_	4	0-3	eaxpy	-	4096	200	8121.1	8409.6
epopenblas-omp4	ep_	4	0-3	eaxpy	-	16384	200	9036.7	33856.5
epopenblas-omp4	ep_	4	0-3	eaxpy	-	65536	200	33452.1	136330.0
parallel-blas-omp1	par_	1	0	eaxpy	-	64	200	147.5	150.8
parallel-blas-omp1	par_	1	0	eaxpy	-	128	200	275.3	281.2
parallel-blas-omp1	par_	1	0	eaxpy	-	256	200	536.9	583.0
parallel-blas-omp1	par_	1	0	eaxpy	-	512	200	1051.2	1068.0
parallel-blas-omp1	par_	1	0	eaxpy	-	1024	200	2093.5	2113.2
parallel-blas-omp1	par_	1	0	eaxpy	-	2048	200	4165.8	4268.8
parallel-blas-omp1	par_	1	0	eaxpy	-	4096	200	8248.0	8497.8
parallel-blas-omp1	par_	1	0	eaxpy	-	16384	200	34185.4	33863.7
parallel-blas-omp1	par_	1	0	eaxpy	-	65536	200	132673.3	136961.1
parallel-blas-omp4	par_	4	0-3	eaxpy	-	64	200	147.4	150.7
parallel-blas-omp4	par_	4	0-3	eaxpy	-	128	200	275.2	281.3
parallel-blas-omp4	par_	4	0-3	eaxpy	-	256	200	537.2	544.0
parallel-blas-omp4	par_	4	0-3	eaxpy	-	512	200	1045.5	1094.5
parallel-blas-omp4	par_	4	0-3	eaxpy	-	1024	200	2073.7	2134.0
parallel-blas-omp4	par_	4	0-3	eaxpy	-	2048	200	4140.0	4199.3
parallel-blas-omp4	par_	4	0-3	eaxpy	-	4096	200	8632.0	8653.7
parallel-blas-omp4	par_	4	0-3	eaxpy	-	16384	200	32910.6	33787.5
parallel-blas-omp4	par_	4	0-3	eaxpy	-	65536	200	133898.4	136686.8
epopenblas-omp1	ep_	1	0	ecabs1	-	200	200	26.5	25.3
epopenblas-omp4	ep_	4	0-3	ecabs1	-	200	200	26.5	25.5
parallel-blas-omp1	par_	1	0	ecabs1	-	200	200	25.5	25.4
parallel-blas-omp4	par_	4	0-3	ecabs1	-	200	200	25.5	25.5
epopenblas-omp1	ep_	1	0	ecopy	-	64	200	127.4	125.4
epopenblas-omp1	ep_	1	0	ecopy	-	128	200	232.7	228.6
epopenblas-omp1	ep_	1	0	ecopy	-	256	200	443.7	438.2
epopenblas-omp1	ep_	1	0	ecopy	-	512	200	864.8	877.5
epopenblas-omp1	ep_	1	0	ecopy	-	1024	200	1716.4	1768.6
epopenblas-omp1	ep_	1	0	ecopy	-	2048	200	3434.8	3450.1
epopenblas-omp1	ep_	1	0	ecopy	-	4096	200	6881.2	6843.9
epopenblas-omp1	ep_	1	0	ecopy	-	16384	200	27225.3	27379.2
epopenblas-omp1	ep_	1	0	ecopy	-	65536	200	109663.4	109235.1
epopenblas-omp4	ep_	4	0-3	ecopy	-	64	200	156.5	125.1
epopenblas-omp4	ep_	4	0-3	ecopy	-	128	200	232.5	228.7
epopenblas-omp4	ep_	4	0-3	ecopy	-	256	200	443.8	438.3
epopenblas-omp4	ep_	4	0-3	ecopy	-	512	200	864.8	867.4
epopenblas-omp4	ep_	4	0-3	ecopy	-	1024	200	1740.8	1723.8
epopenblas-omp4	ep_	4	0-3	ecopy	-	2048	200	3401.2	3432.0
epopenblas-omp4	ep_	4	0-3	ecopy	-	4096	200	6842.3	6845.4
epopenblas-omp4	ep_	4	0-3	ecopy	-	16384	200	7757.0	27477.5
epopenblas-omp4	ep_	4	0-3	ecopy	-	65536	200	28232.2	109872.3
parallel-blas-omp1	par_	1	0	ecopy	-	64	200	33.8	173.5
parallel-blas-omp1	par_	1	0	ecopy	-	128	200	41.6	228.6
parallel-blas-omp1	par_	1	0	ecopy	-	256	200	61.6	438.1
parallel-blas-omp1	par_	1	0	ecopy	-	512	200	102.1	867.2
parallel-blas-omp1	par_	1	0	ecopy	-	1024	200	307.9	1746.9
parallel-blas-omp1	par_	1	0	ecopy	-	2048	200	805.6	3484.2
parallel-blas-omp1	par_	1	0	ecopy	-	4096	200	1774.0	6898.9
parallel-blas-omp1	par_	1	0	ecopy	-	16384	200	10766.0	27315.9
parallel-blas-omp1	par_	1	0	ecopy	-	65536	200	42531.8	109713.0
parallel-blas-omp4	par_	4	0-3	ecopy	-	64	200	32.8	125.2
parallel-blas-omp4	par_	4	0-3	ecopy	-	128	200	40.6	229.0
parallel-blas-omp4	par_	4	0-3	ecopy	-	256	200	60.6	438.3
parallel-blas-omp4	par_	4	0-3	ecopy	-	512	200	102.0	892.8
parallel-blas-omp4	par_	4	0-3	ecopy	-	1024	200	304.3	1723.4
parallel-blas-omp4	par_	4	0-3	ecopy	-	2048	200	822.2	3417.8
parallel-blas-omp4	par_	4	0-3	ecopy	-	4096	200	1641.0	6828.4
parallel-blas-omp4	par_	4	0-3	ecopy	-	16384	200	9457.0	27315.7
parallel-blas-omp4	par_	4	0-3	ecopy	-	65536	200	38734.8	109952.7
epopenblas-omp1	ep_	1	0	edot	-	64	200	90.0	102.9
epopenblas-omp1	ep_	1	0	edot	-	128	200	149.4	183.6
epopenblas-omp1	ep_	1	0	edot	-	256	200	270.8	346.1
epopenblas-omp1	ep_	1	0	edot	-	512	200	511.3	665.4
epopenblas-omp1	ep_	1	0	edot	-	1024	200	1030.7	1345.1
epopenblas-omp1	ep_	1	0	edot	-	2048	200	2213.1	2627.0
epopenblas-omp1	ep_	1	0	edot	-	4096	200	4588.7	5248.6
epopenblas-omp1	ep_	1	0	edot	-	16384	200	20784.4	22406.0
epopenblas-omp1	ep_	1	0	edot	-	65536	200	82882.3	90537.6
epopenblas-omp4	ep_	4	0-3	edot	-	64	200	89.7	103.0
epopenblas-omp4	ep_	4	0-3	edot	-	128	200	149.0	183.9
epopenblas-omp4	ep_	4	0-3	edot	-	256	200	271.2	346.0
epopenblas-omp4	ep_	4	0-3	edot	-	512	200	512.2	710.6
epopenblas-omp4	ep_	4	0-3	edot	-	1024	200	1033.7	1308.7
epopenblas-omp4	ep_	4	0-3	edot	-	2048	200	2264.5	2597.2
epopenblas-omp4	ep_	4	0-3	edot	-	4096	200	4529.1	5209.1
epopenblas-omp4	ep_	4	0-3	edot	-	16384	200	6014.0	22916.4
epopenblas-omp4	ep_	4	0-3	edot	-	65536	200	21899.0	88032.1
parallel-blas-omp1	par_	1	0	edot	-	64	200	95.1	103.7
parallel-blas-omp1	par_	1	0	edot	-	128	200	162.9	184.4
parallel-blas-omp1	par_	1	0	edot	-	256	200	305.4	346.0
parallel-blas-omp1	par_	1	0	edot	-	512	200	576.8	667.1
parallel-blas-omp1	par_	1	0	edot	-	1024	200	1126.1	1311.3
parallel-blas-omp1	par_	1	0	edot	-	2048	200	2252.1	2596.1
parallel-blas-omp1	par_	1	0	edot	-	4096	200	4686.9	5334.3
parallel-blas-omp1	par_	1	0	edot	-	16384	200	20502.0	23603.1
parallel-blas-omp1	par_	1	0	edot	-	65536	200	86499.1	90121.9
parallel-blas-omp4	par_	4	0-3	edot	-	64	200	95.3	103.5
parallel-blas-omp4	par_	4	0-3	edot	-	128	200	162.5	183.7
parallel-blas-omp4	par_	4	0-3	edot	-	256	200	299.5	346.2
parallel-blas-omp4	par_	4	0-3	edot	-	512	200	608.6	666.6
parallel-blas-omp4	par_	4	0-3	edot	-	1024	200	1124.9	1309.8
parallel-blas-omp4	par_	4	0-3	edot	-	2048	200	2256.2	2594.8
parallel-blas-omp4	par_	4	0-3	edot	-	4096	200	4456.2	5214.1
parallel-blas-omp4	par_	4	0-3	edot	-	16384	200	6033.7	22494.6
parallel-blas-omp4	par_	4	0-3	edot	-	65536	200	23339.9	90159.0
epopenblas-omp1	ep_	1	0	egbmv	N	128	200	10757.3	9519.9
epopenblas-omp1	ep_	1	0	egbmv	N	256	200	22133.2	19433.1
epopenblas-omp1	ep_	1	0	egbmv	N	512	200	44677.6	40208.9
epopenblas-omp1	ep_	1	0	egbmv	N	1024	200	90342.0	79475.9
epopenblas-omp1	ep_	1	0	egbmv	N/y2	128	200	10688.5	10750.6
epopenblas-omp1	ep_	1	0	egbmv	N/y2	256	200	21960.4	22952.0
epopenblas-omp1	ep_	1	0	egbmv	N/y2	512	200	44532.2	45041.9
epopenblas-omp1	ep_	1	0	egbmv	N/y2	1024	200	90666.7	89566.8
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	128	200	11301.9	10717.9
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	256	200	21914.8	21941.1
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	512	200	45623.4	44428.0
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	1024	200	89554.6	89351.3
epopenblas-omp1	ep_	1	0	egbmv	N/x2	128	200	10732.7	9506.9
epopenblas-omp1	ep_	1	0	egbmv	N/x2	256	200	21946.4	19472.6
epopenblas-omp1	ep_	1	0	egbmv	N/x2	512	200	44534.6	39272.0
epopenblas-omp1	ep_	1	0	egbmv	N/x2	1024	200	89513.2	79420.4
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	128	200	10769.9	11336.3
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	256	200	23053.0	21985.3
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	512	200	45768.0	44781.6
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	1024	200	90196.1	89401.8
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	128	200	10683.3	10701.2
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	256	200	21947.2	21952.3
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	512	200	44591.0	44519.5
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	1024	200	89501.3	89501.1
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	128	200	10728.2	9492.9
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	256	200	22012.0	20198.8
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	512	200	44562.8	40888.2
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	1024	200	90204.6	79558.7
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	128	200	10697.9	10707.6
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	256	200	21918.8	22223.6
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	512	200	44687.9	45228.4
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	1024	200	90221.0	89463.1
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	128	200	10680.4	10718.7
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	256	200	22676.3	22361.9
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	512	200	44570.2	45143.0
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	1024	200	90744.1	90269.4
epopenblas-omp1	ep_	1	0	egbmv	T	128	200	5209.2	5357.5
epopenblas-omp1	ep_	1	0	egbmv	T	256	200	10610.4	12311.8
epopenblas-omp1	ep_	1	0	egbmv	T	512	200	21915.1	22432.2
epopenblas-omp1	ep_	1	0	egbmv	T	1024	200	44843.4	45966.3
