run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mspr	U	128	200	54740.9	177377.3
par-omp1	1	mspr	U	256	200	177799.1	630463.0
par-omp1	1	mspr	U	512	124	681469.1	2369310.3
par-omp1	1	mspr	U	1024	30	2746722.4	9844407.1
par-omp1	1	mspr	U/x2	128	200	47816.3	166841.2
par-omp1	1	mspr	U/x2	256	200	179785.8	651471.8
par-omp1	1	mspr	U/x2	512	117	681170.2	2507091.1
par-omp1	1	mspr	U/x2	1024	30	2848312.3	9855846.0
par-omp1	1	mspr	U/x-1	128	200	41559.9	155627.8
par-omp1	1	mspr	U/x-1	256	200	172485.6	630996.1
par-omp1	1	mspr	U/x-1	512	115	687148.2	2555376.6
par-omp1	1	mspr	U/x-1	1024	30	2943547.2	9889120.2
par-omp1	1	mspr	L	128	200	42964.0	153243.8
par-omp1	1	mspr	L	256	200	172672.4	640738.3
par-omp1	1	mspr	L	512	122	683124.2	2410951.1
par-omp1	1	mspr	L	1024	29	2844675.6	10057370.8
par-omp1	1	mspr	L/x2	128	200	43404.7	158356.2
par-omp1	1	mspr	L/x2	256	200	170665.4	619633.7
par-omp1	1	mspr	L/x2	512	120	675834.0	2454581.6
par-omp1	1	mspr	L/x2	1024	28	2887103.9	10282904.6
par-omp1	1	mspr	L/x-1	128	200	44598.5	159302.9
par-omp1	1	mspr	L/x-1	256	200	171737.3	631615.7
par-omp1	1	mspr	L/x-1	512	119	686032.8	2461892.1
par-omp1	1	mspr	L/x-1	1024	30	2800855.5	9609106.8
par-omp4	4	mspr	U	128	200	22235.7	160204.4
par-omp4	4	mspr	U	256	200	82339.4	633238.2
par-omp4	4	mspr	U	512	116	329317.4	2528968.2
par-omp4	4	mspr	U	1024	29	1277849.6	10167363.8
par-omp4	4	mspr	U/x2	128	200	45427.7	164677.9
par-omp4	4	mspr	U/x2	256	200	181939.7	657344.0
par-omp4	4	mspr	U/x2	512	119	711423.1	2475732.5
