run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	wher	U	128	200	188313.4	396770.6
par-omp1	1	wher	U	256	189	702662.6	1530352.1
par-omp1	1	wher	U	512	47	2956256.7	6152888.8
par-omp1	1	wher	U/x2	128	200	183189.9	388655.5
par-omp1	1	wher	U/x2	256	191	745626.5	1516061.0
par-omp1	1	wher	U/x2	512	46	2975120.7	6232604.0
par-omp1	1	wher	U/x-1	128	200	185296.5	394880.6
par-omp1	1	wher	U/x-1	256	193	717767.8	1500525.4
par-omp1	1	wher	U/x-1	512	45	3038038.4	6294752.7
par-omp1	1	wher	L	128	200	187448.4	377782.4
par-omp1	1	wher	L	256	186	720534.5	1546931.8
par-omp1	1	wher	L	512	45	3030812.3	6272157.2
par-omp1	1	wher	L/x2	128	200	178817.2	382490.6
par-omp1	1	wher	L/x2	256	187	686129.9	1547927.9
par-omp1	1	wher	L/x2	512	45	2919095.6	6344058.4
par-omp1	1	wher	L/x-1	128	200	175996.4	395677.5
par-omp1	1	wher	L/x-1	256	187	694720.9	1543638.5
par-omp1	1	wher	L/x-1	512	46	2881746.8	6180304.3
par-omp4	4	wher	U	128	200	50838.6	402060.5
par-omp4	4	wher	U	256	183	194353.5	1582651.8
par-omp4	4	wher	U	512	45	776178.4	6379936.6
par-omp4	4	wher	U/x2	128	200	177610.8	378972.1
par-omp4	4	wher	U/x2	256	191	743329.1	1517152.3
par-omp4	4	wher	U/x2	512	45	3023446.3	6283856.2
par-omp4	4	wher	U/x-1	128	200	189384.7	399498.6
par-omp4	4	wher	U/x-1	256	188	724701.0	1536049.9
par-omp4	4	wher	U/x-1	512	46	2976508.4	6225996.8
par-omp4	4	wher	L	128	200	50474.9	400016.8
par-omp4	4	wher	L	256	182	198617.8	1589304.2
par-omp4	4	wher	L	512	44	800873.3	6454167.0
par-omp4	4	wher	L/x2	128	200	181455.2	383877.4
par-omp4	4	wher	L/x2	256	191	694263.6	1516784.0
par-omp4	4	wher	L/x2	512	45	2945315.7	6312145.9
par-omp4	4	wher	L/x-1	128	200	176227.4	388751.0
par-omp4	4	wher	L/x-1	256	186	700493.8	1556203.7
par-omp4	4	wher	L/x-1	512	45	2911739.2	6307310.3
ob-omp1	1	wher	U	128	200	188493.4	403148.6
ob-omp1	1	wher	U	256	189	741981.7	1532107.6
ob-omp1	1	wher	U	512	47	2950798.0	6123534.2
ob-omp1	1	wher	U/x2	128	200	178710.8	385664.0
ob-omp1	1	wher	U/x2	256	189	690907.8	1528689.2
ob-omp1	1	wher	U/x2	512	45	2852236.7	6337511.9
ob-omp1	1	wher	U/x-1	128	200	178847.9	387647.2
ob-omp1	1	wher	U/x-1	256	191	687212.9	1510567.9
ob-omp1	1	wher	U/x-1	512	45	2877265.5	6281101.3
ob-omp1	1	wher	L	128	200	182426.9	398955.5
ob-omp1	1	wher	L	256	192	700966.6	1507464.9
ob-omp1	1	wher	L	512	46	2960880.4	6160796.0
ob-omp1	1	wher	L/x2	128	200	179839.1	394612.8
ob-omp1	1	wher	L/x2	256	178	727219.6	1616952.8
ob-omp1	1	wher	L/x2	512	47	2890939.3	6148348.7
ob-omp1	1	wher	L/x-1	128	200	181720.5	383660.1
ob-omp1	1	wher	L/x-1	256	193	724152.9	1498395.5
ob-omp1	1	wher	L/x-1	512	45	2904870.5	6364633.5
ob-omp4	4	wher	U	128	200	194580.7	411208.8
ob-omp4	4	wher	U	256	179	220879.3	1614980.1
ob-omp4	4	wher	U	512	42	772889.3	6723099.0
ob-omp4	4	wher	U/x2	128	200	184397.6	396860.3
ob-omp4	4	wher	U/x2	256	180	720689.9	1603820.1
ob-omp4	4	wher	U/x2	512	45	3034303.8	6393851.7
ob-omp4	4	wher	U/x-1	128	200	173440.8	375127.1
ob-omp4	4	wher	U/x-1	256	193	687736.9	1501562.8
ob-omp4	4	wher	U/x-1	512	47	2881830.6	6041775.4
ob-omp4	4	wher	L	128	200	174606.5	386150.3
ob-omp4	4	wher	L	256	181	219092.2	1594198.3
ob-omp4	4	wher	L	512	45	813886.7	6425197.8
ob-omp4	4	wher	L/x2	128	200	181937.6	383354.7
ob-omp4	4	wher	L/x2	256	189	701988.0	1530501.9
ob-omp4	4	wher	L/x2	512	46	2934041.7	6214726.2
ob-omp4	4	wher	L/x-1	128	200	176033.5	386158.3
ob-omp4	4	wher	L/x-1	256	187	708927.9	1544572.8
ob-omp4	4	wher	L/x-1	512	46	2855676.3	6189873.8
par-omp1	1	wher	U	128	200	193911.8	403720.3
par-omp1	1	wher	U	256	181	749157.3	1596090.6
par-omp1	1	wher	U	512	44	2951472.2	6541228.0
par-omp1	1	wher	U/x2	128	200	191301.4	395768.2
par-omp1	1	wher	U/x2	256	182	763787.4	1593071.0
par-omp1	1	wher	U/x2	512	47	3084900.0	6090933.1
par-omp1	1	wher	U/x-1	128	200	184101.0	393064.6
par-omp1	1	wher	U/x-1	256	181	726956.1	1595090.2
par-omp1	1	wher	U/x-1	512	46	3068008.3	6228289.5
par-omp1	1	wher	L	128	200	180172.1	382808.6
par-omp1	1	wher	L	256	186	741697.9	1554798.4
par-omp1	1	wher	L	512	47	3062948.3	6077640.7
par-omp1	1	wher	L/x2	128	200	170426.5	404760.6
par-omp1	1	wher	L/x2	256	186	720207.9	1551639.7
par-omp1	1	wher	L/x2	512	46	2861092.5	6161819.5
par-omp1	1	wher	L/x-1	128	200	181315.5	381470.3
par-omp1	1	wher	L/x-1	256	192	689423.6	1507163.8
par-omp1	1	wher	L/x-1	512	45	2846302.8	6309141.6
par-omp4	4	wher	U	128	200	50729.4	403760.9
par-omp4	4	wher	U	256	183	199465.9	1580942.6
par-omp4	4	wher	U	512	45	776862.2	6410428.4
par-omp4	4	wher	U/x2	128	200	181158.6	409788.3
par-omp4	4	wher	U/x2	256	191	725486.8	1517827.1
par-omp4	4	wher	U/x2	512	46	3068200.5	6231647.9
par-omp4	4	wher	U/x-1	128	200	177257.6	394393.6
par-omp4	4	wher	U/x-1	256	183	729000.5	1576652.5
par-omp4	4	wher	U/x-1	512	46	3014156.0	6177822.8
par-omp4	4	wher	L	128	200	50374.9	400140.8
par-omp4	4	wher	L	256	179	197717.3	1609535.9
par-omp4	4	wher	L	512	45	801305.2	6380568.3
par-omp4	4	wher	L/x2	128	200	180133.7	390140.7
par-omp4	4	wher	L/x2	256	183	699682.4	1574601.1
par-omp4	4	wher	L/x2	512	45	2978522.9	6381050.7
par-omp4	4	wher	L/x-1	128	200	178924.5	401014.1
par-omp4	4	wher	L/x-1	256	184	711091.7	1573835.1
par-omp4	4	wher	L/x-1	512	44	2911430.6	6463710.5
ob-omp1	1	wher	U	128	200	189526.6	410440.8
ob-omp1	1	wher	U	256	181	756970.3	1599458.9
ob-omp1	1	wher	U	512	46	3094958.2	6226154.5
ob-omp1	1	wher	U/x2	128	200	171109.6	379874.6
ob-omp1	1	wher	U/x2	256	186	685664.9	1551465.6
ob-omp1	1	wher	U/x2	512	47	2865384.6	6019296.6
ob-omp1	1	wher	U/x-1	128	200	171222.0	381071.3
ob-omp1	1	wher	U/x-1	256	184	694784.8	1569618.1
ob-omp1	1	wher	U/x-1	512	47	2859811.9	6103302.1
ob-omp1	1	wher	L	128	200	174814.2	401729.2
ob-omp1	1	wher	L	256	191	718079.0	1511811.5
ob-omp1	1	wher	L	512	46	2845755.4	6204018.4
ob-omp1	1	wher	L/x2	128	200	176955.2	385109.7
ob-omp1	1	wher	L/x2	256	196	699876.3	1477053.4
ob-omp1	1	wher	L/x2	512	46	2892339.7	6173514.3
ob-omp1	1	wher	L/x-1	128	200	173595.2	384695.2
ob-omp1	1	wher	L/x-1	256	193	692960.4	1496387.3
ob-omp1	1	wher	L/x-1	512	47	2957563.5	6085457.0
ob-omp4	4	wher	U	128	200	184601.8	383638.9
ob-omp4	4	wher	U	256	179	219389.0	1618688.4
ob-omp4	4	wher	U	512	45	780664.5	6395976.0
ob-omp4	4	wher	U/x2	128	200	175600.5	402285.5
ob-omp4	4	wher	U/x2	256	184	708470.6	1568105.8
ob-omp4	4	wher	U/x2	512	48	2854739.4	5986883.9
ob-omp4	4	wher	U/x-1	128	200	168664.2	396614.8
ob-omp4	4	wher	U/x-1	256	186	724156.8	1553208.3
ob-omp4	4	wher	U/x-1	512	46	2797465.7	6143995.3
ob-omp4	4	wher	L	128	200	182969.6	400827.9
ob-omp4	4	wher	L	256	182	212246.6	1586567.5
ob-omp4	4	wher	L	512	44	790102.7	6501793.9
ob-omp4	4	wher	L/x2	128	200	184382.6	392870.6
ob-omp4	4	wher	L/x2	256	193	702164.0	1495357.4
ob-omp4	4	wher	L/x2	512	45	2924046.6	6299502.7
ob-omp4	4	wher	L/x-1	128	200	184555.3	380948.7
ob-omp4	4	wher	L/x-1	256	191	685765.5	1513634.6
ob-omp4	4	wher	L/x-1	512	47	2954313.3	6116606.8
par-omp1	1	wher	U	128	200	187542.2	393090.7
par-omp1	1	wher	U	256	185	714563.9	1564278.7
par-omp1	1	wher	U	512	48	2963625.3	6040775.6
par-omp1	1	wher	U/x2	128	200	178331.4	388842.2
par-omp1	1	wher	U/x2	256	182	736344.2	1585521.2
par-omp1	1	wher	U/x2	512	46	2987447.0	6221198.6
par-omp1	1	wher	U/x-1	128	200	190950.3	415120.3
par-omp1	1	wher	U/x-1	256	188	735070.2	1538581.2
par-omp1	1	wher	U/x-1	512	44	3014424.0	6387633.7
par-omp1	1	wher	L	128	200	187659.8	382709.7
par-omp1	1	wher	L	256	189	732377.2	1533385.2
par-omp1	1	wher	L	512	45	3081952.4	6322344.0
par-omp1	1	wher	L/x2	128	200	177090.5	385320.8
par-omp1	1	wher	L/x2	256	192	707760.8	1504580.2
par-omp1	1	wher	L/x2	512	46	2924969.7	6190663.2
par-omp1	1	wher	L/x-1	128	200	171984.2	386727.2
par-omp1	1	wher	L/x-1	256	186	682120.6	1550425.8
par-omp1	1	wher	L/x-1	512	47	2834641.9	6093195.3
par-omp4	4	wher	U	128	200	50981.7	405641.0
par-omp4	4	wher	U	256	173	193986.9	1664957.3
par-omp4	4	wher	U	512	45	768824.9	6376201.6
par-omp4	4	wher	U/x2	128	200	186287.9	386640.9
par-omp4	4	wher	U/x2	256	187	756033.9	1551392.3
par-omp4	4	wher	U/x2	512	44	2997358.2	6483073.3
par-omp4	4	wher	U/x-1	128	200	189957.9	409544.3
par-omp4	4	wher	U/x-1	256	189	735929.2	1528969.9
par-omp4	4	wher	U/x-1	512	45	2952059.3	6345728.2
par-omp4	4	wher	L	128	200	50299.2	400047.8
par-omp4	4	wher	L	256	183	198685.2	1581223.9
par-omp4	4	wher	L	512	44	803744.2	6488685.7
par-omp4	4	wher	L/x2	128	200	180965.8	385398.9
par-omp4	4	wher	L/x2	256	187	700623.7	1542707.7
par-omp4	4	wher	L/x2	512	46	2952049.1	6211789.7
par-omp4	4	wher	L/x-1	128	200	172244.0	375834.8
par-omp4	4	wher	L/x-1	256	183	689166.5	1574881.2
par-omp4	4	wher	L/x-1	512	47	2929796.7	6041350.7
ob-omp1	1	wher	U	128	200	187295.9	398800.5
ob-omp1	1	wher	U	256	182	734020.8	1584259.7
ob-omp1	1	wher	U	512	46	2996534.6	6240298.2
ob-omp1	1	wher	U/x2	128	200	172728.4	422631.0
ob-omp1	1	wher	U/x2	256	190	700992.2	1519700.7
ob-omp1	1	wher	U/x2	512	45	2834256.6	6357240.1
ob-omp1	1	wher	U/x-1	128	200	177380.4	388953.6
ob-omp1	1	wher	U/x-1	256	193	688496.9	1496929.9
ob-omp1	1	wher	U/x-1	512	46	2928771.8	6243798.0
ob-omp1	1	wher	L	128	200	178416.5	376059.0
ob-omp1	1	wher	L	256	188	688842.9	1535754.1
