run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mtbmv	UNN	128	200	10861.1	38354.0
par-omp1	1	mtbmv	UNN	256	200	22567.2	78773.3
par-omp1	1	mtbmv	UNN	512	200	45715.6	159473.4
par-omp1	1	mtbmv	UNN	1024	200	92677.9	309665.1
par-omp1	1	mtbmv	UNN/x2	128	200	10051.6	36937.0
par-omp1	1	mtbmv	UNN/x2	256	200	20658.6	76107.9
par-omp1	1	mtbmv	UNN/x2	512	200	42104.5	152800.8
par-omp1	1	mtbmv	UNN/x2	1024	200	83426.2	308315.1
par-omp1	1	mtbmv	UNN/x-1	128	200	10701.3	38485.5
par-omp1	1	mtbmv	UNN/x-1	256	200	21774.5	76610.6
par-omp1	1	mtbmv	UNN/x-1	512	200	41421.0	152988.4
par-omp1	1	mtbmv	UNN/x-1	1024	200	84378.9	327081.2
par-omp1	1	mtbmv	UNU	128	200	10143.8	38256.0
par-omp1	1	mtbmv	UNU	256	200	21229.4	74079.6
par-omp1	1	mtbmv	UNU	512	200	42548.2	154702.2
par-omp1	1	mtbmv	UNU	1024	200	89836.0	316556.6
par-omp1	1	mtbmv	UNU/x2	128	200	9681.6	35651.6
par-omp1	1	mtbmv	UNU/x2	256	200	20065.1	73495.2
par-omp1	1	mtbmv	UNU/x2	512	200	40724.4	150405.2
par-omp1	1	mtbmv	UNU/x2	1024	200	82224.4	301397.9
par-omp1	1	mtbmv	UNU/x-1	128	200	9688.3	35649.0
par-omp1	1	mtbmv	UNU/x-1	256	200	19980.9	73652.7
par-omp1	1	mtbmv	UNU/x-1	512	200	41143.7	149540.1
par-omp1	1	mtbmv	UNU/x-1	1024	200	83708.3	319014.7
par-omp1	1	mtbmv	UTN	128	200	16340.5	37115.0
par-omp1	1	mtbmv	UTN	256	200	36229.9	78206.4
par-omp1	1	mtbmv	UTN	512	200	73708.0	159905.1
par-omp1	1	mtbmv	UTN	1024	200	147387.1	301374.6
par-omp1	1	mtbmv	UTN/x2	128	200	16598.3	35500.2
par-omp1	1	mtbmv	UTN/x2	256	200	34077.2	73988.0
par-omp1	1	mtbmv	UTN/x2	512	200	69760.9	149290.7
par-omp1	1	mtbmv	UTN/x2	1024	200	140509.1	300680.3
par-omp1	1	mtbmv	UTN/x-1	128	200	16467.0	35645.7
par-omp1	1	mtbmv	UTN/x-1	256	200	34651.4	74222.0
par-omp1	1	mtbmv	UTN/x-1	512	200	69466.9	149323.0
par-omp1	1	mtbmv	UTN/x-1	1024	200	140287.8	301777.5
par-omp1	1	mtbmv	UTU	128	200	15908.6	35023.1
par-omp1	1	mtbmv	UTU	256	200	32961.6	72753.2
par-omp1	1	mtbmv	UTU	512	200	67195.0	148430.4
par-omp1	1	mtbmv	UTU	1024	200	138934.4	316642.3
par-omp1	1	mtbmv	UTU/x2	128	200	17901.4	36356.4
par-omp1	1	mtbmv	UTU/x2	256	200	34222.5	74866.0
par-omp1	1	mtbmv	UTU/x2	512	200	72651.0	157327.3
par-omp1	1	mtbmv	UTU/x2	1024	200	146563.0	316179.3
par-omp1	1	mtbmv	UTU/x-1	128	200	16388.3	35208.2
par-omp1	1	mtbmv	UTU/x-1	256	200	35951.1	72542.2
par-omp1	1	mtbmv	UTU/x-1	512	200	68557.7	153623.6
par-omp1	1	mtbmv	UTU/x-1	1024	200	146568.7	319456.7
par-omp1	1	mtbmv	LNN	128	200	10281.4	36968.2
par-omp1	1	mtbmv	LNN	256	200	21229.4	75876.7
par-omp1	1	mtbmv	LNN	512	200	43062.6	153916.8
par-omp1	1	mtbmv	LNN	1024	200	87139.5	297013.8
par-omp1	1	mtbmv	LNN/x2	128	200	9872.7	36771.3
par-omp1	1	mtbmv	LNN/x2	256	200	20298.2	75025.3
par-omp1	1	mtbmv	LNN/x2	512	200	41335.5	156731.3
par-omp1	1	mtbmv	LNN/x2	1024	200	87853.2	320112.5
par-omp1	1	mtbmv	LNN/x-1	128	200	10564.6	38651.0
par-omp1	1	mtbmv	LNN/x-1	256	200	21734.5	79426.8
par-omp1	1	mtbmv	LNN/x-1	512	200	44174.9	161317.8
par-omp1	1	mtbmv	LNN/x-1	1024	200	88563.9	320333.1
par-omp1	1	mtbmv	LNU	128	200	10103.0	34805.8
par-omp1	1	mtbmv	LNU	256	200	20459.9	73747.6
par-omp1	1	mtbmv	LNU	512	200	41572.7	152416.1
par-omp1	1	mtbmv	LNU	1024	200	88684.6	315268.8
par-omp1	1	mtbmv	LNU/x2	128	200	10372.6	38199.2
par-omp1	1	mtbmv	LNU/x2	256	200	21340.1	78550.1
par-omp1	1	mtbmv	LNU/x2	512	200	43497.2	159982.2
par-omp1	1	mtbmv	LNU/x2	1024	200	88246.0	306362.4
par-omp1	1	mtbmv	LNU/x-1	128	200	12047.0	36558.8
par-omp1	1	mtbmv	LNU/x-1	256	200	19958.6	74370.5
par-omp1	1	mtbmv	LNU/x-1	512	200	41774.8	156482.7
par-omp1	1	mtbmv	LNU/x-1	1024	200	90394.6	322325.3
par-omp1	1	mtbmv	LTN	128	200	16976.1	37869.3
par-omp1	1	mtbmv	LTN	256	200	35208.9	78154.9
par-omp1	1	mtbmv	LTN	512	200	71696.1	158714.5
par-omp1	1	mtbmv	LTN	1024	200	142584.5	335522.7
par-omp1	1	mtbmv	LTN/x2	128	200	17900.2	38158.8
par-omp1	1	mtbmv	LTN/x2	256	200	36620.5	79565.5
par-omp1	1	mtbmv	LTN/x2	512	200	73362.4	160917.1
par-omp1	1	mtbmv	LTN/x2	1024	200	148688.4	321262.1
par-omp1	1	mtbmv	LTN/x-1	128	200	17412.6	37973.9
par-omp1	1	mtbmv	LTN/x-1	256	200	36059.5	76435.7
par-omp1	1	mtbmv	LTN/x-1	512	200	70088.0	157220.6
par-omp1	1	mtbmv	LTN/x-1	1024	200	144283.7	318629.9
par-omp1	1	mtbmv	LTU	128	200	16631.6	37436.3
par-omp1	1	mtbmv	LTU	256	200	34503.8	77282.2
par-omp1	1	mtbmv	LTU	512	200	70268.5	150129.4
par-omp1	1	mtbmv	LTU	1024	200	133559.0	300359.2
par-omp1	1	mtbmv	LTU/x2	128	200	15997.9	36359.2
par-omp1	1	mtbmv	LTU/x2	256	200	33349.7	73358.3
par-omp1	1	mtbmv	LTU/x2	512	200	67740.2	150702.9
par-omp1	1	mtbmv	LTU/x2	1024	200	135752.7	305356.7
par-omp1	1	mtbmv	LTU/x-1	128	200	17753.9	35222.9
par-omp1	1	mtbmv	LTU/x-1	256	200	33006.4	75538.6
par-omp1	1	mtbmv	LTU/x-1	512	200	69919.5	153797.4
par-omp1	1	mtbmv	LTU/x-1	1024	200	141397.1	313266.8
par-omp4	4	mtbmv	UNN	128	200	10978.3	38865.5
par-omp4	4	mtbmv	UNN	256	200	6932.4	79299.5
par-omp4	4	mtbmv	UNN	512	200	12631.0	159365.3
par-omp4	4	mtbmv	UNN	1024	200	24058.3	320645.4
par-omp4	4	mtbmv	UNN/x2	128	200	10525.6	38667.3
par-omp4	4	mtbmv	UNN/x2	256	200	7366.3	79499.9
par-omp4	4	mtbmv	UNN/x2	512	200	12989.1	163544.0
par-omp4	4	mtbmv	UNN/x2	1024	200	25900.0	325728.8
par-omp4	4	mtbmv	UNN/x-1	128	200	10524.2	38667.7
par-omp4	4	mtbmv	UNN/x-1	256	200	7293.2	79667.6
par-omp4	4	mtbmv	UNN/x-1	512	200	13483.7	162096.1
par-omp4	4	mtbmv	UNN/x-1	1024	200	24818.5	325546.2
par-omp4	4	mtbmv	UNU	128	200	10629.3	37705.4
par-omp4	4	mtbmv	UNU	256	200	6760.2	77573.1
par-omp4	4	mtbmv	UNU	512	200	13028.7	157461.5
par-omp4	4	mtbmv	UNU	1024	200	23415.6	319938.3
par-omp4	4	mtbmv	UNU/x2	128	200	11081.5	38182.1
par-omp4	4	mtbmv	UNU/x2	256	200	7248.8	79172.9
par-omp4	4	mtbmv	UNU/x2	512	200	12739.3	161311.3
par-omp4	4	mtbmv	UNU/x2	1024	200	28878.3	326420.6
par-omp4	4	mtbmv	UNU/x-1	128	200	10359.8	38164.3
par-omp4	4	mtbmv	UNU/x-1	256	200	7640.5	79059.9
par-omp4	4	mtbmv	UNU/x-1	512	200	12643.7	160913.8
par-omp4	4	mtbmv	UNU/x-1	1024	200	24052.5	320644.9
par-omp4	4	mtbmv	UTN	128	200	17485.6	37899.4
par-omp4	4	mtbmv	UTN	256	200	10758.6	78201.4
par-omp4	4	mtbmv	UTN	512	200	20088.4	158778.3
par-omp4	4	mtbmv	UTN	1024	200	38630.4	321361.0
par-omp4	4	mtbmv	UTN/x2	128	200	17955.6	37980.6
par-omp4	4	mtbmv	UTN/x2	256	200	11093.9	80320.3
par-omp4	4	mtbmv	UTN/x2	512	200	20167.7	159103.8
par-omp4	4	mtbmv	UTN/x2	1024	200	39425.0	320885.1
par-omp4	4	mtbmv	UTN/x-1	128	200	17626.2	37975.2
par-omp4	4	mtbmv	UTN/x-1	256	200	10826.6	78340.4
par-omp4	4	mtbmv	UTN/x-1	512	200	20182.7	159108.9
par-omp4	4	mtbmv	UTN/x-1	1024	200	39622.8	320613.2
par-omp4	4	mtbmv	UTU	128	200	17016.8	37483.8
par-omp4	4	mtbmv	UTU	256	200	10373.5	77356.9
par-omp4	4	mtbmv	UTU	512	200	19807.0	157911.9
par-omp4	4	mtbmv	UTU	1024	200	38323.4	317352.4
par-omp4	4	mtbmv	UTU/x2	128	200	17242.5	37541.2
par-omp4	4	mtbmv	UTU/x2	256	200	10976.7	77458.2
par-omp4	4	mtbmv	UTU/x2	512	200	20062.3	157296.4
par-omp4	4	mtbmv	UTU/x2	1024	200	39030.0	319602.4
par-omp4	4	mtbmv	UTU/x-1	128	200	17249.4	37532.8
par-omp4	4	mtbmv	UTU/x-1	256	200	10684.6	77474.9
par-omp4	4	mtbmv	UTU/x-1	512	200	19880.2	157355.5
par-omp4	4	mtbmv	UTU/x-1	1024	200	38625.9	317067.0
par-omp4	4	mtbmv	LNN	128	200	10523.2	37691.9
par-omp4	4	mtbmv	LNN	256	200	7850.0	77686.0
par-omp4	4	mtbmv	LNN	512	200	12484.6	157286.0
par-omp4	4	mtbmv	LNN	1024	200	23793.9	316394.1
par-omp4	4	mtbmv	LNN/x2	128	200	10570.4	38647.5
par-omp4	4	mtbmv	LNN/x2	256	200	7401.8	79507.4
par-omp4	4	mtbmv	LNN/x2	512	200	12872.2	161578.9
par-omp4	4	mtbmv	LNN/x2	1024	200	25000.5	328048.4
par-omp4	4	mtbmv	LNN/x-1	128	200	10617.1	38656.0
par-omp4	4	mtbmv	LNN/x-1	256	200	7244.6	79428.6
par-omp4	4	mtbmv	LNN/x-1	512	200	12783.4	161440.9
par-omp4	4	mtbmv	LNN/x-1	1024	200	25898.6	330585.5
par-omp4	4	mtbmv	LNU	128	200	10317.2	37244.7
par-omp4	4	mtbmv	LNU	256	200	6807.9	76730.0
par-omp4	4	mtbmv	LNU	512	200	12321.3	155507.0
par-omp4	4	mtbmv	LNU	1024	200	25087.7	312818.9
par-omp4	4	mtbmv	LNU/x2	128	200	10380.7	38183.3
par-omp4	4	mtbmv	LNU/x2	256	200	7421.1	79258.6
par-omp4	4	mtbmv	LNU/x2	512	200	15625.8	160939.4
par-omp4	4	mtbmv	LNU/x2	1024	200	26087.4	321343.7
par-omp4	4	mtbmv	LNU/x-1	128	200	10386.8	38198.7
par-omp4	4	mtbmv	LNU/x-1	256	200	7092.3	78529.6
par-omp4	4	mtbmv	LNU/x-1	512	200	12663.9	160418.1
par-omp4	4	mtbmv	LNU/x-1	1024	200	25725.3	324234.7
par-omp4	4	mtbmv	LTN	128	200	16982.4	38192.4
par-omp4	4	mtbmv	LTN	256	200	10338.8	78130.4
par-omp4	4	mtbmv	LTN	512	200	19620.9	158696.8
par-omp4	4	mtbmv	LTN	1024	200	38181.5	321975.0
par-omp4	4	mtbmv	LTN/x2	128	200	17403.4	38448.9
par-omp4	4	mtbmv	LTN/x2	256	200	10832.0	78394.0
par-omp4	4	mtbmv	LTN/x2	512	200	20082.4	160667.5
par-omp4	4	mtbmv	LTN/x2	1024	200	39394.5	321494.8
par-omp4	4	mtbmv	LTN/x-1	128	200	17397.9	37995.2
par-omp4	4	mtbmv	LTN/x-1	256	200	10748.3	78373.7
par-omp4	4	mtbmv	LTN/x-1	512	200	20120.7	159123.6
par-omp4	4	mtbmv	LTN/x-1	1024	200	39015.2	320683.2
par-omp4	4	mtbmv	LTU	128	200	16643.3	37441.0
par-omp4	4	mtbmv	LTU	256	200	10209.9	77423.2
par-omp4	4	mtbmv	LTU	512	200	19414.8	158586.0
par-omp4	4	mtbmv	LTU	1024	200	37705.8	317070.4
par-omp4	4	mtbmv	LTU/x2	128	200	16972.3	37537.3
par-omp4	4	mtbmv	LTU/x2	256	200	10680.5	77968.6
par-omp4	4	mtbmv	LTU/x2	512	200	19757.2	158362.4
par-omp4	4	mtbmv	LTU/x2	1024	200	38957.7	319526.7
par-omp4	4	mtbmv	LTU/x-1	128	200	16972.8	37543.8
par-omp4	4	mtbmv	LTU/x-1	256	200	10477.7	77475.5
