run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mtbmv	UNN	128	200	10961.9	38309.5
par-omp1	1	mtbmv	UNN	256	200	22913.4	80261.2
par-omp1	1	mtbmv	UNN	512	200	45198.8	161545.5
par-omp1	1	mtbmv	UNN	1024	200	91644.0	320708.1
par-omp1	1	mtbmv	UNN/x2	128	200	10509.6	38711.2
par-omp1	1	mtbmv	UNN/x2	256	200	21643.9	79495.6
par-omp1	1	mtbmv	UNN/x2	512	200	44115.9	161162.0
par-omp1	1	mtbmv	UNN/x2	1024	200	87980.3	311790.1
par-omp1	1	mtbmv	UNN/x-1	128	200	10056.7	37084.8
par-omp1	1	mtbmv	UNN/x-1	256	200	20908.8	76103.1
par-omp1	1	mtbmv	UNN/x-1	512	200	42003.4	156648.7
par-omp1	1	mtbmv	UNN/x-1	1024	200	89161.2	323303.4
par-omp1	1	mtbmv	UNU	128	200	10628.4	37700.3
par-omp1	1	mtbmv	UNU	256	200	22565.0	77525.7
par-omp1	1	mtbmv	UNU	512	200	45145.7	154627.0
par-omp1	1	mtbmv	UNU	1024	200	88469.5	308239.2
par-omp1	1	mtbmv	UNU/x2	128	200	10110.7	38920.6
par-omp1	1	mtbmv	UNU/x2	256	200	20833.3	77944.2
par-omp1	1	mtbmv	UNU/x2	512	200	42427.2	157109.1
par-omp1	1	mtbmv	UNU/x2	1024	200	85530.5	323386.5
par-omp1	1	mtbmv	UNU/x-1	128	200	10273.9	39620.2
par-omp1	1	mtbmv	UNU/x-1	256	200	20846.7	78482.1
par-omp1	1	mtbmv	UNU/x-1	512	200	43859.6	158840.3
par-omp1	1	mtbmv	UNU/x-1	1024	200	88387.3	318674.7
par-omp1	1	mtbmv	UTN	128	200	16489.3	35423.1
par-omp1	1	mtbmv	UTN	256	200	34755.3	75108.8
par-omp1	1	mtbmv	UTN	512	200	73124.3	153780.4
par-omp1	1	mtbmv	UTN	1024	200	143763.0	312692.8
par-omp1	1	mtbmv	UTN/x2	128	200	16832.7	39100.2
par-omp1	1	mtbmv	UTN/x2	256	200	35146.1	79245.1
par-omp1	1	mtbmv	UTN/x2	512	200	74459.4	160839.8
par-omp1	1	mtbmv	UTN/x2	1024	200	150267.2	321381.2
par-omp1	1	mtbmv	UTN/x-1	128	200	18089.0	38481.8
par-omp1	1	mtbmv	UTN/x-1	256	200	36999.9	79785.7
par-omp1	1	mtbmv	UTN/x-1	512	200	73952.9	159217.7
par-omp1	1	mtbmv	UTN/x-1	1024	200	149674.2	317334.5
par-omp1	1	mtbmv	UTU	128	200	16829.8	36055.6
par-omp1	1	mtbmv	UTU	256	200	35604.3	75994.5
par-omp1	1	mtbmv	UTU	512	200	68697.7	155899.9
par-omp1	1	mtbmv	UTU	1024	200	144817.8	315752.8
par-omp1	1	mtbmv	UTU/x2	128	200	16579.6	37157.3
par-omp1	1	mtbmv	UTU/x2	256	200	33962.2	76581.3
par-omp1	1	mtbmv	UTU/x2	512	200	73039.1	154940.5
par-omp1	1	mtbmv	UTU/x2	1024	200	144699.5	317139.5
par-omp1	1	mtbmv	UTU/x-1	128	200	17261.3	37510.6
par-omp1	1	mtbmv	UTU/x-1	256	200	35770.0	75455.1
par-omp1	1	mtbmv	UTU/x-1	512	200	69905.2	151410.7
par-omp1	1	mtbmv	UTU/x-1	1024	200	139791.6	315206.2
par-omp1	1	mtbmv	LNN	128	200	10525.3	37717.6
par-omp1	1	mtbmv	LNN	256	200	21702.5	77654.4
par-omp1	1	mtbmv	LNN	512	200	44000.0	152783.5
par-omp1	1	mtbmv	LNN	1024	200	84991.4	307885.3
par-omp1	1	mtbmv	LNN/x2	128	200	10573.1	39194.1
par-omp1	1	mtbmv	LNN/x2	256	200	21783.0	80035.1
par-omp1	1	mtbmv	LNN/x2	512	200	44222.1	163509.8
par-omp1	1	mtbmv	LNN/x2	1024	200	89710.2	326488.1
par-omp1	1	mtbmv	LNN/x-1	128	200	10588.7	38636.1
par-omp1	1	mtbmv	LNN/x-1	256	200	21755.6	79500.1
par-omp1	1	mtbmv	LNN/x-1	512	200	44148.7	159855.7
par-omp1	1	mtbmv	LNN/x-1	1024	200	87896.5	320951.3
par-omp1	1	mtbmv	LNU	128	200	10319.8	37231.7
par-omp1	1	mtbmv	LNU	256	200	21316.8	76748.3
par-omp1	1	mtbmv	LNU	512	200	43269.8	155757.8
par-omp1	1	mtbmv	LNU	1024	200	87266.8	313004.0
par-omp1	1	mtbmv	LNU/x2	128	200	10415.0	39346.5
par-omp1	1	mtbmv	LNU/x2	256	200	21599.5	80041.1
par-omp1	1	mtbmv	LNU/x2	512	200	48703.8	166047.1
par-omp1	1	mtbmv	LNU/x2	1024	200	88844.0	323138.6
par-omp1	1	mtbmv	LNU/x-1	128	200	10367.6	38190.2
par-omp1	1	mtbmv	LNU/x-1	256	200	21323.3	78497.1
par-omp1	1	mtbmv	LNU/x-1	512	200	43389.4	159712.5
par-omp1	1	mtbmv	LNU/x-1	1024	200	87077.7	313997.7
