run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mgemv	N	128	200	19635.4	321169.9
par-omp1	1	mgemv	N	256	200	79424.5	1228421.3
par-omp1	1	mgemv	N	512	63	254480.0	4810883.6
par-omp1	1	mgemv	N	1024	15	1402952.8	20046280.1
par-omp1	1	mgemv	N	2048	4	5619934.2	82092363.5
par-omp1	1	mgemv	N/y2	128	200	81805.9	315246.6
par-omp1	1	mgemv	N/y2	256	200	361902.2	1240191.3
par-omp1	1	mgemv	N/y2	512	59	1342895.6	5095426.8
par-omp1	1	mgemv	N/y2	1024	16	5500119.7	19462483.6
par-omp1	1	mgemv	N/y2	2048	4	22425342.6	78667372.5
par-omp1	1	mgemv	N/y-1	128	200	83673.7	300818.3
par-omp1	1	mgemv	N/y-1	256	200	324952.5	1256686.9
par-omp1	1	mgemv	N/y-1	512	61	1403509.2	4958261.5
par-omp1	1	mgemv	N/y-1	1024	15	6002706.6	20335132.1
par-omp1	1	mgemv	N/y-1	2048	4	23197010.4	81083770.8
par-omp1	1	mgemv	N/x2	128	200	87985.9	311322.3
par-omp1	1	mgemv	N/x2	256	200	324821.0	1214814.3
par-omp1	1	mgemv	N/x2	512	60	1309418.7	5040189.0
par-omp1	1	mgemv	N/x2	1024	16	5617221.8	19750414.2
par-omp1	1	mgemv	N/x2	2048	4	22912846.4	78650846.5
par-omp1	1	mgemv	N/x2/y2	128	200	84415.4	308034.6
par-omp1	1	mgemv	N/x2/y2	256	200	342991.7	1299387.3
par-omp1	1	mgemv	N/x2/y2	512	61	1378978.5	4956133.1
par-omp1	1	mgemv	N/x2/y2	1024	15	5987787.6	20125758.6
par-omp1	1	mgemv	N/x2/y2	2048	4	21822745.2	82151761.7
par-omp1	1	mgemv	N/x2/y-1	128	200	87487.1	308510.6
par-omp1	1	mgemv	N/x2/y-1	256	200	330832.6	1200946.4
par-omp1	1	mgemv	N/x2/y-1	512	59	1319651.4	5115615.5
par-omp1	1	mgemv	N/x2/y-1	1024	15	5629507.8	20222600.5
par-omp1	1	mgemv	N/x2/y-1	2048	4	22582970.6	77810506.5
par-omp1	1	mgemv	N/x-1	128	200	81713.5	302169.0
par-omp1	1	mgemv	N/x-1	256	200	333026.5	1268535.6
par-omp1	1	mgemv	N/x-1	512	62	1302208.7	4875349.7
par-omp1	1	mgemv	N/x-1	1024	16	5658066.9	19917996.6
par-omp1	1	mgemv	N/x-1	2048	4	21852019.5	81557337.5
par-omp1	1	mgemv	N/x-1/y2	128	200	86854.4	314059.2
par-omp1	1	mgemv	N/x-1/y2	256	200	323361.4	1204875.0
par-omp1	1	mgemv	N/x-1/y2	512	60	1305962.9	5045275.7
par-omp1	1	mgemv	N/x-1/y2	1024	15	5643135.4	20542634.4
par-omp1	1	mgemv	N/x-1/y2	2048	4	21805637.4	77736970.0
par-omp1	1	mgemv	N/x-1/y-1	128	200	81963.5	300470.3
par-omp1	1	mgemv	N/x-1/y-1	256	200	337403.9	1256074.9
par-omp1	1	mgemv	N/x-1/y-1	512	63	1324764.3	4804639.9
par-omp1	1	mgemv	N/x-1/y-1	1024	16	5626731.8	19838006.6
par-omp1	1	mgemv	N/x-1/y-1	2048	4	21892755.9	82048854.3
par-omp1	1	mgemv	T	128	200	30164.2	316283.0
par-omp1	1	mgemv	T	256	200	111443.7	1196553.0
par-omp1	1	mgemv	T	512	63	425069.6	4847630.4
par-omp1	1	mgemv	T	1024	16	2024601.1	20029452.7
par-omp1	1	mgemv	T	2048	4	8003919.8	77176648.3
par-omp1	1	mgemv	T/y2	128	200	144969.1	301176.9
par-omp1	1	mgemv	T/y2	256	200	601154.3	1219559.8
