run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mgemv	N	128	200	16704.1	320007.1
par-omp1	1	mgemv	N	256	200	71622.2	1238833.6
par-omp1	1	mgemv	N	512	61	270803.3	4987675.3
par-omp1	1	mgemv	N	1024	16	1358662.4	19847277.5
par-omp1	1	mgemv	N	2048	4	5742093.9	78869277.0
par-omp1	1	mgemv	N/y2	128	200	85847.0	306909.6
par-omp1	1	mgemv	N/y2	256	200	346171.6	1222763.3
par-omp1	1	mgemv	N/y2	512	61	1386300.8	4977412.6
par-omp1	1	mgemv	N/y2	1024	16	5722283.5	19495612.0
par-omp1	1	mgemv	N/y2	2048	4	22755320.0	79172889.3
par-omp1	1	mgemv	N/y-1	128	200	83894.4	304986.6
par-omp1	1	mgemv	N/y-1	256	200	337847.5	1229862.0
par-omp1	1	mgemv	N/y-1	512	60	1374921.2	5029594.9
par-omp1	1	mgemv	N/y-1	1024	15	5652469.5	20367847.6
par-omp1	1	mgemv	N/y-1	2048	4	22814816.5	80344024.5
par-omp1	1	mgemv	N/x2	128	200	83986.8	304908.9
par-omp1	1	mgemv	N/x2	256	200	346965.0	1269616.4
par-omp1	1	mgemv	N/x2	512	60	1387957.4	5048748.0
par-omp1	1	mgemv	N/x2	1024	15	5694265.1	20281458.8
par-omp1	1	mgemv	N/x2	2048	4	23530125.9	80276797.7
par-omp1	1	mgemv	N/x2/y2	128	200	85389.2	311326.8
par-omp1	1	mgemv	N/x2/y2	256	200	341634.2	1225859.7
par-omp1	1	mgemv	N/x2/y2	512	62	1398850.2	4888641.1
par-omp1	1	mgemv	N/x2/y2	1024	15	5747751.1	20224719.8
par-omp1	1	mgemv	N/x2/y2	2048	4	22572746.4	79458749.5
par-omp1	1	mgemv	N/x2/y-1	128	200	88389.0	316670.8
par-omp1	1	mgemv	N/x2/y-1	256	200	354342.1	1207201.8
par-omp1	1	mgemv	N/x2/y-1	512	61	1342548.2	4967689.9
par-omp1	1	mgemv	N/x2/y-1	1024	16	5717739.5	19758047.7
par-omp1	1	mgemv	N/x2/y-1	2048	4	23318453.5	79661038.7
par-omp1	1	mgemv	N/x-1	128	200	83704.4	306847.3
par-omp1	1	mgemv	N/x-1	256	200	341675.0	1216017.4
par-omp1	1	mgemv	N/x-1	512	60	1402659.7	5023875.1
par-omp1	1	mgemv	N/x-1	1024	15	5759407.4	20029428.5
par-omp1	1	mgemv	N/x-1	2048	4	22520851.9	79181081.3
par-omp1	1	mgemv	N/x-1/y2	128	200	87593.0	313204.7
par-omp1	1	mgemv	N/x-1/y2	256	200	343387.5	1221212.5
par-omp1	1	mgemv	N/x-1/y2	512	61	1363626.4	4931545.8
par-omp1	1	mgemv	N/x-1/y2	1024	15	5798565.4	20381891.4
par-omp1	1	mgemv	N/x-1/y2	2048	4	23052942.7	79004361.5
par-omp1	1	mgemv	N/x-1/y-1	128	200	84024.8	301015.6
par-omp1	1	mgemv	N/x-1/y-1	256	200	334144.4	1266828.6
