run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mgemv	N	128	200	17533.8	324203.3
par-omp1	1	mgemv	N	256	200	68021.9	1279745.7
par-omp1	1	mgemv	N	512	60	275756.6	5054458.6
par-omp1	1	mgemv	N	1024	16	1354943.1	19754963.0
par-omp1	1	mgemv	N	2048	4	5740634.7	79159730.3
par-omp1	1	mgemv	N/y2	128	200	87819.6	310942.9
par-omp1	1	mgemv	N/y2	256	200	338270.5	1253239.9
par-omp1	1	mgemv	N/y2	512	59	1359524.8	5104110.1
par-omp1	1	mgemv	N/y2	1024	15	5850652.0	20270529.1
par-omp1	1	mgemv	N/y2	2048	4	22662081.7	78836574.2
par-omp1	1	mgemv	N/y-1	128	200	85328.7	306935.2
par-omp1	1	mgemv	N/y-1	256	200	346595.9	1218788.4
par-omp1	1	mgemv	N/y-1	512	60	1395979.2	5051003.8
par-omp1	1	mgemv	N/y-1	1024	15	5529966.6	20067123.9
par-omp1	1	mgemv	N/y-1	2048	4	22895770.0	77867520.5
par-omp1	1	mgemv	N/x2	128	200	85112.4	313039.8
par-omp1	1	mgemv	N/x2	256	200	345917.4	1206937.4
par-omp1	1	mgemv	N/x2	512	60	1343356.0	5057866.5
par-omp1	1	mgemv	N/x2	1024	16	5596958.2	19400476.9
par-omp1	1	mgemv	N/x2	2048	4	22633855.1	79438919.7
par-omp1	1	mgemv	N/x2/y2	128	200	86411.0	307103.7
par-omp1	1	mgemv	N/x2/y2	256	200	337950.0	1209858.2
par-omp1	1	mgemv	N/x2/y2	512	63	1375145.7	4842255.8
par-omp1	1	mgemv	N/x2/y2	1024	16	5661339.8	19645087.6
par-omp1	1	mgemv	N/x2/y2	2048	4	22605440.6	78950131.2
par-omp1	1	mgemv	N/x2/y-1	128	200	85557.5	307707.2
par-omp1	1	mgemv	N/x2/y-1	256	200	334706.9	1203906.5
par-omp1	1	mgemv	N/x2/y-1	512	60	1371444.8	5047819.1
par-omp1	1	mgemv	N/x2/y-1	1024	15	5902877.7	20151970.4
par-omp1	1	mgemv	N/x2/y-1	2048	4	23104176.6	79361473.5
par-omp1	1	mgemv	N/x-1	128	200	83710.7	302767.9
