run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mgemv	N	128	200	21620.4	330877.5
par-omp1	1	mgemv	N	256	200	67738.8	1230564.4
par-omp1	1	mgemv	N	512	61	263200.8	4924294.5
par-omp1	1	mgemv	N	1024	15	1366514.0	20382453.5
par-omp1	1	mgemv	N	2048	4	5740169.8	80196532.0
par-omp1	1	mgemv	N/y2	128	200	87341.4	319855.1
par-omp1	1	mgemv	N/y2	256	200	340476.4	1252399.7
par-omp1	1	mgemv	N/y2	512	61	1314347.9	4936588.4
par-omp1	1	mgemv	N/y2	1024	16	5548141.8	19655879.5
par-omp1	1	mgemv	N/y2	2048	4	22408761.5	80106698.8
par-omp1	1	mgemv	N/y-1	128	200	82283.6	304070.4
par-omp1	1	mgemv	N/y-1	256	200	329737.8	1230065.7
par-omp1	1	mgemv	N/y-1	512	60	1347103.3	5033257.8
par-omp1	1	mgemv	N/y-1	1024	15	5558933.2	20287584.1
par-omp1	1	mgemv	N/y-1	2048	4	22157287.7	80164910.3
par-omp1	1	mgemv	N/x2	128	200	86346.7	323510.6
par-omp1	1	mgemv	N/x2	256	200	341303.6	1269537.2
par-omp1	1	mgemv	N/x2	512	61	1336881.7	4941921.9
par-omp1	1	mgemv	N/x2	1024	16	5660684.9	19768390.9
par-omp1	1	mgemv	N/x2	2048	4	22484879.9	79656947.5
par-omp1	1	mgemv	N/x2/y2	128	200	86178.7	310665.7
par-omp1	1	mgemv	N/x2/y2	256	200	335621.5	1221182.5
par-omp1	1	mgemv	N/x2/y2	512	60	1356286.5	5051297.9
par-omp1	1	mgemv	N/x2/y2	1024	15	5519071.5	20579710.3
par-omp1	1	mgemv	N/x2/y2	2048	4	23159376.5	81121192.8
par-omp1	1	mgemv	N/x2/y-1	128	200	85500.8	320643.8
par-omp1	1	mgemv	N/x2/y-1	256	200	345144.9	1264775.2
par-omp1	1	mgemv	N/x2/y-1	512	61	1315138.0	4954148.8
par-omp1	1	mgemv	N/x2/y-1	1024	16	5576012.1	19490701.5
par-omp1	1	mgemv	N/x2/y-1	2048	4	22877965.3	78439106.2
par-omp1	1	mgemv	N/x-1	128	200	83005.1	307596.5
par-omp1	1	mgemv	N/x-1	256	200	322504.0	1242548.4
par-omp1	1	mgemv	N/x-1	512	63	1365611.5	4835253.7
par-omp1	1	mgemv	N/x-1	1024	15	5480239.3	20518511.5
par-omp1	1	mgemv	N/x-1	2048	4	21678399.2	81553856.8
par-omp1	1	mgemv	N/x-1/y2	128	200	84834.0	313163.6
par-omp1	1	mgemv	N/x-1/y2	256	200	342162.3	1245029.5
par-omp1	1	mgemv	N/x-1/y2	512	61	1311132.7	4944748.5
par-omp1	1	mgemv	N/x-1/y2	1024	16	5674961.8	19929800.8
par-omp1	1	mgemv	N/x-1/y2	2048	4	22693526.6	78304742.0
par-omp1	1	mgemv	N/x-1/y-1	128	200	81507.8	309127.5
par-omp1	1	mgemv	N/x-1/y-1	256	200	329497.9	1233981.0
par-omp1	1	mgemv	N/x-1/y-1	512	62	1355121.8	4858176.2
par-omp1	1	mgemv	N/x-1/y-1	1024	15	5504571.6	20333197.3
par-omp1	1	mgemv	N/x-1/y-1	2048	4	22322191.5	78976611.3
par-omp1	1	mgemv	T	128	200	29470.7	307987.4
par-omp1	1	mgemv	T	256	200	115502.9	1235318.4
par-omp1	1	mgemv	T	512	63	430099.1	4790522.5
par-omp1	1	mgemv	T	1024	16	2017051.7	19708149.0
par-omp1	1	mgemv	T	2048	4	7912108.0	80879894.8
par-omp1	1	mgemv	T/y2	128	200	149153.2	302793.1
par-omp1	1	mgemv	T/y2	256	200	592310.2	1212365.0
par-omp1	1	mgemv	T/y2	512	61	2447505.6	4964535.3
par-omp1	1	mgemv	T/y2	1024	16	9830328.5	19444515.5
par-omp1	1	mgemv	T/y2	2048	4	38075216.2	79145501.0
par-omp1	1	mgemv	T/y-1	128	200	154769.5	318011.8
par-omp1	1	mgemv	T/y-1	256	200	592900.8	1216168.1
par-omp1	1	mgemv	T/y-1	512	61	2339759.0	4931344.1
par-omp1	1	mgemv	T/y-1	1024	15	10040633.3	20124043.0
par-omp1	1	mgemv	T/y-1	2048	4	39871196.5	77857024.3
par-omp1	1	mgemv	T/x2	128	200	148503.6	309407.3
par-omp1	1	mgemv	T/x2	256	200	591277.9	1209738.9
par-omp1	1	mgemv	T/x2	512	61	2408295.4	4937899.9
par-omp1	1	mgemv	T/x2	1024	15	9626809.5	20053175.8
par-omp1	1	mgemv	T/x2	2048	4	38408448.1	78899597.3
par-omp1	1	mgemv	T/x2/y2	128	200	153070.2	318759.9
par-omp1	1	mgemv	T/x2/y2	256	200	610738.9	1219236.7
par-omp1	1	mgemv	T/x2/y2	512	60	2405603.1	5005225.7
par-omp1	1	mgemv	T/x2/y2	1024	15	9626774.7	20280785.1
par-omp1	1	mgemv	T/x2/y2	2048	4	39025507.9	76654266.7
par-omp1	1	mgemv	T/x2/y-1	128	200	152194.9	307218.1
par-omp1	1	mgemv	T/x2/y-1	256	200	608168.9	1238846.5
par-omp1	1	mgemv	T/x2/y-1	512	64	2391895.8	4764403.6
par-omp1	1	mgemv	T/x2/y-1	1024	16	10033407.2	19896040.2
par-omp1	1	mgemv	T/x2/y-1	2048	4	40182476.1	78186332.7
par-omp1	1	mgemv	T/x-1	128	200	148249.3	305522.9
par-omp1	1	mgemv	T/x-1	256	200	594507.6	1230635.6
par-omp1	1	mgemv	T/x-1	512	63	2428374.5	4795345.7
par-omp1	1	mgemv	T/x-1	1024	15	9485684.2	20278192.2
par-omp1	1	mgemv	T/x-1	2048	4	38304174.0	78921659.7
par-omp1	1	mgemv	T/x-1/y2	128	200	151161.8	314279.1
par-omp1	1	mgemv	T/x-1/y2	256	200	592352.0	1217809.1
par-omp1	1	mgemv	T/x-1/y2	512	61	2364932.3	4939806.5
par-omp1	1	mgemv	T/x-1/y2	1024	16	9529917.5	19615240.2
par-omp1	1	mgemv	T/x-1/y2	2048	4	39082328.9	77813593.0
par-omp1	1	mgemv	T/x-1/y-1	128	200	150364.6	310627.3
par-omp1	1	mgemv	T/x-1/y-1	256	200	615328.4	1245145.0
par-omp1	1	mgemv	T/x-1/y-1	512	62	2361637.2	4893804.9
par-omp1	1	mgemv	T/x-1/y-1	1024	16	9925500.2	19338971.6
par-omp1	1	mgemv	T/x-1/y-1	2048	4	39224362.8	78737975.5
par-omp4	4	mgemv	N	128	200	19946.0	307544.1
par-omp4	4	mgemv	N	256	200	76703.0	1226299.5
par-omp4	4	mgemv	N	512	59	260409.0	5108404.9
par-omp4	4	mgemv	N	1024	15	1422526.7	20289771.5
par-omp4	4	mgemv	N	2048	4	5820812.6	79345460.3
par-omp4	4	mgemv	N/y2	128	200	25280.6	320758.7
par-omp4	4	mgemv	N/y2	256	200	109210.2	1286153.9
par-omp4	4	mgemv	N/y2	512	59	389394.3	5168448.7
par-omp4	4	mgemv	N/y2	1024	15	1549129.6	20629988.4
par-omp4	4	mgemv	N/y2	2048	4	6045384.9	82266990.5
par-omp4	4	mgemv	N/y-1	128	200	29125.0	320576.7
par-omp4	4	mgemv	N/y-1	256	200	115610.0	1287819.7
par-omp4	4	mgemv	N/y-1	512	59	393862.1	5104687.7
par-omp4	4	mgemv	N/y-1	1024	15	1591612.4	20752422.2
par-omp4	4	mgemv	N/y-1	2048	4	6195914.7	82737687.7
par-omp4	4	mgemv	N/x2	128	200	27873.2	322345.4
par-omp4	4	mgemv	N/x2	256	200	111594.8	1280643.0
par-omp4	4	mgemv	N/x2	512	59	461084.7	5086725.6
par-omp4	4	mgemv	N/x2	1024	15	1586354.0	20645666.3
par-omp4	4	mgemv	N/x2	2048	4	6077220.2	82287706.5
par-omp4	4	mgemv	N/x2/y2	128	200	28465.9	322814.9
par-omp4	4	mgemv	N/x2/y2	256	200	106528.5	1280495.4
par-omp4	4	mgemv	N/x2/y2	512	59	380703.7	5135306.0
par-omp4	4	mgemv	N/x2/y2	1024	15	1568374.8	20614101.9
par-omp4	4	mgemv	N/x2/y2	2048	4	6065310.4	82150787.0
par-omp4	4	mgemv	N/x2/y-1	128	200	28063.1	321397.8
par-omp4	4	mgemv	N/x2/y-1	256	200	120984.6	1280148.6
par-omp4	4	mgemv	N/x2/y-1	512	59	417089.1	5107097.3
par-omp4	4	mgemv	N/x2/y-1	1024	15	1581019.9	20619591.3
par-omp4	4	mgemv	N/x2/y-1	2048	4	6212799.8	82220084.2
par-omp4	4	mgemv	N/x-1	128	200	31405.2	325105.8
par-omp4	4	mgemv	N/x-1	256	200	109011.9	1284811.6
par-omp4	4	mgemv	N/x-1	512	59	380481.4	5101829.9
par-omp4	4	mgemv	N/x-1	1024	15	1576882.3	20809414.4
par-omp4	4	mgemv	N/x-1	2048	4	6022669.1	82804161.7
par-omp4	4	mgemv	N/x-1/y2	128	200	24507.9	324170.0
par-omp4	4	mgemv	N/x-1/y2	256	200	106310.7	1289474.9
par-omp4	4	mgemv	N/x-1/y2	512	59	383831.2	5126662.4
par-omp4	4	mgemv	N/x-1/y2	1024	15	1565196.4	20852641.3
par-omp4	4	mgemv	N/x-1/y2	2048	4	6039530.6	83146453.7
par-omp4	4	mgemv	N/x-1/y-1	128	200	28834.0	321214.6
