run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mspmv	U	128	200	94152.5	325355.3
par-omp1	1	mspmv	U	256	200	351592.6	1257470.9
par-omp1	1	mspmv	U	512	60	1378250.6	5038644.6
par-omp1	1	mspmv	U	1024	16	5575415.8	19854287.8
par-omp1	1	mspmv	U/y2	128	200	85540.1	318282.2
par-omp1	1	mspmv	U/y2	256	200	346177.4	1242481.8
par-omp1	1	mspmv	U/y2	512	59	1321230.1	5143408.7
par-omp1	1	mspmv	U/y2	1024	15	5462908.7	20224277.1
par-omp1	1	mspmv	U/y-1	128	200	87965.5	322525.3
par-omp1	1	mspmv	U/y-1	256	200	348601.2	1244739.7
par-omp1	1	mspmv	U/y-1	512	61	1367611.6	4922799.5
par-omp1	1	mspmv	U/y-1	1024	16	5313982.5	19969703.1
par-omp1	1	mspmv	U/x2	128	200	86639.1	318994.9
par-omp1	1	mspmv	U/x2	256	200	348305.9	1285404.0
par-omp1	1	mspmv	U/x2	512	61	1336685.7	4976926.4
par-omp1	1	mspmv	U/x2	1024	15	5370362.5	20411083.8
par-omp1	1	mspmv	U/x2/y2	128	200	87404.2	323486.3
par-omp1	1	mspmv	U/x2/y2	256	200	348444.2	1264438.7
par-omp1	1	mspmv	U/x2/y2	512	60	1348761.1	5026616.8
par-omp1	1	mspmv	U/x2/y2	1024	16	5618387.6	19926557.1
par-omp1	1	mspmv	U/x2/y-1	128	200	84804.9	307565.9
par-omp1	1	mspmv	U/x2/y-1	256	200	325641.1	1216288.0
par-omp1	1	mspmv	U/x2/y-1	512	59	1363502.8	5086238.7
par-omp1	1	mspmv	U/x2/y-1	1024	16	5489712.8	19432144.9
par-omp1	1	mspmv	U/x-1	128	200	84992.3	308219.2
par-omp1	1	mspmv	U/x-1	256	200	346164.8	1283777.3
par-omp1	1	mspmv	U/x-1	512	61	1373237.0	4984389.5
par-omp1	1	mspmv	U/x-1	1024	16	5485330.6	19531775.1
par-omp1	1	mspmv	U/x-1/y2	128	200	86450.9	317715.4
par-omp1	1	mspmv	U/x-1/y2	256	200	346373.7	1260175.2
par-omp1	1	mspmv	U/x-1/y2	512	63	1326917.5	4778040.5
par-omp1	1	mspmv	U/x-1/y2	1024	15	5432126.1	20325988.5
par-omp1	1	mspmv	U/x-1/y-1	128	200	87711.9	324338.8
par-omp1	1	mspmv	U/x-1/y-1	256	200	347413.8	1264249.8
par-omp1	1	mspmv	U/x-1/y-1	512	60	1373964.5	5078680.5
par-omp1	1	mspmv	U/x-1/y-1	1024	15	5573856.5	20034155.0
par-omp1	1	mspmv	L	128	200	85386.3	305107.8
par-omp1	1	mspmv	L	256	200	346881.5	1247973.7
par-omp1	1	mspmv	L	512	62	1324712.3	4844723.0
par-omp1	1	mspmv	L	1024	16	5573226.3	19447976.0
par-omp1	1	mspmv	L/y2	128	200	82830.2	302773.5
par-omp1	1	mspmv	L/y2	256	200	333279.8	1230003.6
par-omp1	1	mspmv	L/y2	512	61	1348775.6	4936171.7
par-omp1	1	mspmv	L/y2	1024	16	5262561.1	19537467.6
par-omp1	1	mspmv	L/y-1	128	200	85834.4	325060.8
par-omp1	1	mspmv	L/y-1	256	200	347507.9	1275488.0
par-omp1	1	mspmv	L/y-1	512	61	1331769.6	4984528.0
par-omp1	1	mspmv	L/y-1	1024	16	5199198.7	19262761.2
par-omp1	1	mspmv	L/x2	128	200	84191.3	317442.7
par-omp1	1	mspmv	L/x2	256	200	335910.5	1247316.1
par-omp1	1	mspmv	L/x2	512	62	1311140.5	4850091.2
par-omp1	1	mspmv	L/x2	1024	16	5223611.8	19935262.9
par-omp1	1	mspmv	L/x2/y2	128	200	85643.4	314930.9
par-omp1	1	mspmv	L/x2/y2	256	200	340570.5	1250222.9
par-omp1	1	mspmv	L/x2/y2	512	63	1329862.6	4788702.4
par-omp1	1	mspmv	L/x2/y2	1024	16	5270047.6	19613235.9
par-omp1	1	mspmv	L/x2/y-1	128	200	82138.6	302220.3
par-omp1	1	mspmv	L/x2/y-1	256	200	325469.5	1230051.1
par-omp1	1	mspmv	L/x2/y-1	512	61	1350058.4	4971934.5
par-omp1	1	mspmv	L/x2/y-1	1024	16	5164390.3	19883268.0
par-omp1	1	mspmv	L/x-1	128	200	86760.3	321211.6
par-omp1	1	mspmv	L/x-1	256	200	344537.8	1243069.3
par-omp1	1	mspmv	L/x-1	512	63	1320960.7	4811796.4
par-omp1	1	mspmv	L/x-1	1024	15	5373019.2	20306472.0
par-omp1	1	mspmv	L/x-1/y2	128	200	87532.4	323496.7
par-omp1	1	mspmv	L/x-1/y2	256	200	342556.2	1254334.6
par-omp1	1	mspmv	L/x-1/y2	512	60	1367438.2	5089766.3
par-omp1	1	mspmv	L/x-1/y2	1024	16	5352547.8	19664748.3
par-omp1	1	mspmv	L/x-1/y-1	128	200	82656.4	302181.7
par-omp1	1	mspmv	L/x-1/y-1	256	200	325645.4	1209323.3
par-omp1	1	mspmv	L/x-1/y-1	512	60	1311341.8	5026551.2
par-omp1	1	mspmv	L/x-1/y-1	1024	16	5382257.1	19161476.9
par-omp4	4	mspmv	U	128	200	89400.3	314275.1
par-omp4	4	mspmv	U	256	200	162213.2	1274538.3
par-omp4	4	mspmv	U	512	60	626991.7	5070125.2
par-omp4	4	mspmv	U	1024	15	2626770.5	20169243.5
par-omp4	4	mspmv	U/y2	128	200	87643.0	306655.7
par-omp4	4	mspmv	U/y2	256	200	157347.4	1277306.8
par-omp4	4	mspmv	U/y2	512	59	623245.1	5105879.0
par-omp4	4	mspmv	U/y2	1024	15	2672761.8	20307936.3
par-omp4	4	mspmv	U/y-1	128	200	112631.0	330007.6
par-omp4	4	mspmv	U/y-1	256	200	155866.9	1279455.8
par-omp4	4	mspmv	U/y-1	512	60	626269.6	5069577.6
par-omp4	4	mspmv	U/y-1	1024	15	2623903.5	20220157.1
par-omp4	4	mspmv	U/x2	128	200	83561.7	300747.7
par-omp4	4	mspmv	U/x2	256	200	155577.6	1279931.5
par-omp4	4	mspmv	U/x2	512	59	630220.5	5108024.8
par-omp4	4	mspmv	U/x2	1024	15	2667692.9	20479277.5
par-omp4	4	mspmv	U/x2/y2	128	200	88122.2	321837.2
par-omp4	4	mspmv	U/x2/y2	256	200	156716.7	1281584.6
par-omp4	4	mspmv	U/x2/y2	512	59	628568.6	5115395.7
par-omp4	4	mspmv	U/x2/y2	1024	15	2693367.4	20484295.6
par-omp4	4	mspmv	U/x2/y-1	128	200	87830.0	321219.2
par-omp4	4	mspmv	U/x2/y-1	256	200	156973.8	1281707.8
par-omp4	4	mspmv	U/x2/y-1	512	59	629145.5	5107625.3
par-omp4	4	mspmv	U/x2/y-1	1024	15	2665203.6	20443457.2
par-omp4	4	mspmv	U/x-1	128	200	87414.8	319903.6
par-omp4	4	mspmv	U/x-1	256	200	156394.7	1273826.6
par-omp4	4	mspmv	U/x-1	512	59	624213.3	5107084.0
par-omp4	4	mspmv	U/x-1	1024	15	2663907.6	20509662.5
par-omp4	4	mspmv	U/x-1/y2	128	200	89964.7	323574.7
par-omp4	4	mspmv	U/x-1/y2	256	200	155765.2	1276005.0
par-omp4	4	mspmv	U/x-1/y2	512	60	624439.7	5068765.0
par-omp4	4	mspmv	U/x-1/y2	1024	15	2622242.0	20107018.9
par-omp4	4	mspmv	U/x-1/y-1	128	200	83442.3	306345.4
par-omp4	4	mspmv	U/x-1/y-1	256	200	155718.8	1274041.9
par-omp4	4	mspmv	U/x-1/y-1	512	60	624555.1	5071533.4
par-omp4	4	mspmv	U/x-1/y-1	1024	15	2590759.6	20412345.5
par-omp4	4	mspmv	L	128	200	88116.1	318618.6
par-omp4	4	mspmv	L	256	200	160341.8	1269793.9
par-omp4	4	mspmv	L	512	60	635591.6	5078202.8
par-omp4	4	mspmv	L	1024	15	2879678.1	20237022.5
par-omp4	4	mspmv	L/y2	128	200	88107.6	323861.9
par-omp4	4	mspmv	L/y2	256	200	156489.5	1283578.5
par-omp4	4	mspmv	L/y2	512	60	633289.3	5081375.7
par-omp4	4	mspmv	L/y2	1024	15	2650866.3	20609453.1
par-omp4	4	mspmv	L/y-1	128	200	87405.8	322758.3
par-omp4	4	mspmv	L/y-1	256	200	156620.5	1279194.7
par-omp4	4	mspmv	L/y-1	512	59	633675.9	5091464.7
par-omp4	4	mspmv	L/y-1	1024	15	2671305.2	20380442.3
par-omp4	4	mspmv	L/x2	128	200	87340.2	322666.8
par-omp4	4	mspmv	L/x2	256	200	159847.8	1297605.5
par-omp4	4	mspmv	L/x2	512	59	666953.7	5102039.1
par-omp4	4	mspmv	L/x2	1024	15	2690247.8	20475654.7
