run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	easum	-	64	200	68.4	82.4
epopenblas-omp1	ep_	1	0	easum	-	128	200	111.4	142.6
epopenblas-omp1	ep_	1	0	easum	-	256	200	198.2	262.6
epopenblas-omp1	ep_	1	0	easum	-	512	200	370.2	536.0
epopenblas-omp1	ep_	1	0	easum	-	1024	200	725.2	983.5
epopenblas-omp1	ep_	1	0	easum	-	2048	200	1425.2	1973.9
epopenblas-omp1	ep_	1	0	easum	-	4096	200	2845.1	3974.1
epopenblas-omp1	ep_	1	0	easum	-	16384	200	11726.4	15562.6
epopenblas-omp1	ep_	1	0	easum	-	65536	200	49438.2	62549.4
epopenblas-omp4	ep_	4	0-3	easum	-	64	200	68.3	81.5
epopenblas-omp4	ep_	4	0-3	easum	-	128	200	111.5	142.1
epopenblas-omp4	ep_	4	0-3	easum	-	256	200	198.3	261.8
epopenblas-omp4	ep_	4	0-3	easum	-	512	200	371.3	503.0
epopenblas-omp4	ep_	4	0-3	easum	-	1024	200	724.0	1059.7
epopenblas-omp4	ep_	4	0-3	easum	-	2048	200	1424.0	1948.1
epopenblas-omp4	ep_	4	0-3	easum	-	4096	200	2827.9	3908.8
epopenblas-omp4	ep_	4	0-3	easum	-	16384	200	3767.9	15591.4
epopenblas-omp4	ep_	4	0-3	easum	-	65536	200	12740.3	62788.7
parallel-blas-omp1	par_	1	0	easum	-	64	200	72.7	81.5
parallel-blas-omp1	par_	1	0	easum	-	128	200	115.7	142.6
parallel-blas-omp1	par_	1	0	easum	-	256	200	201.5	262.5
parallel-blas-omp1	par_	1	0	easum	-	512	200	374.4	503.0
parallel-blas-omp1	par_	1	0	easum	-	1024	200	726.8	1019.9
parallel-blas-omp1	par_	1	0	easum	-	2048	200	1425.1	1947.1
parallel-blas-omp1	par_	1	0	easum	-	4096	200	2825.3	3907.0
parallel-blas-omp1	par_	1	0	easum	-	16384	200	11832.1	15574.7
parallel-blas-omp1	par_	1	0	easum	-	65536	200	50117.2	63179.7
parallel-blas-omp4	par_	4	0-3	easum	-	64	200	73.1	81.3
parallel-blas-omp4	par_	4	0-3	easum	-	128	200	114.8	143.4
parallel-blas-omp4	par_	4	0-3	easum	-	256	200	202.6	262.2
parallel-blas-omp4	par_	4	0-3	easum	-	512	200	376.1	503.3
parallel-blas-omp4	par_	4	0-3	easum	-	1024	200	726.0	983.6
parallel-blas-omp4	par_	4	0-3	easum	-	2048	200	1454.3	1949.4
parallel-blas-omp4	par_	4	0-3	easum	-	4096	200	3363.3	3903.6
parallel-blas-omp4	par_	4	0-3	easum	-	16384	200	3745.8	15647.4
parallel-blas-omp4	par_	4	0-3	easum	-	65536	200	12925.6	62246.4
epopenblas-omp1	ep_	1	0	eaxpy	-	64	200	152.7	152.0
epopenblas-omp1	ep_	1	0	eaxpy	-	128	200	278.0	281.1
epopenblas-omp1	ep_	1	0	eaxpy	-	256	200	531.4	543.6
epopenblas-omp1	ep_	1	0	eaxpy	-	512	200	1061.7	1067.7
epopenblas-omp1	ep_	1	0	eaxpy	-	1024	200	2042.9	2191.7
epopenblas-omp1	ep_	1	0	eaxpy	-	2048	200	4069.0	4215.6
epopenblas-omp1	ep_	1	0	eaxpy	-	4096	200	8141.7	8455.3
epopenblas-omp1	ep_	1	0	eaxpy	-	16384	200	32746.0	33885.4
epopenblas-omp1	ep_	1	0	eaxpy	-	65536	200	133261.5	135441.2
epopenblas-omp4	ep_	4	0-3	eaxpy	-	64	200	152.8	150.9
epopenblas-omp4	ep_	4	0-3	eaxpy	-	128	200	277.6	281.1
epopenblas-omp4	ep_	4	0-3	eaxpy	-	256	200	532.8	543.6
epopenblas-omp4	ep_	4	0-3	eaxpy	-	512	200	1031.9	1068.1
epopenblas-omp4	ep_	4	0-3	eaxpy	-	1024	200	2042.9	2113.5
epopenblas-omp4	ep_	4	0-3	eaxpy	-	2048	200	4066.3	4199.3
epopenblas-omp4	ep_	4	0-3	eaxpy	-	4096	200	8076.5	8431.1
epopenblas-omp4	ep_	4	0-3	eaxpy	-	16384	200	118541.1	33706.9
epopenblas-omp4	ep_	4	0-3	eaxpy	-	65536	200	33573.6	136602.5
parallel-blas-omp1	par_	1	0	eaxpy	-	64	200	145.7	150.4
parallel-blas-omp1	par_	1	0	eaxpy	-	128	200	270.6	281.1
parallel-blas-omp1	par_	1	0	eaxpy	-	256	200	524.4	543.7
parallel-blas-omp1	par_	1	0	eaxpy	-	512	200	1093.1	1067.7
parallel-blas-omp1	par_	1	0	eaxpy	-	1024	200	2033.4	2146.0
parallel-blas-omp1	par_	1	0	eaxpy	-	2048	200	4065.2	4267.0
parallel-blas-omp1	par_	1	0	eaxpy	-	4096	200	8206.3	8445.2
parallel-blas-omp1	par_	1	0	eaxpy	-	16384	200	32614.2	33856.6
parallel-blas-omp1	par_	1	0	eaxpy	-	65536	200	130236.2	135306.6
parallel-blas-omp4	par_	4	0-3	eaxpy	-	64	200	145.0	150.8
parallel-blas-omp4	par_	4	0-3	eaxpy	-	128	200	270.6	281.0
parallel-blas-omp4	par_	4	0-3	eaxpy	-	256	200	524.4	615.6
parallel-blas-omp4	par_	4	0-3	eaxpy	-	512	200	1025.5	1067.7
parallel-blas-omp4	par_	4	0-3	eaxpy	-	1024	200	2107.1	2115.8
parallel-blas-omp4	par_	4	0-3	eaxpy	-	2048	200	4057.5	4214.9
parallel-blas-omp4	par_	4	0-3	eaxpy	-	4096	200	8182.8	8406.2
parallel-blas-omp4	par_	4	0-3	eaxpy	-	16384	200	32404.6	34730.8
parallel-blas-omp4	par_	4	0-3	eaxpy	-	65536	200	132237.2	135887.3
epopenblas-omp1	ep_	1	0	ecabs1	-	200	200	26.5	25.5
epopenblas-omp4	ep_	4	0-3	ecabs1	-	200	200	26.4	25.5
parallel-blas-omp1	par_	1	0	ecabs1	-	200	200	25.7	25.5
parallel-blas-omp4	par_	4	0-3	ecabs1	-	200	200	25.5	25.5
epopenblas-omp1	ep_	1	0	ecopy	-	64	200	127.9	124.7
epopenblas-omp1	ep_	1	0	ecopy	-	128	200	232.5	228.7
epopenblas-omp1	ep_	1	0	ecopy	-	256	200	474.1	438.4
epopenblas-omp1	ep_	1	0	ecopy	-	512	200	864.5	1024.4
epopenblas-omp1	ep_	1	0	ecopy	-	1024	200	1834.5	1725.2
epopenblas-omp1	ep_	1	0	ecopy	-	2048	200	3528.4	3415.0
epopenblas-omp1	ep_	1	0	ecopy	-	4096	200	6826.1	6922.1
epopenblas-omp1	ep_	1	0	ecopy	-	16384	200	27246.8	27329.5
epopenblas-omp1	ep_	1	0	ecopy	-	65536	200	108851.7	109907.9
epopenblas-omp4	ep_	4	0-3	ecopy	-	64	200	128.0	124.9
epopenblas-omp4	ep_	4	0-3	ecopy	-	128	200	232.6	228.6
epopenblas-omp4	ep_	4	0-3	ecopy	-	256	200	443.7	438.2
epopenblas-omp4	ep_	4	0-3	ecopy	-	512	200	893.0	866.8
epopenblas-omp4	ep_	4	0-3	ecopy	-	1024	200	1716.2	1747.0
epopenblas-omp4	ep_	4	0-3	ecopy	-	2048	200	3417.6	3458.3
epopenblas-omp4	ep_	4	0-3	ecopy	-	4096	200	6803.8	6841.1
epopenblas-omp4	ep_	4	0-3	ecopy	-	16384	200	7828.4	27267.0
epopenblas-omp4	ep_	4	0-3	ecopy	-	65536	200	28158.0	109452.1
parallel-blas-omp1	par_	1	0	ecopy	-	64	200	33.3	124.9
parallel-blas-omp1	par_	1	0	ecopy	-	128	200	40.3	229.3
parallel-blas-omp1	par_	1	0	ecopy	-	256	200	60.9	438.2
parallel-blas-omp1	par_	1	0	ecopy	-	512	200	101.2	867.1
parallel-blas-omp1	par_	1	0	ecopy	-	1024	200	302.7	1724.1
parallel-blas-omp1	par_	1	0	ecopy	-	2048	200	910.2	3415.6
parallel-blas-omp1	par_	1	0	ecopy	-	4096	200	1730.6	6829.4
parallel-blas-omp1	par_	1	0	ecopy	-	16384	200	10298.9	27353.4
parallel-blas-omp1	par_	1	0	ecopy	-	65536	200	41872.6	110164.9
parallel-blas-omp4	par_	4	0-3	ecopy	-	64	200	33.2	124.8
parallel-blas-omp4	par_	4	0-3	ecopy	-	128	200	40.1	229.4
parallel-blas-omp4	par_	4	0-3	ecopy	-	256	200	60.8	438.2
parallel-blas-omp4	par_	4	0-3	ecopy	-	512	200	101.3	1148.3
parallel-blas-omp4	par_	4	0-3	ecopy	-	1024	200	324.2	1915.6
parallel-blas-omp4	par_	4	0-3	ecopy	-	2048	200	838.0	3434.4
parallel-blas-omp4	par_	4	0-3	ecopy	-	4096	200	1622.6	6836.6
parallel-blas-omp4	par_	4	0-3	ecopy	-	16384	200	9599.0	27352.4
parallel-blas-omp4	par_	4	0-3	ecopy	-	65536	200	39442.9	109806.5
epopenblas-omp1	ep_	1	0	edot	-	64	200	89.4	102.6
epopenblas-omp1	ep_	1	0	edot	-	128	200	149.3	183.8
epopenblas-omp1	ep_	1	0	edot	-	256	200	270.5	346.0
epopenblas-omp1	ep_	1	0	edot	-	512	200	511.2	693.1
epopenblas-omp1	ep_	1	0	edot	-	1024	200	1045.6	1307.8
epopenblas-omp1	ep_	1	0	edot	-	2048	200	2510.5	2595.4
epopenblas-omp1	ep_	1	0	edot	-	4096	200	5056.4	5281.2
epopenblas-omp1	ep_	1	0	edot	-	16384	200	21993.2	22657.4
epopenblas-omp1	ep_	1	0	edot	-	65536	200	87957.5	91263.6
epopenblas-omp4	ep_	4	0-3	edot	-	64	200	89.4	102.6
epopenblas-omp4	ep_	4	0-3	edot	-	128	200	149.6	183.5
epopenblas-omp4	ep_	4	0-3	edot	-	256	200	271.5	346.1
epopenblas-omp4	ep_	4	0-3	edot	-	512	200	510.8	665.3
