run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mswap	-	64	200	40.6	226.1
par-omp1	1	mswap	-	128	200	68.2	257.2
par-omp1	1	mswap	-	256	200	120.7	323.7
par-omp1	1	mswap	-	512	200	216.8	456.6
par-omp1	1	mswap	-	1024	200	495.3	875.0
par-omp1	1	mswap	-	2048	200	1055.9	1600.6
par-omp1	1	mswap	-	4096	200	2298.4	3133.1
par-omp1	1	mswap	-	16384	200	12473.8	13998.1
par-omp1	1	mswap	-	65536	200	48999.2	56549.5
par-omp4	4	mswap	-	64	200	37.7	211.9
par-omp4	4	mswap	-	128	200	59.6	241.3
par-omp4	4	mswap	-	256	200	110.9	302.9
par-omp4	4	mswap	-	512	200	203.3	427.7
par-omp4	4	mswap	-	1024	200	462.6	819.7
par-omp4	4	mswap	-	2048	200	1004.5	1523.7
par-omp4	4	mswap	-	4096	200	2268.4	2973.8
par-omp4	4	mswap	-	16384	200	9506.2	12473.8
par-omp4	4	mswap	-	65536	200	34025.1	52296.0
ob-omp1	1	mswap	-	64	200	38.4	210.8
ob-omp1	1	mswap	-	128	200	61.5	240.1
ob-omp1	1	mswap	-	256	200	111.2	301.8
ob-omp1	1	mswap	-	512	200	203.7	425.3
ob-omp1	1	mswap	-	1024	200	443.9	814.7
ob-omp1	1	mswap	-	2048	200	1255.5	1801.1
ob-omp1	1	mswap	-	4096	200	3055.5	3499.6
ob-omp1	1	mswap	-	16384	200	11673.5	13099.2
ob-omp1	1	mswap	-	65536	200	49046.1	53761.9
ob-omp4	4	mswap	-	64	200	38.4	210.7
ob-omp4	4	mswap	-	128	200	60.4	240.0
ob-omp4	4	mswap	-	256	200	113.4	301.7
ob-omp4	4	mswap	-	512	200	202.2	448.7
ob-omp4	4	mswap	-	1024	200	443.2	816.0
ob-omp4	4	mswap	-	2048	200	1044.5	1492.6
ob-omp4	4	mswap	-	4096	200	2190.6	2930.8
ob-omp4	4	mswap	-	16384	200	9153.8	13045.5
ob-omp4	4	mswap	-	65536	200	34462.1	55492.1
par-omp1	1	mrotmg	-	200	200	80.0	321.2
par-omp4	4	mrotmg	-	200	200	78.8	319.5
ob-omp1	1	mrotmg	-	200	200	81.1	318.6
ob-omp4	4	mrotmg	-	200	200	81.3	319.5
par-omp1	1	mrotm	-	64	200	855.0	3089.6
par-omp1	1	mrotm	-	128	200	1713.6	5990.3
par-omp1	1	mrotm	-	256	200	3387.7	11788.9
par-omp1	1	mrotm	-	512	200	6678.9	23370.0
par-omp1	1	mrotm	-	1024	200	13385.2	46492.0
par-omp1	1	mrotm	-	2048	200	27053.9	92739.9
par-omp1	1	mrotm	-	4096	200	56100.8	190001.9
par-omp1	1	mrotm	-	16384	200	217787.4	703652.0
par-omp1	1	mrotm	-	65536	102	862858.6	2902529.2
par-omp4	4	mrotm	-	64	200	849.9	3236.9
par-omp4	4	mrotm	-	128	200	1677.3	5918.8
par-omp4	4	mrotm	-	256	200	3527.1	11734.0
