run_id	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	0	mtrsv	UNN	128	200	14394.6	153677.8
par-omp1	1	0	mtrsv	UNN	256	200	57174.4	526717.2
par-omp1	1	0	mtrsv	UNN	512	159	213889.0	1893988.5
par-omp1	1	0	mtrsv	UNN	1024	43	905397.0	7005723.8
par-omp1	1	0	mtrsv	UNN/x2	128	200	39216.1	152437.2
par-omp1	1	0	mtrsv	UNN/x2	256	200	119120.9	517330.3
par-omp1	1	0	mtrsv	UNN/x2	512	160	406719.2	1878325.4
par-omp1	1	0	mtrsv	UNN/x2	1024	43	1437260.1	7100694.6
par-omp1	1	0	mtrsv	UNN/x-1	128	200	41272.4	153974.6
par-omp1	1	0	mtrsv	UNN/x-1	256	200	122305.8	517392.2
par-omp1	1	0	mtrsv	UNN/x-1	512	159	410009.6	1892067.7
par-omp1	1	0	mtrsv	UNN/x-1	1024	43	1464988.2	7047375.2
par-omp1	1	0	mtrsv	UNU	128	200	13283.8	147459.5
par-omp1	1	0	mtrsv	UNU	256	200	51483.3	494186.2
par-omp1	1	0	mtrsv	UNU	512	162	202393.4	1857008.3
par-omp1	1	0	mtrsv	UNU	1024	44	876472.0	6932843.6
par-omp1	1	0	mtrsv	UNU/x2	128	200	37271.1	151061.5
par-omp1	1	0	mtrsv	UNU/x2	256	200	112602.8	492964.0
par-omp1	1	0	mtrsv	UNU/x2	512	165	386270.4	1826323.8
par-omp1	1	0	mtrsv	UNU/x2	1024	44	1435617.7	6823775.3
par-omp1	1	0	mtrsv	UNU/x-1	128	200	37806.2	148234.4
par-omp1	1	0	mtrsv	UNU/x-1	256	200	113234.2	496347.0
par-omp1	1	0	mtrsv	UNU/x-1	512	162	396362.0	1853297.4
par-omp1	1	0	mtrsv	UNU/x-1	1024	44	1403204.4	6902905.3
par-omp1	1	0	mtrsv	UTN	128	200	21534.8	162461.9
par-omp1	1	0	mtrsv	UTN	256	200	80781.9	525925.3
par-omp1	1	0	mtrsv	UTN	512	159	308924.4	1891162.4
par-omp1	1	0	mtrsv	UTN	1024	43	1244502.1	6991498.9
par-omp1	1	0	mtrsv	UTN/x2	128	200	59601.4	158959.7
par-omp1	1	0	mtrsv	UTN/x2	256	200	150126.9	523782.9
par-omp1	1	0	mtrsv	UTN/x2	512	159	427674.3	1895159.9
par-omp1	1	0	mtrsv	UTN/x2	1024	44	1275240.6	6948319.2
par-omp1	1	0	mtrsv	UTN/x-1	128	200	60096.0	159343.3
par-omp1	1	0	mtrsv	UTN/x-1	256	200	147102.6	516840.6
par-omp1	1	0	mtrsv	UTN/x-1	512	162	418798.8	1856168.8
par-omp1	1	0	mtrsv	UTN/x-1	1024	43	1312322.4	7002405.7
par-omp1	1	0	mtrsv	UTU	128	200	20662.3	151389.9
par-omp1	1	0	mtrsv	UTU	256	200	79194.8	507837.2
