run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	enrm2	-	64	200	178.0	253.3
epopenblas-omp1	ep_	1	0	enrm2	-	128	200	325.1	478.5
epopenblas-omp1	ep_	1	0	enrm2	-	256	200	611.0	971.0
epopenblas-omp1	ep_	1	0	enrm2	-	512	200	1190.1	1815.1
epopenblas-omp1	ep_	1	0	enrm2	-	1024	200	2386.1	3612.9
epopenblas-omp1	ep_	1	0	enrm2	-	2048	200	4725.4	7257.8
epopenblas-omp1	ep_	1	0	enrm2	-	4096	200	10926.9	14625.0
epopenblas-omp1	ep_	1	0	enrm2	-	16384	200	37535.8	59476.3
epopenblas-omp1	ep_	1	0	enrm2	-	65536	200	152785.5	233417.4
epopenblas-omp4	ep_	4	0-3	enrm2	-	64	200	177.8	253.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	128	200	325.4	478.4
epopenblas-omp4	ep_	4	0-3	enrm2	-	256	200	610.8	923.3
epopenblas-omp4	ep_	4	0-3	enrm2	-	512	200	1190.0	1813.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	1024	200	2409.8	3602.4
epopenblas-omp4	ep_	4	0-3	enrm2	-	2048	200	4826.1	7221.6
epopenblas-omp4	ep_	4	0-3	enrm2	-	4096	200	9400.5	14397.6
epopenblas-omp4	ep_	4	0-3	enrm2	-	16384	200	37410.9	57621.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	65536	200	150796.1	232660.7
parallel-blas-omp1	par_	1	0	enrm2	-	64	200	224.1	300.7
parallel-blas-omp1	par_	1	0	enrm2	-	128	200	410.9	480.2
parallel-blas-omp1	par_	1	0	enrm2	-	256	200	775.7	925.0
parallel-blas-omp1	par_	1	0	enrm2	-	512	200	1508.6	1845.1
parallel-blas-omp1	par_	1	0	enrm2	-	1024	200	2982.3	3658.5
parallel-blas-omp1	par_	1	0	enrm2	-	2048	200	6031.0	7269.3
parallel-blas-omp1	par_	1	0	enrm2	-	4096	200	11976.8	14423.6
parallel-blas-omp1	par_	1	0	enrm2	-	16384	200	47448.7	57880.3
parallel-blas-omp1	par_	1	0	enrm2	-	65536	200	193672.0	234943.6
parallel-blas-omp4	par_	4	0-3	enrm2	-	64	200	224.0	253.4
parallel-blas-omp4	par_	4	0-3	enrm2	-	128	200	410.5	480.6
parallel-blas-omp4	par_	4	0-3	enrm2	-	256	200	775.6	925.9
parallel-blas-omp4	par_	4	0-3	enrm2	-	512	200	1548.5	1817.3
parallel-blas-omp4	par_	4	0-3	enrm2	-	1024	200	3101.6	3642.7
parallel-blas-omp4	par_	4	0-3	enrm2	-	2048	200	5972.9	7341.8
parallel-blas-omp4	par_	4	0-3	enrm2	-	4096	200	11881.4	14403.3
parallel-blas-omp4	par_	4	0-3	enrm2	-	16384	200	8535.5	57770.0
parallel-blas-omp4	par_	4	0-3	enrm2	-	65536	200	31208.9	232261.2
epopenblas-omp1	ep_	1	0	eynrm2	-	64	200	285.9	519.3
epopenblas-omp1	ep_	1	0	eynrm2	-	128	200	545.4	1067.7
epopenblas-omp1	ep_	1	0	eynrm2	-	256	200	1049.1	1975.5
epopenblas-omp1	ep_	1	0	eynrm2	-	512	200	2164.1	3935.9
epopenblas-omp1	ep_	1	0	eynrm2	-	1024	200	4177.1	7897.3
epopenblas-omp1	ep_	1	0	eynrm2	-	2048	200	8390.1	15872.7
epopenblas-omp1	ep_	1	0	eynrm2	-	4096	200	17609.7	32539.3
epopenblas-omp1	ep_	1	0	eynrm2	-	16384	200	69105.7	127380.6
epopenblas-omp1	ep_	1	0	eynrm2	-	65536	200	275961.4	506210.4
epopenblas-omp4	ep_	4	0-3	eynrm2	-	64	200	286.0	549.3
epopenblas-omp4	ep_	4	0-3	eynrm2	-	128	200	545.3	1009.3
epopenblas-omp4	ep_	4	0-3	eynrm2	-	256	200	1049.0	1975.5
epopenblas-omp4	ep_	4	0-3	eynrm2	-	512	200	2089.4	3961.0
epopenblas-omp4	ep_	4	0-3	eynrm2	-	1024	200	4162.4	7848.3
epopenblas-omp4	ep_	4	0-3	eynrm2	-	2048	200	8284.3	15677.1
epopenblas-omp4	ep_	4	0-3	eynrm2	-	4096	200	16672.7	31526.9
epopenblas-omp4	ep_	4	0-3	eynrm2	-	16384	200	68272.8	125914.9
epopenblas-omp4	ep_	4	0-3	eynrm2	-	65536	200	273272.4	509090.0
parallel-blas-omp1	par_	1	0	eynrm2	-	64	200	314.9	518.0
parallel-blas-omp1	par_	1	0	eynrm2	-	128	200	575.9	999.4
parallel-blas-omp1	par_	1	0	eynrm2	-	256	200	1104.0	2018.9
parallel-blas-omp1	par_	1	0	eynrm2	-	512	200	2195.8	3925.0
parallel-blas-omp1	par_	1	0	eynrm2	-	1024	200	4353.6	7798.2
parallel-blas-omp1	par_	1	0	eynrm2	-	2048	200	8766.4	15637.0
parallel-blas-omp1	par_	1	0	eynrm2	-	4096	200	17408.6	31252.7
parallel-blas-omp1	par_	1	0	eynrm2	-	16384	200	73298.2	127440.1
parallel-blas-omp1	par_	1	0	eynrm2	-	65536	200	283682.4	503339.0
parallel-blas-omp4	par_	4	0-3	eynrm2	-	64	200	318.2	517.6
parallel-blas-omp4	par_	4	0-3	eynrm2	-	128	200	575.9	997.5
parallel-blas-omp4	par_	4	0-3	eynrm2	-	256	200	1150.2	1962.0
parallel-blas-omp4	par_	4	0-3	eynrm2	-	512	200	2186.8	3914.3
parallel-blas-omp4	par_	4	0-3	eynrm2	-	1024	200	4358.8	7804.1
parallel-blas-omp4	par_	4	0-3	eynrm2	-	2048	200	8749.5	15602.0
parallel-blas-omp4	par_	4	0-3	eynrm2	-	4096	200	17315.2	31141.9
parallel-blas-omp4	par_	4	0-3	eynrm2	-	16384	200	21025.7	124740.5
parallel-blas-omp4	par_	4	0-3	eynrm2	-	65536	200	89511.4	502967.2
epopenblas-omp1	ep_	1	0	etpsv	UNN	128	200	19436.9	20183.2
epopenblas-omp1	ep_	1	0	etpsv	UNN	256	200	76137.9	76240.4
epopenblas-omp1	ep_	1	0	etpsv	UNN	512	200	294212.3	298167.0
epopenblas-omp1	ep_	1	0	etpsv	UNN	1024	14	20439085.8	22631392.4
epopenblas-omp1	ep_	1	0	etpsv	UNN/x2	128	200	21987.2	22850.9
epopenblas-omp1	ep_	1	0	etpsv	UNN/x2	256	200	86292.5	86199.0
epopenblas-omp1	ep_	1	0	etpsv	UNN/x2	512	200	338818.3	339488.7
epopenblas-omp1	ep_	1	0	etpsv	UNN/x2	1024	13	20846388.6	23172062.2
epopenblas-omp1	ep_	1	0	etpsv	UNN/x-1	128	200	21944.5	21916.7
epopenblas-omp1	ep_	1	0	etpsv	UNN/x-1	256	200	85338.5	85262.7
epopenblas-omp1	ep_	1	0	etpsv	UNN/x-1	512	200	335969.0	335576.7
epopenblas-omp1	ep_	1	0	etpsv	UNN/x-1	1024	14	20713192.3	22917225.6
epopenblas-omp1	ep_	1	0	etpsv	UNU	128	200	18895.6	19120.1
epopenblas-omp1	ep_	1	0	etpsv	UNU	256	200	74874.9	75282.4
epopenblas-omp1	ep_	1	0	etpsv	UNU	512	200	396873.7	396330.3
epopenblas-omp1	ep_	1	0	etpsv	UNU	1024	9	32999785.6	36479401.6
epopenblas-omp1	ep_	1	0	etpsv	UNU/x2	128	200	22643.8	21733.5
epopenblas-omp1	ep_	1	0	etpsv	UNU/x2	256	200	85462.3	85247.3
epopenblas-omp1	ep_	1	0	etpsv	UNU/x2	512	200	441977.7	439144.7
epopenblas-omp1	ep_	1	0	etpsv	UNU/x2	1024	9	33181963.2	36659767.0
