run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	enrm2	-	64	200	282.7	468.5
epopenblas-omp1	ep_	1	0	enrm2	-	128	200	527.7	808.2
epopenblas-omp1	ep_	1	0	enrm2	-	256	200	901.2	1067.2
epopenblas-omp1	ep_	1	0	enrm2	-	512	200	1454.4	1863.6
epopenblas-omp1	ep_	1	0	enrm2	-	1024	200	2367.1	3652.0
epopenblas-omp1	ep_	1	0	enrm2	-	2048	200	4704.9	7246.7
epopenblas-omp1	ep_	1	0	enrm2	-	4096	200	9385.4	14397.6
epopenblas-omp1	ep_	1	0	enrm2	-	16384	200	48105.7	68018.5
epopenblas-omp1	ep_	1	0	enrm2	-	65536	200	158340.5	241702.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	64	200	177.3	253.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	128	200	325.4	478.7
epopenblas-omp4	ep_	4	0-3	enrm2	-	256	200	611.6	923.3
epopenblas-omp4	ep_	4	0-3	enrm2	-	512	200	1255.6	1814.0
epopenblas-omp4	ep_	4	0-3	enrm2	-	1024	200	2400.0	3602.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	2048	200	4689.4	7237.2
epopenblas-omp4	ep_	4	0-3	enrm2	-	4096	200	9363.1	15818.6
epopenblas-omp4	ep_	4	0-3	enrm2	-	16384	200	37513.6	59470.1
epopenblas-omp4	ep_	4	0-3	enrm2	-	65536	200	151745.7	251845.1
parallel-blas-omp1	par_	1	0	enrm2	-	64	200	214.3	252.8
parallel-blas-omp1	par_	1	0	enrm2	-	128	200	399.4	481.0
parallel-blas-omp1	par_	1	0	enrm2	-	256	200	764.5	981.6
parallel-blas-omp1	par_	1	0	enrm2	-	512	200	1495.5	1873.7
parallel-blas-omp1	par_	1	0	enrm2	-	1024	200	3027.9	3657.4
parallel-blas-omp1	par_	1	0	enrm2	-	2048	200	5944.3	8977.2
parallel-blas-omp1	par_	1	0	enrm2	-	4096	200	16374.3	14514.4
parallel-blas-omp1	par_	1	0	enrm2	-	16384	200	51453.9	59942.2
parallel-blas-omp1	par_	1	0	enrm2	-	65536	200	197195.9	231711.5
parallel-blas-omp4	par_	4	0-3	enrm2	-	64	200	214.1	252.9
parallel-blas-omp4	par_	4	0-3	enrm2	-	128	200	399.4	480.4
parallel-blas-omp4	par_	4	0-3	enrm2	-	256	200	798.0	925.2
parallel-blas-omp4	par_	4	0-3	enrm2	-	512	200	1495.6	1817.7
parallel-blas-omp4	par_	4	0-3	enrm2	-	1024	200	3000.0	3640.9
parallel-blas-omp4	par_	4	0-3	enrm2	-	2048	200	5942.9	7224.6
parallel-blas-omp4	par_	4	0-3	enrm2	-	4096	200	11826.2	14427.5
parallel-blas-omp4	par_	4	0-3	enrm2	-	16384	200	47345.9	57840.0
parallel-blas-omp4	par_	4	0-3	enrm2	-	65536	200	189948.1	231740.1
epopenblas-omp1	ep_	1	0	eynrm2	-	64	200	286.1	518.8
epopenblas-omp1	ep_	1	0	eynrm2	-	128	200	545.4	1050.8
epopenblas-omp1	ep_	1	0	eynrm2	-	256	200	1049.0	1975.5
epopenblas-omp1	ep_	1	0	eynrm2	-	512	200	2121.1	3936.8
epopenblas-omp1	ep_	1	0	eynrm2	-	1024	200	4163.5	8661.5
epopenblas-omp1	ep_	1	0	eynrm2	-	2048	200	9206.9	15722.4
epopenblas-omp1	ep_	1	0	eynrm2	-	4096	200	16684.0	31518.9
epopenblas-omp1	ep_	1	0	eynrm2	-	16384	200	68567.7	125823.5
epopenblas-omp1	ep_	1	0	eynrm2	-	65536	200	276797.8	514564.5
epopenblas-omp4	ep_	4	0-3	eynrm2	-	64	200	316.5	518.8
epopenblas-omp4	ep_	4	0-3	eynrm2	-	128	200	545.4	1009.3
epopenblas-omp4	ep_	4	0-3	eynrm2	-	256	200	1049.0	2038.4
epopenblas-omp4	ep_	4	0-3	eynrm2	-	512	200	2089.1	4036.9
epopenblas-omp4	ep_	4	0-3	eynrm2	-	1024	200	4161.8	7845.8
epopenblas-omp4	ep_	4	0-3	eynrm2	-	2048	200	8359.2	15703.7
epopenblas-omp4	ep_	4	0-3	eynrm2	-	4096	200	16717.2	31510.6
epopenblas-omp4	ep_	4	0-3	eynrm2	-	16384	200	72595.3	133027.0
epopenblas-omp4	ep_	4	0-3	eynrm2	-	65536	200	292957.4	519815.6
parallel-blas-omp1	par_	1	0	eynrm2	-	64	200	495.0	788.0
parallel-blas-omp1	par_	1	0	eynrm2	-	128	200	874.2	1257.2
parallel-blas-omp1	par_	1	0	eynrm2	-	256	200	1749.4	1968.8
parallel-blas-omp1	par_	1	0	eynrm2	-	512	200	2233.2	3899.0
parallel-blas-omp1	par_	1	0	eynrm2	-	1024	200	4319.5	7803.5
parallel-blas-omp1	par_	1	0	eynrm2	-	2048	200	8350.5	15616.7
parallel-blas-omp1	par_	1	0	eynrm2	-	4096	200	16754.5	31241.1
parallel-blas-omp1	par_	1	0	eynrm2	-	16384	200	75115.5	134802.3
parallel-blas-omp1	par_	1	0	eynrm2	-	65536	200	274377.5	505074.2
parallel-blas-omp4	par_	4	0-3	eynrm2	-	64	200	287.8	550.8
parallel-blas-omp4	par_	4	0-3	eynrm2	-	128	200	545.1	999.2
parallel-blas-omp4	par_	4	0-3	eynrm2	-	256	200	1052.2	2010.2
parallel-blas-omp4	par_	4	0-3	eynrm2	-	512	200	2093.8	3922.4
