run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	enrm2	-	64	200	215.3	253.9
epopenblas-omp1	ep_	1	0	enrm2	-	128	200	409.8	481.2
epopenblas-omp1	ep_	1	0	enrm2	-	256	200	783.7	926.3
epopenblas-omp1	ep_	1	0	enrm2	-	512	200	1571.3	1817.9
epopenblas-omp1	ep_	1	0	enrm2	-	1024	200	3082.7	3611.1
epopenblas-omp1	ep_	1	0	enrm2	-	2048	200	6141.0	7261.8
epopenblas-omp1	ep_	1	0	enrm2	-	4096	200	12213.5	14545.5
epopenblas-omp1	ep_	1	0	enrm2	-	16384	200	55319.0	63691.8
epopenblas-omp1	ep_	1	0	enrm2	-	65536	200	198599.3	253229.8
epopenblas-omp4	ep_	4	0-3	enrm2	-	64	200	215.8	254.1
epopenblas-omp4	ep_	4	0-3	enrm2	-	128	200	409.3	481.0
epopenblas-omp4	ep_	4	0-3	enrm2	-	256	200	826.9	926.7
epopenblas-omp4	ep_	4	0-3	enrm2	-	512	200	1535.1	1817.9
epopenblas-omp4	ep_	4	0-3	enrm2	-	1024	200	3103.8	3639.2
epopenblas-omp4	ep_	4	0-3	enrm2	-	2048	200	6087.0	7229.8
epopenblas-omp4	ep_	4	0-3	enrm2	-	4096	200	12283.4	14432.2
epopenblas-omp4	ep_	4	0-3	enrm2	-	16384	200	48550.8	57709.9
epopenblas-omp4	ep_	4	0-3	enrm2	-	65536	200	194250.0	231252.3
parallel-blas-omp1	par_	1	0	enrm2	-	64	200	223.9	254.8
parallel-blas-omp1	par_	1	0	enrm2	-	128	200	411.2	508.6
parallel-blas-omp1	par_	1	0	enrm2	-	256	200	774.0	923.8
parallel-blas-omp1	par_	1	0	enrm2	-	512	200	1506.5	1831.0
parallel-blas-omp1	par_	1	0	enrm2	-	1024	200	2978.6	3662.1
parallel-blas-omp1	par_	1	0	enrm2	-	2048	200	5937.4	9435.6
parallel-blas-omp1	par_	1	0	enrm2	-	4096	200	16700.8	14424.1
parallel-blas-omp1	par_	1	0	enrm2	-	16384	200	54094.7	66168.5
parallel-blas-omp1	par_	1	0	enrm2	-	65536	200	198198.9	232978.7
parallel-blas-omp4	par_	4	0-3	enrm2	-	64	200	245.1	274.3
parallel-blas-omp4	par_	4	0-3	enrm2	-	128	200	430.9	493.0
parallel-blas-omp4	par_	4	0-3	enrm2	-	256	200	822.5	924.3
parallel-blas-omp4	par_	4	0-3	enrm2	-	512	200	1505.8	1814.4
parallel-blas-omp4	par_	4	0-3	enrm2	-	1024	200	3045.2	3626.0
parallel-blas-omp4	par_	4	0-3	enrm2	-	2048	200	5936.1	7273.7
parallel-blas-omp4	par_	4	0-3	enrm2	-	4096	200	11813.9	14360.4
parallel-blas-omp4	par_	4	0-3	enrm2	-	16384	200	8530.5	57584.1
parallel-blas-omp4	par_	4	0-3	enrm2	-	65536	200	31710.5	234540.4
epopenblas-omp1	ep_	1	0	eynrm2	-	64	200	294.8	518.0
epopenblas-omp1	ep_	1	0	eynrm2	-	128	200	561.8	1009.3
epopenblas-omp1	ep_	1	0	eynrm2	-	256	200	1077.5	2047.6
epopenblas-omp1	ep_	1	0	eynrm2	-	512	200	2149.8	4041.2
epopenblas-omp1	ep_	1	0	eynrm2	-	1024	200	4499.9	7887.7
epopenblas-omp1	ep_	1	0	eynrm2	-	2048	200	11672.3	15930.3
epopenblas-omp1	ep_	1	0	eynrm2	-	4096	200	32894.2	31436.5
epopenblas-omp1	ep_	1	0	eynrm2	-	16384	200	176161.4	125950.2
epopenblas-omp1	ep_	1	0	eynrm2	-	65536	200	716010.3	509716.2
epopenblas-omp4	ep_	4	0-3	eynrm2	-	64	200	293.7	518.2
epopenblas-omp4	ep_	4	0-3	eynrm2	-	128	200	580.2	1010.0
epopenblas-omp4	ep_	4	0-3	eynrm2	-	256	200	1076.6	1973.9
