run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	enrm2	-	64	200	215.6	254.0
epopenblas-omp1	ep_	1	0	enrm2	-	128	200	409.4	481.4
epopenblas-omp1	ep_	1	0	enrm2	-	256	200	786.9	964.6
epopenblas-omp1	ep_	1	0	enrm2	-	512	200	1913.8	1818.4
epopenblas-omp1	ep_	1	0	enrm2	-	1024	200	3080.4	4269.1
epopenblas-omp1	ep_	1	0	enrm2	-	2048	200	6824.5	7273.7
epopenblas-omp1	ep_	1	0	enrm2	-	4096	200	13174.1	14466.3
epopenblas-omp1	ep_	1	0	enrm2	-	16384	200	55356.4	91914.7
epopenblas-omp1	ep_	1	0	enrm2	-	65536	200	206149.4	236331.0
epopenblas-omp4	ep_	4	0-3	enrm2	-	64	200	214.2	254.1
epopenblas-omp4	ep_	4	0-3	enrm2	-	128	200	409.3	480.7
epopenblas-omp4	ep_	4	0-3	enrm2	-	256	200	816.1	926.5
epopenblas-omp4	ep_	4	0-3	enrm2	-	512	200	1527.9	1817.1
epopenblas-omp4	ep_	4	0-3	enrm2	-	1024	200	3053.1	3633.1
epopenblas-omp4	ep_	4	0-3	enrm2	-	2048	200	6068.6	7314.2
epopenblas-omp4	ep_	4	0-3	enrm2	-	4096	200	12178.5	14416.0
epopenblas-omp4	ep_	4	0-3	enrm2	-	16384	200	48736.9	58693.3
epopenblas-omp4	ep_	4	0-3	enrm2	-	65536	200	196090.6	232795.0
parallel-blas-omp1	par_	1	0	enrm2	-	64	200	224.0	254.0
parallel-blas-omp1	par_	1	0	enrm2	-	128	200	435.6	510.1
parallel-blas-omp1	par_	1	0	enrm2	-	256	200	774.8	924.0
parallel-blas-omp1	par_	1	0	enrm2	-	512	200	1505.6	1842.7
parallel-blas-omp1	par_	1	0	enrm2	-	1024	200	2979.3	3632.6
parallel-blas-omp1	par_	1	0	enrm2	-	2048	200	5937.2	7235.5
parallel-blas-omp1	par_	1	0	enrm2	-	4096	200	11827.7	14443.1
parallel-blas-omp1	par_	1	0	enrm2	-	16384	200	47499.7	59205.6
parallel-blas-omp1	par_	1	0	enrm2	-	65536	200	191890.8	233914.0
