run_id	run_binary	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
epopenblas-omp1	ep_	1	0	easum	-	64	200	68.6	82.2
epopenblas-omp1	ep_	1	0	easum	-	128	200	112.9	142.7
epopenblas-omp1	ep_	1	0	easum	-	256	200	198.4	262.5
epopenblas-omp1	ep_	1	0	easum	-	512	200	370.3	503.2
epopenblas-omp1	ep_	1	0	easum	-	1024	200	725.2	983.2
epopenblas-omp1	ep_	1	0	easum	-	2048	200	1451.4	1962.0
epopenblas-omp1	ep_	1	0	easum	-	4096	200	2860.2	3909.6
epopenblas-omp1	ep_	1	0	easum	-	16384	200	11826.4	15824.8
epopenblas-omp1	ep_	1	0	easum	-	65536	200	49283.7	62789.3
epopenblas-omp4	ep_	4	0-3	easum	-	64	200	68.3	82.0
epopenblas-omp4	ep_	4	0-3	easum	-	128	200	112.7	142.0
epopenblas-omp4	ep_	4	0-3	easum	-	256	200	198.6	261.9
epopenblas-omp4	ep_	4	0-3	easum	-	512	200	430.1	503.1
epopenblas-omp4	ep_	4	0-3	easum	-	1024	200	725.8	983.1
epopenblas-omp4	ep_	4	0-3	easum	-	2048	200	1422.9	1978.5
epopenblas-omp4	ep_	4	0-3	easum	-	4096	200	2848.4	3872.0
epopenblas-omp4	ep_	4	0-3	easum	-	16384	200	3816.5	15555.8
epopenblas-omp4	ep_	4	0-3	easum	-	65536	200	13295.1	62052.0
parallel-blas-omp1	par_	1	0	easum	-	64	200	72.5	82.6
parallel-blas-omp1	par_	1	0	easum	-	128	200	114.9	142.6
parallel-blas-omp1	par_	1	0	easum	-	256	200	201.6	262.2
parallel-blas-omp1	par_	1	0	easum	-	512	200	374.5	503.5
parallel-blas-omp1	par_	1	0	easum	-	1024	200	727.1	1057.5
parallel-blas-omp1	par_	1	0	easum	-	2048	200	1424.4	1947.9
parallel-blas-omp1	par_	1	0	easum	-	4096	200	2868.9	3901.9
parallel-blas-omp1	par_	1	0	easum	-	16384	200	11913.2	15590.1
parallel-blas-omp1	par_	1	0	easum	-	65536	200	49295.9	62623.2
parallel-blas-omp4	par_	4	0-3	easum	-	64	200	72.4	81.6
parallel-blas-omp4	par_	4	0-3	easum	-	128	200	112.8	142.7
parallel-blas-omp4	par_	4	0-3	easum	-	256	200	201.6	262.2
parallel-blas-omp4	par_	4	0-3	easum	-	512	200	376.1	503.4
parallel-blas-omp4	par_	4	0-3	easum	-	1024	200	727.3	1043.9
parallel-blas-omp4	par_	4	0-3	easum	-	2048	200	1423.9	1947.7
parallel-blas-omp4	par_	4	0-3	easum	-	4096	200	2836.9	3887.8
parallel-blas-omp4	par_	4	0-3	easum	-	16384	200	3726.1	15616.6
parallel-blas-omp4	par_	4	0-3	easum	-	65536	200	12722.7	62399.8
epopenblas-omp1	ep_	1	0	eaxpy	-	64	200	152.7	150.6
epopenblas-omp1	ep_	1	0	eaxpy	-	128	200	277.9	281.1
epopenblas-omp1	ep_	1	0	eaxpy	-	256	200	532.2	544.0
epopenblas-omp1	ep_	1	0	eaxpy	-	512	200	1069.9	1067.8
epopenblas-omp1	ep_	1	0	eaxpy	-	1024	200	2043.4	2143.8
epopenblas-omp1	ep_	1	0	eaxpy	-	2048	200	4119.3	4269.1
epopenblas-omp1	ep_	1	0	eaxpy	-	4096	200	8127.7	8476.8
epopenblas-omp1	ep_	1	0	eaxpy	-	16384	200	32688.2	33923.7
epopenblas-omp1	ep_	1	0	eaxpy	-	65536	200	130355.8	135321.3
epopenblas-omp4	ep_	4	0-3	eaxpy	-	64	200	153.1	150.1
epopenblas-omp4	ep_	4	0-3	eaxpy	-	128	200	279.4	286.2
epopenblas-omp4	ep_	4	0-3	eaxpy	-	256	200	531.1	545.0
epopenblas-omp4	ep_	4	0-3	eaxpy	-	512	200	1032.7	1095.5
epopenblas-omp4	ep_	4	0-3	eaxpy	-	1024	200	2043.3	2113.7
epopenblas-omp4	ep_	4	0-3	eaxpy	-	2048	200	4064.8	4200.2
epopenblas-omp4	ep_	4	0-3	eaxpy	-	4096	200	8119.8	8389.5
epopenblas-omp4	ep_	4	0-3	eaxpy	-	16384	200	8879.1	33619.7
