run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	qswap	-	64	200	45.2	44.0
par-omp1	1	qswap	-	128	200	74.8	72.7
par-omp1	1	qswap	-	256	200	136.1	136.8
par-omp1	1	qswap	-	512	200	258.5	256.2
par-omp1	1	qswap	-	1024	200	563.9	564.7
par-omp1	1	qswap	-	2048	200	1220.3	1218.8
par-omp1	1	qswap	-	4096	200	2536.2	2526.8
par-omp1	1	qswap	-	16384	200	12960.4	12927.6
par-omp1	1	qswap	-	65536	200	53656.7	53565.0
par-omp4	4	qswap	-	64	200	45.5	44.2
par-omp4	4	qswap	-	128	200	74.8	72.7
par-omp4	4	qswap	-	256	200	136.5	137.2
par-omp4	4	qswap	-	512	200	258.4	256.8
par-omp4	4	qswap	-	1024	200	560.6	558.8
par-omp4	4	qswap	-	2048	200	1253.0	1256.7
par-omp4	4	qswap	-	4096	200	2671.3	2662.2
par-omp4	4	qswap	-	16384	200	8853.0	12241.0
par-omp4	4	qswap	-	65536	200	32807.1	51820.5
ob-omp1	1	qswap	-	64	200	45.9	43.7
ob-omp1	1	qswap	-	128	200	75.0	72.4
ob-omp1	1	qswap	-	256	200	138.0	137.2
ob-omp1	1	qswap	-	512	200	258.3	256.7
ob-omp1	1	qswap	-	1024	200	563.9	559.6
ob-omp1	1	qswap	-	2048	200	1229.8	1228.3
ob-omp1	1	qswap	-	4096	200	2562.2	2528.2
ob-omp1	1	qswap	-	16384	200	12965.2	12835.7
ob-omp1	1	qswap	-	65536	200	53660.6	53687.4
ob-omp4	4	qswap	-	64	200	45.3	44.1
ob-omp4	4	qswap	-	128	200	77.4	74.5
ob-omp4	4	qswap	-	256	200	137.0	137.5
ob-omp4	4	qswap	-	512	200	257.9	256.6
ob-omp4	4	qswap	-	1024	200	563.0	562.8
ob-omp4	4	qswap	-	2048	200	1218.1	1218.7
ob-omp4	4	qswap	-	4096	200	2520.3	2514.9
ob-omp4	4	qswap	-	16384	200	9494.9	12893.5
ob-omp4	4	qswap	-	65536	200	34484.0	53623.4
par-omp1	1	qsyrk	UN	64	56	5385096.4	5194217.3
par-omp1	1	qsyrk	UN	128	7	42944540.9	43428852.0
par-omp1	1	qsyrk	UN	256	1	350015450.0	319728419.0
par-omp1	1	qsyrk	UN	512	1	2399377624.0	2370940226.0
par-omp1	1	qsyrk	UT	64	71	4197450.3	4264864.5
par-omp1	1	qsyrk	UT	128	10	32678545.2	32737057.0
par-omp1	1	qsyrk	UT	256	2	250579104.5	253019064.0
par-omp1	1	qsyrk	UT	512	1	1981650987.0	1996546731.0
par-omp1	1	qsyrk	LN	64	60	5072326.3	5008664.5
par-omp1	1	qsyrk	LN	128	8	39087410.3	38789574.5
par-omp1	1	qsyrk	LN	256	1	302675212.0	304572838.0
par-omp1	1	qsyrk	LN	512	1	2347374701.0	2351972651.0
par-omp1	1	qsyrk	LT	64	71	4206303.2	4262040.3
par-omp1	1	qsyrk	LT	128	10	32303730.1	32586343.3
