run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	egemm	NN	64	200	191267.7	289735.1
par-omp1	1	egemm	NN	128	133	1432443.6	2259395.3
par-omp1	1	egemm	NN	256	18	10840195.6	17507288.5
par-omp1	1	egemm	NN	512	3	86024516.2	142559506.3
par-omp1	1	egemm	TN	64	200	191740.5	219173.2
par-omp1	1	egemm	TN	128	153	1409802.7	1964170.4
par-omp1	1	egemm	TN	256	19	10972282.5	15815009.8
par-omp1	1	egemm	TN	512	3	87071325.0	129192309.3
par-omp1	1	egemm	NT	64	200	188074.3	287906.8
par-omp1	1	egemm	NT	128	133	1421827.1	2258340.7
par-omp1	1	egemm	NT	256	17	11146410.1	17654353.5
par-omp1	1	egemm	NT	512	3	84910826.2	143786905.0
par-omp1	1	egemm	TT	64	200	185370.1	254837.3
par-omp1	1	egemm	TT	128	106	1385370.6	2837675.6
par-omp1	1	egemm	TT	256	10	10740417.4	30665299.0
par-omp1	1	egemm	TT	512	2	84675335.0	248204256.5
par-omp4	4	egemm	NN	64	200	61164.4	291064.8
par-omp4	4	egemm	NN	128	130	408972.8	2324350.9
par-omp4	4	egemm	NN	256	17	3027745.6	18134901.1
par-omp4	4	egemm	NN	512	3	23403130.3	141679366.0
par-omp4	4	egemm	TN	64	200	61952.1	249621.6
par-omp4	4	egemm	TN	128	147	413943.5	2053142.4
par-omp4	4	egemm	TN	256	19	3082200.8	16568713.3
par-omp4	4	egemm	TN	512	3	23533589.8	130730510.7
par-omp4	4	egemm	NT	64	200	58286.6	293233.4
par-omp4	4	egemm	NT	128	128	402767.2	2355083.7
par-omp4	4	egemm	NT	256	17	2971506.6	18036043.6
par-omp4	4	egemm	NT	512	3	23760223.8	144174659.3
par-omp4	4	egemm	TT	64	200	60471.7	259855.6
par-omp4	4	egemm	TT	128	98	406312.3	3078280.2
par-omp4	4	egemm	TT	256	11	2959859.0	28505767.0
par-omp4	4	egemm	TT	512	2	23246987.9	237612289.5
ob-omp1	1	egemm	NN	64	200	190236.9	283021.8
ob-omp1	1	egemm	NN	128	138	1397287.0	2190888.9
ob-omp1	1	egemm	NN	256	18	10990698.8	17441143.7
ob-omp1	1	egemm	NN	512	3	86260182.7	139603876.0
ob-omp1	1	egemm	TN	64	200	183090.2	237321.2
ob-omp1	1	egemm	TN	128	151	1413874.3	1987202.4
ob-omp1	1	egemm	TN	256	19	10942983.6	15993675.8
ob-omp1	1	egemm	TN	512	3	83565492.0	129361118.7
ob-omp1	1	egemm	NT	64	200	181388.8	285986.9
ob-omp1	1	egemm	NT	128	133	1380525.1	2267152.4
ob-omp1	1	egemm	NT	256	18	11196616.6	17556328.0
ob-omp1	1	egemm	NT	512	3	88766891.0	142526142.7
ob-omp1	1	egemm	TT	64	200	183878.1	262367.6
ob-omp1	1	egemm	TT	128	106	1399129.6	2853903.6
ob-omp1	1	egemm	TT	256	10	10575719.0	30649124.3
ob-omp1	1	egemm	TT	512	2	86507838.2	248395646.0
ob-omp4	4	egemm	NN	64	200	83262.0	291483.5
ob-omp4	4	egemm	NN	128	129	529758.4	2334712.9
ob-omp4	4	egemm	NN	256	17	2970712.5	17977040.9
ob-omp4	4	egemm	NN	512	3	23047427.8	145461416.3
ob-omp4	4	egemm	TN	64	200	59450.6	239105.6
ob-omp4	4	egemm	TN	128	147	406738.9	2048934.3
ob-omp4	4	egemm	TN	256	18	2939634.7	16806410.3
ob-omp4	4	egemm	TN	512	3	22882671.4	134014333.3
ob-omp4	4	egemm	NT	64	200	63168.9	293180.3
ob-omp4	4	egemm	NT	128	129	402196.8	2327819.2
ob-omp4	4	egemm	NT	256	17	3005177.0	18203137.7
ob-omp4	4	egemm	NT	512	3	23186209.9	145390849.7
ob-omp4	4	egemm	TT	64	200	59642.1	280382.6
ob-omp4	4	egemm	TT	128	110	402211.1	2751111.4
ob-omp4	4	egemm	TT	256	11	3049759.9	29173219.5
ob-omp4	4	egemm	TT	512	2	23157623.4	226880227.0
par-omp1	1	egemm	NN	64	200	186849.1	280485.3
par-omp1	1	egemm	NN	128	137	1409387.5	2196524.3
par-omp1	1	egemm	NN	256	17	10520017.4	17833363.1
par-omp1	1	egemm	NN	512	3	84125246.2	139182303.0
par-omp1	1	egemm	TN	64	200	184003.0	224805.7
par-omp1	1	egemm	TN	128	152	1416453.9	1983639.0
