run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	eger	-	128	200	28498.2	29232.2
par-omp1	1	eger	-	256	200	110580.4	106656.1
par-omp1	1	eger	-	512	200	415778.4	409211.7
par-omp1	1	eger	-	1024	103	1927867.3	2003073.5
par-omp1	1	eger	y2	128	200	27457.9	27135.9
par-omp1	1	eger	y2	256	200	106990.5	106155.9
par-omp1	1	eger	y2	512	200	414257.6	409201.2
par-omp1	1	eger	y2	1024	103	1946413.8	1966134.9
par-omp1	1	eger	y-1	128	200	28028.7	27791.9
par-omp1	1	eger	y-1	256	200	109542.0	103065.0
par-omp1	1	eger	y-1	512	200	408746.7	408314.5
par-omp1	1	eger	y-1	1024	101	1972455.3	1993607.2
par-omp1	1	eger	x2	128	200	30011.5	29545.5
par-omp1	1	eger	x2	256	200	120255.9	123041.5
par-omp1	1	eger	x2	512	200	484539.0	474967.6
par-omp1	1	eger	x2	1024	94	2189222.4	2218815.5
par-omp1	1	eger	x2/y2	128	200	30391.1	31659.5
par-omp1	1	eger	x2/y2	256	200	120708.8	119506.7
par-omp1	1	eger	x2/y2	512	200	481409.6	468516.3
par-omp1	1	eger	x2/y2	1024	94	2168332.7	2217452.0
par-omp1	1	eger	x2/y-1	128	200	31814.4	31543.3
par-omp1	1	eger	x2/y-1	256	200	124926.9	119480.5
par-omp1	1	eger	x2/y-1	512	200	491364.6	481176.5
par-omp1	1	eger	x2/y-1	1024	91	2161796.4	2249041.7
par-omp1	1	eger	x-1	128	200	31145.1	30915.3
par-omp1	1	eger	x-1	256	200	126475.4	126313.2
par-omp1	1	eger	x-1	512	200	497341.5	488785.9
par-omp1	1	eger	x-1	1024	92	2149417.8	2242894.7
par-omp1	1	eger	x-1/y2	128	200	32097.3	30923.2
par-omp1	1	eger	x-1/y2	256	200	123064.3	121612.0
par-omp1	1	eger	x-1/y2	512	200	478269.4	483199.2
par-omp1	1	eger	x-1/y2	1024	94	2169380.4	2194616.3
par-omp1	1	eger	x-1/y-1	128	200	29717.8	30547.1
par-omp1	1	eger	x-1/y-1	256	200	121221.9	121607.8
par-omp1	1	eger	x-1/y-1	512	200	479748.7	490139.7
par-omp1	1	eger	x-1/y-1	1024	94	2201019.7	2206378.4
par-omp4	4	eger	-	128	200	8514.4	27880.0
par-omp4	4	eger	-	256	200	29996.0	109176.4
par-omp4	4	eger	-	512	200	116785.3	435799.9
par-omp4	4	eger	-	1024	100	944531.1	2079244.6
par-omp4	4	eger	y2	128	200	8061.7	29192.3
par-omp4	4	eger	y2	256	200	31474.5	109499.5
par-omp4	4	eger	y2	512	200	117333.0	436787.8
par-omp4	4	eger	y2	1024	104	945944.5	2006492.0
par-omp4	4	eger	y-1	128	200	8169.4	27847.1
par-omp4	4	eger	y-1	256	200	30289.1	109985.5
par-omp4	4	eger	y-1	512	200	121722.4	437534.0
par-omp4	4	eger	y-1	1024	100	956757.0	2062146.4
par-omp4	4	eger	x2	128	200	8891.0	34160.0
par-omp4	4	eger	x2	256	200	34962.8	127876.7
par-omp4	4	eger	x2	512	200	136034.1	539735.0
par-omp4	4	eger	x2	1024	95	957526.7	2256951.9
par-omp4	4	eger	x2/y2	128	200	9403.4	31640.2
par-omp4	4	eger	x2/y2	256	200	32883.8	124502.2
par-omp4	4	eger	x2/y2	512	200	131303.8	495809.5
par-omp4	4	eger	x2/y2	1024	94	981188.1	2281911.6
par-omp4	4	eger	x2/y-1	128	200	9659.4	31604.2
par-omp4	4	eger	x2/y-1	256	200	33720.7	129694.4
par-omp4	4	eger	x2/y-1	512	200	133407.3	511736.5
par-omp4	4	eger	x2/y-1	1024	93	974655.7	2296214.0
par-omp4	4	eger	x-1	128	200	8861.5	31635.8
