run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	esbmv	U	128	200	3955.9	4775.1
par-omp1	1	esbmv	U	256	200	8370.8	10854.1
par-omp1	1	esbmv	U	512	200	18592.8	22378.0
par-omp1	1	esbmv	U	1024	200	39853.2	44112.1
par-omp1	1	esbmv	U/y2	128	200	4020.1	4967.8
par-omp1	1	esbmv	U/y2	256	200	8197.7	9704.3
par-omp1	1	esbmv	U/y2	512	200	16612.0	20121.7
par-omp1	1	esbmv	U/y2	1024	200	36112.1	40609.1
par-omp1	1	esbmv	U/y-1	128	200	3903.6	4860.6
par-omp1	1	esbmv	U/y-1	256	200	8002.8	9929.3
par-omp1	1	esbmv	U/y-1	512	200	16646.8	20130.2
par-omp1	1	esbmv	U/y-1	1024	200	35874.7	40582.2
par-omp1	1	esbmv	U/x2	128	200	3918.2	4861.5
par-omp1	1	esbmv	U/x2	256	200	8039.5	9995.7
par-omp1	1	esbmv	U/x2	512	200	16576.9	20225.5
par-omp1	1	esbmv	U/x2	1024	200	36021.6	40753.3
par-omp1	1	esbmv	U/x2/y2	128	200	3956.6	4828.5
par-omp1	1	esbmv	U/x2/y2	256	200	8086.4	9924.7
par-omp1	1	esbmv	U/x2/y2	512	200	16751.9	20116.4
par-omp1	1	esbmv	U/x2/y2	1024	200	36410.0	38966.5
par-omp1	1	esbmv	U/x2/y-1	128	200	3635.5	4540.2
par-omp1	1	esbmv	U/x2/y-1	256	200	7498.5	9270.8
par-omp1	1	esbmv	U/x2/y-1	512	200	15746.2	18947.6
par-omp1	1	esbmv	U/x2/y-1	1024	200	33814.0	38654.1
par-omp1	1	esbmv	U/x-1	128	200	3646.0	4687.4
par-omp1	1	esbmv	U/x-1	256	200	7506.2	9327.6
par-omp1	1	esbmv	U/x-1	512	200	15513.6	18901.9
par-omp1	1	esbmv	U/x-1	1024	200	33487.4	38212.5
par-omp1	1	esbmv	U/x-1/y2	128	200	3648.9	4531.3
par-omp1	1	esbmv	U/x-1/y2	256	200	7632.4	9310.3
par-omp1	1	esbmv	U/x-1/y2	512	200	15644.8	18869.3
par-omp1	1	esbmv	U/x-1/y2	1024	200	34489.3	38283.3
par-omp1	1	esbmv	U/x-1/y-1	128	200	3665.1	4676.9
par-omp1	1	esbmv	U/x-1/y-1	256	200	7631.3	9280.9
par-omp1	1	esbmv	U/x-1/y-1	512	200	15532.7	18808.9
par-omp1	1	esbmv	U/x-1/y-1	1024	200	33991.1	40643.1
par-omp1	1	esbmv	L	128	200	3518.2	4617.9
par-omp1	1	esbmv	L	256	200	7256.0	9461.7
par-omp1	1	esbmv	L	512	200	15065.4	19139.2
par-omp1	1	esbmv	L	1024	200	32476.1	38535.5
par-omp1	1	esbmv	L/y2	128	200	3651.9	4713.3
par-omp1	1	esbmv	L/y2	256	200	7546.8	11314.8
par-omp1	1	esbmv	L/y2	512	200	16253.5	19542.3
par-omp1	1	esbmv	L/y2	1024	200	31757.3	39551.6
par-omp1	1	esbmv	L/y-1	128	200	3614.0	4717.7
par-omp1	1	esbmv	L/y-1	256	200	7554.5	9788.0
par-omp1	1	esbmv	L/y-1	512	200	15417.3	19976.8
par-omp1	1	esbmv	L/y-1	1024	200	31907.2	39203.5
par-omp1	1	esbmv	L/x2	128	200	3627.1	4721.3
par-omp1	1	esbmv	L/x2	256	200	7462.4	10007.3
par-omp1	1	esbmv	L/x2	512	200	15899.5	20487.8
par-omp1	1	esbmv	L/x2	1024	200	33449.4	41234.2
par-omp1	1	esbmv	L/x2/y2	128	200	3761.9	4916.1
par-omp1	1	esbmv	L/x2/y2	256	200	7767.8	10082.9
par-omp1	1	esbmv	L/x2/y2	512	200	15817.8	20396.2
par-omp1	1	esbmv	L/x2/y2	1024	200	32752.1	41086.7
par-omp1	1	esbmv	L/x2/y-1	128	200	3775.0	4930.5
par-omp1	1	esbmv	L/x2/y-1	256	200	7784.8	10107.5
par-omp1	1	esbmv	L/x2/y-1	512	200	15824.9	20431.5
par-omp1	1	esbmv	L/x2/y-1	1024	200	32667.2	41135.1
par-omp1	1	esbmv	L/x-1	128	200	3768.8	4934.7
par-omp1	1	esbmv	L/x-1	256	200	7722.5	10120.2
par-omp1	1	esbmv	L/x-1	512	200	15751.5	20475.8
par-omp1	1	esbmv	L/x-1	1024	200	32195.1	40546.1
par-omp1	1	esbmv	L/x-1/y2	128	200	3597.9	4860.7
par-omp1	1	esbmv	L/x-1/y2	256	200	7544.9	9628.4
par-omp1	1	esbmv	L/x-1/y2	512	200	14972.2	19556.9
par-omp1	1	esbmv	L/x-1/y2	1024	200	30667.1	39511.3
par-omp1	1	esbmv	L/x-1/y-1	128	200	3581.2	4698.8
par-omp1	1	esbmv	L/x-1/y-1	256	200	7397.3	9918.4
par-omp1	1	esbmv	L/x-1/y-1	512	200	15761.6	19499.0
par-omp1	1	esbmv	L/x-1/y-1	1024	200	30904.4	39477.9
par-omp4	4	esbmv	U	128	200	3812.6	4693.3
par-omp4	4	esbmv	U	256	200	3005.5	9769.3
par-omp4	4	esbmv	U	512	200	5401.5	19771.3
par-omp4	4	esbmv	U	1024	200	10188.0	39787.5
par-omp4	4	esbmv	U/y2	128	200	3923.0	4854.8
par-omp4	4	esbmv	U/y2	256	200	3109.3	9928.1
par-omp4	4	esbmv	U/y2	512	200	5577.0	20105.2
par-omp4	4	esbmv	U/y2	1024	200	10722.0	42464.5
par-omp4	4	esbmv	U/y-1	128	200	3895.9	4860.7
par-omp4	4	esbmv	U/y-1	256	200	3096.0	9935.8
par-omp4	4	esbmv	U/y-1	512	200	5519.7	20152.5
par-omp4	4	esbmv	U/y-1	1024	200	10315.7	40608.3
par-omp4	4	esbmv	U/x2	128	200	3916.4	4861.1
par-omp4	4	esbmv	U/x2	256	200	3789.0	9996.7
par-omp4	4	esbmv	U/x2	512	200	6395.3	20217.8
par-omp4	4	esbmv	U/x2	1024	200	11789.2	40737.3
par-omp4	4	esbmv	U/x2/y2	128	200	3947.8	4855.4
par-omp4	4	esbmv	U/x2/y2	256	200	3928.9	9937.5
par-omp4	4	esbmv	U/x2/y2	512	200	6668.4	20125.4
par-omp4	4	esbmv	U/x2/y2	1024	200	12148.1	42208.8
par-omp4	4	esbmv	U/x2/y-1	128	200	3891.8	4882.4
par-omp4	4	esbmv	U/x2/y-1	256	200	3853.5	9929.5
