run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	esbmv	U	128	200	3928.9	4839.8
par-omp1	1	esbmv	U	256	200	8157.3	10002.7
par-omp1	1	esbmv	U	512	200	16510.4	20132.8
par-omp1	1	esbmv	U	1024	200	35407.7	40249.8
par-omp1	1	esbmv	U/y2	128	200	3813.9	4733.2
par-omp1	1	esbmv	U/y2	256	200	7810.6	9731.5
par-omp1	1	esbmv	U/y2	512	200	15929.2	19650.6
par-omp1	1	esbmv	U/y2	1024	200	35377.1	41444.0
par-omp1	1	esbmv	U/y-1	128	200	4006.2	4916.2
par-omp1	1	esbmv	U/y-1	256	200	7967.1	10088.1
par-omp1	1	esbmv	U/y-1	512	200	16797.7	20256.3
par-omp1	1	esbmv	U/y-1	1024	200	34030.9	40854.7
par-omp1	1	esbmv	U/x2	128	200	3920.5	4887.8
par-omp1	1	esbmv	U/x2	256	200	8018.3	10016.9
par-omp1	1	esbmv	U/x2	512	200	16307.2	20225.8
par-omp1	1	esbmv	U/x2	1024	200	34428.5	40759.6
par-omp1	1	esbmv	U/x2/y2	128	200	3892.8	4849.3
par-omp1	1	esbmv	U/x2/y2	256	200	8070.7	9921.8
par-omp1	1	esbmv	U/x2/y2	512	200	16564.9	20118.9
par-omp1	1	esbmv	U/x2/y2	1024	200	34643.7	40619.8
par-omp1	1	esbmv	U/x2/y-1	128	200	3903.3	4858.0
par-omp1	1	esbmv	U/x2/y-1	256	200	7983.9	9922.7
par-omp1	1	esbmv	U/x2/y-1	512	200	16224.5	20098.6
par-omp1	1	esbmv	U/x2/y-1	1024	200	34275.4	40593.1
par-omp1	1	esbmv	U/x-1	128	200	3899.4	4860.8
par-omp1	1	esbmv	U/x-1	256	200	7986.4	9978.5
par-omp1	1	esbmv	U/x-1	512	200	16132.5	19751.7
par-omp1	1	esbmv	U/x-1	1024	200	32344.8	38078.3
par-omp1	1	esbmv	U/x-1/y2	128	200	3921.0	4534.1
par-omp1	1	esbmv	U/x-1/y2	256	200	7426.5	9305.0
par-omp1	1	esbmv	U/x-1/y2	512	200	15410.8	19377.9
par-omp1	1	esbmv	U/x-1/y2	1024	200	32180.7	38061.4
par-omp1	1	esbmv	U/x-1/y-1	128	200	3615.8	4669.0
par-omp1	1	esbmv	U/x-1/y-1	256	200	7438.0	9435.6
par-omp1	1	esbmv	U/x-1/y-1	512	200	15278.0	18971.7
par-omp1	1	esbmv	U/x-1/y-1	1024	200	32429.7	38085.1
par-omp1	1	esbmv	L	128	200	3503.4	4768.3
par-omp1	1	esbmv	L	256	200	7151.3	9467.3
par-omp1	1	esbmv	L	512	200	14595.9	19145.0
par-omp1	1	esbmv	L	1024	200	30538.2	39443.8
par-omp1	1	esbmv	L/y2	128	200	3588.4	4712.9
par-omp1	1	esbmv	L/y2	256	200	7374.8	10275.2
par-omp1	1	esbmv	L/y2	512	200	15005.4	19684.1
par-omp1	1	esbmv	L/y2	1024	200	30864.0	39501.5
par-omp1	1	esbmv	L/y-1	128	200	3720.4	4703.2
par-omp1	1	esbmv	L/y-1	256	200	7379.2	9775.5
par-omp1	1	esbmv	L/y-1	512	200	14996.7	19544.6
par-omp1	1	esbmv	L/y-1	1024	200	30943.4	39523.3
par-omp1	1	esbmv	L/x2	128	200	3610.4	4719.6
par-omp1	1	esbmv	L/x2	256	200	7504.6	10009.8
par-omp1	1	esbmv	L/x2	512	200	15007.2	19574.6
par-omp1	1	esbmv	L/x2	1024	200	31184.5	39562.4
par-omp1	1	esbmv	L/x2/y2	128	200	3581.5	4706.3
par-omp1	1	esbmv	L/x2/y2	256	200	7337.3	9647.4
par-omp1	1	esbmv	L/x2/y2	512	200	15099.3	19808.9
par-omp1	1	esbmv	L/x2/y2	1024	200	31286.3	39599.6
par-omp1	1	esbmv	L/x2/y-1	128	200	3593.9	4854.7
par-omp1	1	esbmv	L/x2/y-1	256	200	7358.0	9648.1
par-omp1	1	esbmv	L/x2/y-1	512	200	14943.2	19478.2
par-omp1	1	esbmv	L/x2/y-1	1024	200	31121.5	39347.9
par-omp1	1	esbmv	L/x-1	128	200	3592.1	4868.4
par-omp1	1	esbmv	L/x-1	256	200	7365.2	10242.2
par-omp1	1	esbmv	L/x-1	512	200	15260.7	19575.7
par-omp1	1	esbmv	L/x-1	1024	200	30755.7	39703.7
par-omp1	1	esbmv	L/x-1/y2	128	200	3603.5	4715.1
par-omp1	1	esbmv	L/x-1/y2	256	200	7362.8	9628.5
par-omp1	1	esbmv	L/x-1/y2	512	200	14927.0	19526.9
par-omp1	1	esbmv	L/x-1/y2	1024	200	30727.6	39644.5
par-omp1	1	esbmv	L/x-1/y-1	128	200	3866.4	4755.3
par-omp1	1	esbmv	L/x-1/y-1	256	200	7314.6	9782.8
par-omp1	1	esbmv	L/x-1/y-1	512	200	15008.0	19995.3
par-omp1	1	esbmv	L/x-1/y-1	1024	200	31059.1	40160.2
par-omp4	4	esbmv	U	128	200	4580.0	4809.2
par-omp4	4	esbmv	U	256	200	8047.5	9596.4
par-omp4	4	esbmv	U	512	200	5445.8	19786.2
par-omp4	4	esbmv	U	1024	200	11691.8	39837.0
