run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	xherk	UN	64	14	21597197.0	21323704.3
par-omp1	1	xherk	UN	128	2	161342532.5	168265316.5
par-omp1	1	xherk	UN	256	1	1195560813.0	1308062698.0
par-omp1	1	xherk	UC	64	16	18753948.7	17947363.4
par-omp1	1	xherk	UC	128	3	145893801.7	140294116.3
par-omp1	1	xherk	UC	256	1	1146034682.0	1145386939.0
par-omp1	1	xherk	LN	64	15	20038417.6	21141363.5
par-omp1	1	xherk	LN	128	2	152668318.5	164802087.0
par-omp1	1	xherk	LN	256	1	1175498152.0	1295715950.0
par-omp1	1	xherk	LC	64	17	18605716.4	17912774.7
par-omp1	1	xherk	LC	128	3	145118328.0	140393779.3
par-omp1	1	xherk	LC	256	1	1138684481.0	1108108247.0
par-omp4	4	xherk	UN	64	14	7048933.4	22446295.2
par-omp4	4	xherk	UN	128	2	46996281.7	176148115.0
par-omp4	4	xherk	UN	256	1	333290973.0	1312429784.0
par-omp4	4	xherk	UC	64	17	6932032.6	18611495.1
par-omp4	4	xherk	UC	128	3	46222710.9	146932244.0
par-omp4	4	xherk	UC	256	1	332276532.0	1122610680.0
par-omp4	4	xherk	LN	64	14	5202708.5	22474062.4
par-omp4	4	xherk	LN	128	2	39452609.4	175073963.0
par-omp4	4	xherk	LN	256	1	307202340.0	1306720173.0
par-omp4	4	xherk	LC	64	17	5071011.2	18662242.4
par-omp4	4	xherk	LC	128	3	39034533.6	145942433.3
par-omp4	4	xherk	LC	256	1	303601027.0	1127878318.0
ob-omp1	1	xherk	UN	64	15	19296463.2	21048961.0
ob-omp1	1	xherk	UN	128	2	147065083.7	166252724.5
ob-omp1	1	xherk	UN	256	1	1145393664.0	1299092390.0
ob-omp1	1	xherk	UC	64	16	19262930.9	17938335.2
ob-omp1	1	xherk	UC	128	3	146617090.7	140465564.3
ob-omp1	1	xherk	UC	256	1	1131400390.0	1106259059.0
ob-omp1	1	xherk	LN	64	15	19170443.7	21098994.3
ob-omp1	1	xherk	LN	128	2	150758045.0	165787389.0
ob-omp1	1	xherk	LN	256	1	1131028027.0	1291369266.0
ob-omp1	1	xherk	LC	64	16	19380670.8	17944684.0
ob-omp1	1	xherk	LC	128	3	146780099.7	140321771.0
ob-omp1	1	xherk	LC	256	1	1143796534.0	1110738440.0
ob-omp4	4	xherk	UN	64	14	8920301.1	22346586.4
ob-omp4	4	xherk	UN	128	2	67897156.2	171706719.5
ob-omp4	4	xherk	UN	256	1	524538203.0	1292347277.0
ob-omp4	4	xherk	UC	64	16	8973658.6	19017327.7
ob-omp4	4	xherk	UC	128	3	67775254.6	143872069.7
ob-omp4	4	xherk	UC	256	1	520551087.0	1109444712.0
ob-omp4	4	xherk	LN	64	14	8890446.0	22477472.2
ob-omp4	4	xherk	LN	128	2	67688769.0	173146742.0
ob-omp4	4	xherk	LN	256	1	523767011.0	1302516552.0
ob-omp4	4	xherk	LC	64	16	8957942.9	19000920.4
ob-omp4	4	xherk	LC	128	3	67517780.6	146578423.0
ob-omp4	4	xherk	LC	256	1	522074838.0	1121122858.0
par-omp1	1	xsyrk	UN	64	15	20480337.9	21348297.7
par-omp1	1	xsyrk	UN	128	2	152696628.0	166340150.5
par-omp1	1	xsyrk	UN	256	1	1176851734.0	1300263208.0
par-omp1	1	xsyrk	UT	64	17	18583330.4	18135551.0
par-omp1	1	xsyrk	UT	128	3	144646737.3	142263835.7
par-omp1	1	xsyrk	UT	256	1	1126089794.0	1109881137.0
par-omp1	1	xsyrk	LN	64	15	20447570.1	21388936.5
par-omp1	1	xsyrk	LN	128	2	152644491.5	166632120.0
par-omp1	1	xsyrk	LN	256	1	1156361722.0	1296203512.0
par-omp1	1	xsyrk	LT	64	17	18649804.1	18167510.4
par-omp1	1	xsyrk	LT	128	3	144652799.0	140428970.0
par-omp1	1	xsyrk	LT	256	1	1129050970.0	1116190374.0
par-omp4	4	xsyrk	UN	64	14	7229862.5	22760381.4
par-omp4	4	xsyrk	UN	128	2	47050700.9	172958732.0
par-omp4	4	xsyrk	UN	256	1	333866754.0	1310286369.0
par-omp4	4	xsyrk	UT	64	16	6994601.9	19256724.5
par-omp4	4	xsyrk	UT	128	3	46220039.6	146024087.7
par-omp4	4	xsyrk	UT	256	1	332068599.0	1120902846.0
par-omp4	4	xsyrk	LN	64	14	5283548.4	22213222.8
par-omp4	4	xsyrk	LN	128	2	39840947.6	176455032.0
par-omp4	4	xsyrk	LN	256	1	305690582.0	1324443717.0
par-omp4	4	xsyrk	LT	64	16	5119890.3	18868381.0
par-omp4	4	xsyrk	LT	128	3	39139647.1	146290066.3
par-omp4	4	xsyrk	LT	256	1	302407718.0	1133442480.0
ob-omp1	1	xsyrk	UN	64	15	19588295.1	21317141.9
ob-omp1	1	xsyrk	UN	128	2	153089294.0	167563278.0
