run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	xsymm	LU	64	8	40082649.9	41860916.8
par-omp1	1	xsymm	LU	128	1	300618794.0	316284558.0
par-omp1	1	xsymm	LU	256	1	2312752831.0	2462582065.0
par-omp1	1	xsymm	LL	64	8	38975957.9	40981395.6
par-omp1	1	xsymm	LL	128	1	295352136.0	317342439.0
par-omp1	1	xsymm	LL	256	1	2294844869.0	2499550693.0
par-omp1	1	xsymm	RU	64	7	38298322.8	43886925.7
par-omp1	1	xsymm	RU	128	1	306910194.0	346582219.0
par-omp1	1	xsymm	RU	256	1	2340776641.0	2703788069.0
par-omp1	1	xsymm	RL	64	7	38441047.1	45813564.0
par-omp1	1	xsymm	RL	128	1	306112394.0	340934055.0
par-omp1	1	xsymm	RL	256	1	2314118441.0	2719359956.0
par-omp4	4	xsymm	LU	64	8	10682297.3	42606354.3
par-omp4	4	xsymm	LU	128	1	80201601.5	333956136.0
par-omp4	4	xsymm	LU	256	1	626365734.0	2563590829.0
par-omp4	4	xsymm	LL	64	7	10834513.9	43384849.4
par-omp4	4	xsymm	LL	128	1	83464142.8	338551610.0
par-omp4	4	xsymm	LL	256	1	626119454.0	2516340161.0
par-omp4	4	xsymm	RU	64	7	10541853.4	45256267.7
par-omp4	4	xsymm	RU	128	1	82076902.7	350985019.0
par-omp4	4	xsymm	RU	256	1	636088558.0	2706417392.0
par-omp4	4	xsymm	RL	64	7	10557935.9	45323472.7
par-omp4	4	xsymm	RL	128	1	80791983.7	353202971.0
par-omp4	4	xsymm	RL	256	1	620284862.0	2782625391.0
ob-omp1	1	xsymm	LU	64	8	41343971.6	42834203.0
ob-omp1	1	xsymm	LU	128	1	322461548.0	334414059.0
ob-omp1	1	xsymm	LU	256	1	2351005240.0	2586403641.0
ob-omp1	1	xsymm	LL	64	7	40596027.9	43762758.0
ob-omp1	1	xsymm	LL	128	1	307547001.0	331593952.0
ob-omp1	1	xsymm	LL	256	1	2369705410.0	2517621612.0
ob-omp1	1	xsymm	RU	64	7	40848149.3	45444136.9
ob-omp1	1	xsymm	RU	128	1	317424604.0	356100228.0
ob-omp1	1	xsymm	RU	256	1	2382953621.0	2669703033.0
ob-omp1	1	xsymm	RL	64	7	38651905.6	42974672.6
ob-omp1	1	xsymm	RL	128	1	305696714.0	338181841.0
ob-omp1	1	xsymm	RL	256	1	2389338292.0	2694570845.0
ob-omp4	4	xsymm	LU	64	8	10541637.2	41997698.0
ob-omp4	4	xsymm	LU	128	1	79000339.7	339287635.0
ob-omp4	4	xsymm	LU	256	1	615346236.0	2575083309.0
ob-omp4	4	xsymm	LL	64	8	10551606.2	42623011.8
ob-omp4	4	xsymm	LL	128	1	79377039.8	338104417.0
ob-omp4	4	xsymm	LL	256	1	617670192.0	2541780415.0
ob-omp4	4	xsymm	RU	64	7	10538746.2	45571525.3
ob-omp4	4	xsymm	RU	128	1	79809112.0	348180138.0
ob-omp4	4	xsymm	RU	256	1	621496256.0	2759686683.0
ob-omp4	4	xsymm	RL	64	7	10655253.5	46127996.7
ob-omp4	4	xsymm	RL	128	1	80631278.8	367400869.0
ob-omp4	4	xsymm	RL	256	1	620109714.0	2702861434.0
par-omp1	1	xhemm	LU	64	8	39632552.5	42761851.3
par-omp1	1	xhemm	LU	128	1	305635272.0	327816524.0
par-omp1	1	xhemm	LU	256	1	2416702243.0	2536537637.0
par-omp1	1	xhemm	LL	64	8	38545865.8	41050728.4
par-omp1	1	xhemm	LL	128	1	301680243.0	319422008.0
par-omp1	1	xhemm	LL	256	1	2379802980.0	2522951612.0
par-omp1	1	xhemm	RU	64	7	39989000.6	46934453.9
par-omp1	1	xhemm	RU	128	1	316254461.0	358598858.0
par-omp1	1	xhemm	RU	256	1	2444159993.0	2732724795.0
par-omp1	1	xhemm	RL	64	7	40106866.4	43510079.7
par-omp1	1	xhemm	RL	128	1	309057122.0	335912014.0
par-omp1	1	xhemm	RL	256	1	2374593456.0	2682621794.0
par-omp4	4	xhemm	LU	64	7	10675506.0	43617989.4
par-omp4	4	xhemm	LU	128	1	78494254.7	337030696.0
par-omp4	4	xhemm	LU	256	1	622755458.0	2539866327.0
par-omp4	4	xhemm	LL	64	7	10651043.0	42920318.7
par-omp4	4	xhemm	LL	128	1	79450590.0	334301932.0
par-omp4	4	xhemm	LL	256	1	612023024.0	2523790374.0
par-omp4	4	xhemm	RU	64	7	10336125.3	44827104.4
par-omp4	4	xhemm	RU	128	1	79081170.7	360721987.0
par-omp4	4	xhemm	RU	256	1	609149990.0	2704850284.0
par-omp4	4	xhemm	RL	64	7	10378758.0	45376699.1
par-omp4	4	xhemm	RL	128	1	80548001.7	348811349.0
par-omp4	4	xhemm	RL	256	1	622639725.0	2720298641.0
ob-omp1	1	xhemm	LU	64	8	41519825.1	41330417.5
ob-omp1	1	xhemm	LU	128	1	317383142.0	318454173.0
ob-omp1	1	xhemm	LU	256	1	2409208716.0	2502406620.0
ob-omp1	1	xhemm	LL	64	8	39253272.7	41557455.9
ob-omp1	1	xhemm	LL	128	1	300766492.5	323606669.0
ob-omp1	1	xhemm	LL	256	1	2390371719.0	2499758563.0
ob-omp1	1	xhemm	RU	64	7	39748801.1	43252113.6
ob-omp1	1	xhemm	RU	128	1	307460397.0	341630324.0
ob-omp1	1	xhemm	RU	256	1	2382360417.0	2673190509.0
ob-omp1	1	xhemm	RL	64	7	39741291.0	43406732.7
ob-omp1	1	xhemm	RL	128	1	302956021.0	340688196.0
ob-omp1	1	xhemm	RL	256	1	2371786216.0	2751676679.0
ob-omp4	4	xhemm	LU	64	8	10520900.1	42781602.9
ob-omp4	4	xhemm	LU	128	1	79619385.0	336849184.0
ob-omp4	4	xhemm	LU	256	1	625906354.0	2526890079.0
ob-omp4	4	xhemm	LL	64	8	10714440.1	42140973.4
ob-omp4	4	xhemm	LL	128	1	82012586.2	332977188.0
ob-omp4	4	xhemm	LL	256	1	620189683.0	2538412118.0
ob-omp4	4	xhemm	RU	64	7	10512901.9	44955686.3
ob-omp4	4	xhemm	RU	128	1	80254444.2	357019693.0
ob-omp4	4	xhemm	RU	256	1	619588793.0	2700209091.0
ob-omp4	4	xhemm	RL	64	7	10639843.8	45157874.7
ob-omp4	4	xhemm	RL	128	1	79323396.8	354462102.0
ob-omp4	4	xhemm	RL	256	1	621812452.0	2697938668.0
par-omp1	1	xsymm	LU	64	8	38810274.7	41216060.1
par-omp1	1	xsymm	LU	128	1	301427340.0	325148186.0
par-omp1	1	xsymm	LU	256	1	2345763135.0	2569436799.0
par-omp1	1	xsymm	LL	64	8	38789857.4	41741718.9
par-omp1	1	xsymm	LL	128	1	295761361.5	329383573.0
par-omp1	1	xsymm	LL	256	1	2357181224.0	2540152241.0
par-omp1	1	xsymm	RU	64	7	40788423.0	44924857.7
par-omp1	1	xsymm	RU	128	1	305194617.0	337994235.0
par-omp1	1	xsymm	RU	256	1	2371442144.0	2802555547.0
par-omp1	1	xsymm	RL	64	7	38531250.0	44273956.4
