run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	qswap	-	64	200	108.9	42.0
par-omp1	1	qswap	-	128	200	71.6	69.5
par-omp1	1	qswap	-	256	200	130.3	131.9
par-omp1	1	qswap	-	512	200	246.6	245.8
par-omp1	1	qswap	-	1024	200	636.0	597.2
par-omp1	1	qswap	-	2048	200	1319.7	1165.6
par-omp1	1	qswap	-	4096	200	2589.9	2596.3
par-omp1	1	qswap	-	16384	200	13624.8	12819.2
par-omp1	1	qswap	-	65536	200	54930.6	53720.4
par-omp4	4	qswap	-	64	200	45.3	44.1
par-omp4	4	qswap	-	128	200	75.0	72.8
par-omp4	4	qswap	-	256	200	136.2	136.7
par-omp4	4	qswap	-	512	200	258.2	289.5
par-omp4	4	qswap	-	1024	200	562.5	559.7
par-omp4	4	qswap	-	2048	200	1253.6	1266.7
par-omp4	4	qswap	-	4096	200	2568.0	2555.3
par-omp4	4	qswap	-	16384	200	8923.4	12368.7
par-omp4	4	qswap	-	65536	200	33594.5	54956.6
ob-omp1	1	qswap	-	64	200	45.7	43.6
ob-omp1	1	qswap	-	128	200	75.1	72.6
ob-omp1	1	qswap	-	256	200	138.0	136.7
ob-omp1	1	qswap	-	512	200	258.8	256.3
ob-omp1	1	qswap	-	1024	200	563.3	559.6
ob-omp1	1	qswap	-	2048	200	1219.1	1216.5
ob-omp1	1	qswap	-	4096	200	2590.7	2576.6
ob-omp1	1	qswap	-	16384	200	12999.9	12891.6
ob-omp1	1	qswap	-	65536	200	53711.4	53617.2
ob-omp4	4	qswap	-	64	200	46.6	44.9
ob-omp4	4	qswap	-	128	200	74.9	72.5
ob-omp4	4	qswap	-	256	200	136.8	137.6
ob-omp4	4	qswap	-	512	200	258.4	256.3
ob-omp4	4	qswap	-	1024	200	584.9	559.7
ob-omp4	4	qswap	-	2048	200	1216.7	1217.6
ob-omp4	4	qswap	-	4096	200	2534.6	2514.5
ob-omp4	4	qswap	-	16384	200	8760.7	12457.8
ob-omp4	4	qswap	-	65536	200	33560.6	52373.6
par-omp1	1	qswap	-	64	200	46.1	44.0
par-omp1	1	qswap	-	128	200	74.7	72.8
par-omp1	1	qswap	-	256	200	136.8	138.0
par-omp1	1	qswap	-	512	200	258.2	256.9
par-omp1	1	qswap	-	1024	200	560.8	558.5
par-omp1	1	qswap	-	2048	200	1235.0	1215.3
par-omp1	1	qswap	-	4096	200	2535.4	2563.8
par-omp1	1	qswap	-	16384	200	13106.8	12920.4
par-omp1	1	qswap	-	65536	200	53709.2	53607.5
par-omp4	4	qswap	-	64	200	45.4	44.2
par-omp4	4	qswap	-	128	200	75.4	73.1
par-omp4	4	qswap	-	256	200	136.1	137.5
par-omp4	4	qswap	-	512	200	258.2	256.7
par-omp4	4	qswap	-	1024	200	589.2	561.3
par-omp4	4	qswap	-	2048	200	1222.8	1234.6
par-omp4	4	qswap	-	4096	200	2555.0	2602.6
par-omp4	4	qswap	-	16384	200	8961.8	12880.8
