run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	qswap	-	64	200	79.7	79.0
par-omp1	1	qswap	-	128	200	132.1	131.0
par-omp1	1	qswap	-	256	200	246.6	247.3
par-omp1	1	qswap	-	512	200	461.9	460.4
par-omp1	1	qswap	-	1024	200	1119.2	1019.8
par-omp1	1	qswap	-	2048	200	2350.4	2269.5
par-omp1	1	qswap	-	4096	200	2508.5	2505.8
par-omp1	1	qswap	-	16384	200	13062.2	13037.5
par-omp1	1	qswap	-	65536	200	53390.3	53672.4
par-omp4	4	qswap	-	64	200	44.6	44.1
par-omp4	4	qswap	-	128	200	73.8	73.2
par-omp4	4	qswap	-	256	200	136.1	137.0
par-omp4	4	qswap	-	512	200	257.6	257.0
par-omp4	4	qswap	-	1024	200	562.9	580.4
par-omp4	4	qswap	-	2048	200	1220.4	1217.2
par-omp4	4	qswap	-	4096	200	2506.2	2495.8
par-omp4	4	qswap	-	16384	200	9777.1	12874.6
par-omp4	4	qswap	-	65536	200	37349.8	53543.7
ob-omp1	1	qswap	-	64	200	45.3	44.0
ob-omp1	1	qswap	-	128	200	74.8	72.9
ob-omp1	1	qswap	-	256	200	138.5	137.3
ob-omp1	1	qswap	-	512	200	258.3	257.2
ob-omp1	1	qswap	-	1024	200	564.1	558.8
ob-omp1	1	qswap	-	2048	200	1230.4	1229.7
ob-omp1	1	qswap	-	4096	200	2607.4	2571.7
ob-omp1	1	qswap	-	16384	200	13028.2	12872.0
ob-omp1	1	qswap	-	65536	200	53877.3	53618.1
ob-omp4	4	qswap	-	64	200	46.1	45.2
ob-omp4	4	qswap	-	128	200	75.3	73.0
ob-omp4	4	qswap	-	256	200	138.3	138.2
ob-omp4	4	qswap	-	512	200	282.6	258.3
ob-omp4	4	qswap	-	1024	200	561.5	560.3
ob-omp4	4	qswap	-	2048	200	1264.1	1226.3
ob-omp4	4	qswap	-	4096	200	2622.8	2606.0
ob-omp4	4	qswap	-	16384	200	8821.2	12193.3
ob-omp4	4	qswap	-	65536	200	33020.2	51906.6
par-omp1	1	qswap	-	64	200	44.6	44.0
par-omp1	1	qswap	-	128	200	74.0	72.8
par-omp1	1	qswap	-	256	200	135.9	137.7
par-omp1	1	qswap	-	512	200	258.0	258.8
par-omp1	1	qswap	-	1024	200	561.9	558.7
par-omp1	1	qswap	-	2048	200	1227.0	1224.3
par-omp1	1	qswap	-	4096	200	2526.6	2524.2
par-omp1	1	qswap	-	16384	200	12958.7	12909.4
par-omp1	1	qswap	-	65536	200	53573.3	53535.4
par-omp4	4	qswap	-	64	200	45.2	43.8
par-omp4	4	qswap	-	128	200	73.7	73.7
par-omp4	4	qswap	-	256	200	137.5	137.4
par-omp4	4	qswap	-	512	200	257.9	257.4
par-omp4	4	qswap	-	1024	200	560.5	559.7
par-omp4	4	qswap	-	2048	200	1235.5	1215.8
par-omp4	4	qswap	-	4096	200	2482.2	2466.5
