run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	wgemmtr	UNN	64	47	1053146.5	6410251.9
par-omp1	1	wgemmtr	UNN	128	6	6520487.4	57385854.8
par-omp1	1	wgemmtr	UNN	256	1	41754928.0	408313560.0
par-omp1	1	wgemmtr	UNT	64	46	931959.6	6630389.1
par-omp1	1	wgemmtr	UNT	128	6	5783632.9	51960227.7
par-omp1	1	wgemmtr	UNT	256	1	41749605.5	411896648.0
par-omp1	1	wgemmtr	UNC	64	46	927733.9	6534625.1
par-omp1	1	wgemmtr	UNC	128	6	5900317.7	51132118.3
par-omp1	1	wgemmtr	UNC	256	1	42208121.6	411268246.0
par-omp1	1	wgemmtr	UTN	64	46	851533.5	6567141.0
par-omp1	1	wgemmtr	UTN	128	6	5501338.3	50448634.2
par-omp1	1	wgemmtr	UTN	256	1	40503962.0	414285751.0
par-omp1	1	wgemmtr	UTT	64	46	892960.7	6548959.7
par-omp1	1	wgemmtr	UTT	128	6	5976220.5	52715898.3
par-omp1	1	wgemmtr	UTT	256	1	41650328.1	422968444.0
par-omp1	1	wgemmtr	UTC	64	45	854505.8	6746706.4
par-omp1	1	wgemmtr	UTC	128	6	6118506.7	54427799.2
par-omp1	1	wgemmtr	UTC	256	1	40800120.1	450424485.0
par-omp1	1	wgemmtr	UCN	64	45	851611.4	6699842.3
par-omp1	1	wgemmtr	UCN	128	6	5683410.1	52643113.0
par-omp1	1	wgemmtr	UCN	256	1	80766948.5	809630610.0
par-omp1	1	wgemmtr	UCT	64	23	1726725.1	13094667.0
par-omp1	1	wgemmtr	UCT	128	3	11830325.3	106191831.0
par-omp1	1	wgemmtr	UCT	256	1	83618331.8	853394395.0
par-omp1	1	wgemmtr	UCC	64	21	1727891.3	14549691.8
par-omp1	1	wgemmtr	UCC	128	3	11871753.8	116100541.3
par-omp1	1	wgemmtr	UCC	256	1	82185492.7	915355899.0
par-omp1	1	wgemmtr	LNN	64	24	1809515.5	12873028.1
par-omp1	1	wgemmtr	LNN	128	4	11123352.3	100055161.8
par-omp1	1	wgemmtr	LNN	256	1	79877081.5	778308213.0
par-omp1	1	wgemmtr	LNT	64	23	1843261.0	13066658.1
par-omp1	1	wgemmtr	LNT	128	3	11641761.4	103811624.7
par-omp1	1	wgemmtr	LNT	256	1	80572973.0	795495098.0
par-omp1	1	wgemmtr	LNC	64	24	1863712.3	12536794.2
par-omp1	1	wgemmtr	LNC	128	3	11926718.7	102712450.3
par-omp1	1	wgemmtr	LNC	256	1	78404002.8	796838610.0
par-omp1	1	wgemmtr	LTN	64	24	1650003.2	12812309.9
par-omp1	1	wgemmtr	LTN	128	4	10724764.9	99172596.7
par-omp1	1	wgemmtr	LTN	256	1	79040863.0	795021253.0
par-omp1	1	wgemmtr	LTT	64	24	1716508.7	12604328.0
par-omp1	1	wgemmtr	LTT	128	3	11866811.5	105896721.7
par-omp1	1	wgemmtr	LTT	256	1	81676848.8	820443735.0
par-omp1	1	wgemmtr	LTC	64	24	1687805.8	13166674.9
par-omp1	1	wgemmtr	LTC	128	3	11862363.2	109980655.3
par-omp1	1	wgemmtr	LTC	256	1	87258341.5	881465065.0
par-omp1	1	wgemmtr	LCN	64	23	1716980.0	13207298.7
par-omp1	1	wgemmtr	LCN	128	3	11175016.4	103297888.3
par-omp1	1	wgemmtr	LCN	256	1	80719727.7	813758056.0
par-omp1	1	wgemmtr	LCT	64	23	1660404.7	13355157.3
par-omp1	1	wgemmtr	LCT	128	3	11829319.5	107970911.3
par-omp1	1	wgemmtr	LCT	256	1	82784778.5	865603320.0
par-omp1	1	wgemmtr	LCC	64	22	1724965.5	13957676.0
par-omp1	1	wgemmtr	LCC	128	3	11866065.2	111774166.0
par-omp1	1	wgemmtr	LCC	256	1	83674951.5	919014226.0
par-omp4	4	wgemmtr	UNN	64	46	430648.3	6676243.7
par-omp4	4	wgemmtr	UNN	128	6	2471831.5	52017617.3
par-omp4	4	wgemmtr	UNN	256	1	14830298.8	406973787.0
par-omp4	4	wgemmtr	UNT	64	45	392751.0	6682569.3
par-omp4	4	wgemmtr	UNT	128	6	2222775.1	52495468.3
par-omp4	4	wgemmtr	UNT	256	1	14248792.5	416580156.0
par-omp4	4	wgemmtr	UNC	64	45	389555.4	6816079.2
par-omp4	4	wgemmtr	UNC	128	6	2337426.9	53865354.8
par-omp4	4	wgemmtr	UNC	256	1	14585232.1	417030049.0
par-omp4	4	wgemmtr	UTN	64	46	358765.7	6533751.1
par-omp4	4	wgemmtr	UTN	128	6	2088782.0	51461338.5
par-omp4	4	wgemmtr	UTN	256	1	14531303.3	403661258.1
par-omp4	4	wgemmtr	UTT	64	46	363592.5	6555371.1
par-omp4	4	wgemmtr	UTT	128	6	2246228.3	52168992.2
par-omp4	4	wgemmtr	UTT	256	1	14307437.5	424496468.0
par-omp4	4	wgemmtr	UTC	64	44	369296.0	6866181.2
par-omp4	4	wgemmtr	UTC	128	6	2391968.5	55200410.8
par-omp4	4	wgemmtr	UTC	256	1	14825410.3	451216312.0
par-omp4	4	wgemmtr	UCN	64	45	372668.9	6682296.3
par-omp4	4	wgemmtr	UCN	128	6	2107094.3	52804697.0
par-omp4	4	wgemmtr	UCN	256	1	14062341.7	414411101.0
par-omp4	4	wgemmtr	UCT	64	45	373068.0	6712601.2
par-omp4	4	wgemmtr	UCT	128	6	2251441.7	55611749.0
par-omp4	4	wgemmtr	UCT	256	1	15498404.7	438223401.0
par-omp4	4	wgemmtr	UCC	64	41	381005.7	7358140.1
par-omp4	4	wgemmtr	UCC	128	6	2403882.3	58697214.2
par-omp4	4	wgemmtr	UCC	256	1	15078605.4	464663019.0
par-omp4	4	wgemmtr	LNN	64	46	347340.3	6638231.6
par-omp4	4	wgemmtr	LNN	128	6	2002571.3	51287800.0
par-omp4	4	wgemmtr	LNN	256	1	13535606.7	410080925.0
par-omp4	4	wgemmtr	LNT	64	46	366047.4	6620367.6
par-omp4	4	wgemmtr	LNT	128	6	2104389.1	52045904.0
par-omp4	4	wgemmtr	LNT	256	1	12666036.9	408126902.0
par-omp4	4	wgemmtr	LNC	64	46	354259.7	6583634.4
par-omp4	4	wgemmtr	LNC	128	6	2009015.5	52144402.0
par-omp4	4	wgemmtr	LNC	256	1	14034474.5	402637092.0
par-omp4	4	wgemmtr	LTN	64	46	320120.4	6604251.8
par-omp4	4	wgemmtr	LTN	128	6	2131656.5	50686654.0
par-omp4	4	wgemmtr	LTN	256	1	12932595.5	408154708.0
par-omp4	4	wgemmtr	LTT	64	47	323652.7	6468322.2
par-omp4	4	wgemmtr	LTT	128	6	2074549.1	52581248.5
par-omp4	4	wgemmtr	LTT	256	1	13947142.2	419094051.0
par-omp4	4	wgemmtr	LTC	64	45	325309.9	6718300.3
par-omp4	4	wgemmtr	LTC	128	6	2075528.0	56688350.5
par-omp4	4	wgemmtr	LTC	256	1	13777560.0	441765259.0
par-omp4	4	wgemmtr	LCN	64	45	332271.7	6774410.3
par-omp4	4	wgemmtr	LCN	128	6	1965422.3	52706469.0
par-omp4	4	wgemmtr	LCN	256	1	13605230.7	416132648.0
par-omp4	4	wgemmtr	LCT	64	45	325067.8	6708530.3
par-omp4	4	wgemmtr	LCT	128	6	2831548.1	55285532.3
par-omp4	4	wgemmtr	LCT	256	1	14154420.4	440198930.0
par-omp4	4	wgemmtr	LCC	64	41	411923.9	7343403.7
par-omp4	4	wgemmtr	LCC	128	6	2550659.4	58998195.0
par-omp4	4	wgemmtr	LCC	256	1	14242916.4	470517328.0
ob-omp1	1	wgemmtr	UNN	64	24	6242564.0	12781324.6
ob-omp1	1	wgemmtr	UNN	128	3	48272074.0	102056487.3
ob-omp1	1	wgemmtr	UNN	256	1	379244544.0	802565765.0
ob-omp1	1	wgemmtr	UNT	64	24	5984734.0	13014503.8
ob-omp1	1	wgemmtr	UNT	128	3	47139886.6	101644870.0
ob-omp1	1	wgemmtr	UNT	256	1	367407357.0	804034113.0
ob-omp1	1	wgemmtr	UNC	64	23	6012818.7	13077039.6
ob-omp1	1	wgemmtr	UNC	128	3	46461274.9	103210883.0
ob-omp1	1	wgemmtr	UNC	256	1	367953854.0	810641349.0
ob-omp1	1	wgemmtr	UTN	64	24	6384394.9	12993685.0
ob-omp1	1	wgemmtr	UTN	128	3	47889520.7	102150382.3
ob-omp1	1	wgemmtr	UTN	256	1	389274594.0	794549751.0
ob-omp1	1	wgemmtr	UTT	64	24	6751673.8	12878513.5
ob-omp1	1	wgemmtr	UTT	128	3	65238771.8	105072098.3
ob-omp1	1	wgemmtr	UTT	256	1	514917537.0	847733571.0
ob-omp1	1	wgemmtr	UTC	64	23	6732835.4	13412728.4
ob-omp1	1	wgemmtr	UTC	128	3	63815436.8	112045064.3
ob-omp1	1	wgemmtr	UTC	256	1	518310392.0	881842242.0
ob-omp1	1	wgemmtr	UCN	64	23	6343582.0	13071249.7
ob-omp1	1	wgemmtr	UCN	128	3	48035100.6	103325143.7
ob-omp1	1	wgemmtr	UCN	256	1	387986956.0	808405452.0
ob-omp1	1	wgemmtr	UCT	64	23	6371239.1	13579488.7
ob-omp1	1	wgemmtr	UCT	128	3	62882063.4	107767417.0
ob-omp1	1	wgemmtr	UCT	256	1	521059239.0	854293622.0
ob-omp1	1	wgemmtr	UCC	64	21	6504893.6	14437264.1
ob-omp1	1	wgemmtr	UCC	128	3	63620351.6	114257245.3
ob-omp1	1	wgemmtr	UCC	256	1	521287588.0	934277851.0
ob-omp1	1	wgemmtr	LNN	64	24	6253193.8	12964046.8
ob-omp1	1	wgemmtr	LNN	128	4	47760371.3	100758065.0
ob-omp1	1	wgemmtr	LNN	256	1	378450360.0	791585785.0
ob-omp1	1	wgemmtr	LNT	64	24	5978437.7	12803773.7
ob-omp1	1	wgemmtr	LNT	128	3	47800954.9	104259940.0
ob-omp1	1	wgemmtr	LNT	256	1	377138986.0	801398878.0
ob-omp1	1	wgemmtr	LNC	64	23	6152524.4	13108335.1
ob-omp1	1	wgemmtr	LNC	128	3	47895070.0	102545650.7
ob-omp1	1	wgemmtr	LNC	256	1	377787186.0	815086610.0
ob-omp1	1	wgemmtr	LTN	64	24	6259047.0	12830628.2
ob-omp1	1	wgemmtr	LTN	128	3	49105962.0	101226757.0
ob-omp1	1	wgemmtr	LTN	256	1	196541603.5	407228589.0
ob-omp1	1	wgemmtr	LTT	64	46	3389391.3	6555011.8
ob-omp1	1	wgemmtr	LTT	128	6	32983006.3	52783227.5
ob-omp1	1	wgemmtr	LTT	256	1	261745640.5	413102624.0
ob-omp1	1	wgemmtr	LTC	64	44	3444783.8	6820133.2
ob-omp1	1	wgemmtr	LTC	128	6	33222410.2	55646383.7
ob-omp1	1	wgemmtr	LTC	256	1	266865908.5	449981132.0
ob-omp1	1	wgemmtr	LCN	64	46	3214875.6	6623486.5
ob-omp1	1	wgemmtr	LCN	128	6	24749310.7	52719801.2
ob-omp1	1	wgemmtr	LCN	256	1	232536592.5	428368849.0
ob-omp1	1	wgemmtr	LCT	64	45	3383814.9	6679698.6
ob-omp1	1	wgemmtr	LCT	128	6	32565896.7	55280194.5
ob-omp1	1	wgemmtr	LCT	256	1	264726505.0	442915423.0
ob-omp1	1	wgemmtr	LCC	64	42	3318872.5	7188618.8
ob-omp1	1	wgemmtr	LCC	128	6	32815250.8	57313832.0
ob-omp1	1	wgemmtr	LCC	256	1	262009981.0	472486720.0
ob-omp4	4	wgemmtr	UNN	64	46	3175634.0	6602268.0
ob-omp4	4	wgemmtr	UNN	128	6	38780311.3	51294779.8
ob-omp4	4	wgemmtr	UNN	256	1	107244474.3	409254701.0
ob-omp4	4	wgemmtr	UNT	64	46	4631682.6	6537584.5
ob-omp4	4	wgemmtr	UNT	128	6	23781205.5	50532513.0
ob-omp4	4	wgemmtr	UNT	256	1	188024929.5	403708446.0
ob-omp4	4	wgemmtr	UNC	64	46	3121552.6	6577657.7
ob-omp4	4	wgemmtr	UNC	128	6	24272638.8	51539262.5
ob-omp4	4	wgemmtr	UNC	256	1	189590082.0	408173749.0
ob-omp4	4	wgemmtr	UTN	64	45	3170152.2	6756349.4
ob-omp4	4	wgemmtr	UTN	128	6	15770302.1	51177221.3
ob-omp4	4	wgemmtr	UTN	256	1	106708676.0	404090102.0
ob-omp4	4	wgemmtr	UTT	64	46	3342896.6	6556411.5
ob-omp4	4	wgemmtr	UTT	128	6	32733387.7	53476070.7
ob-omp4	4	wgemmtr	UTT	256	1	261810045.5	518473734.0
ob-omp4	4	wgemmtr	UTC	64	45	3323301.1	6676333.6
ob-omp4	4	wgemmtr	UTC	128	5	32048027.8	73216960.0
ob-omp4	4	wgemmtr	UTC	256	1	266586769.5	447586385.0
ob-omp4	4	wgemmtr	UCN	64	45	3204641.2	6711683.9
ob-omp4	4	wgemmtr	UCN	128	6	27364254.2	52944115.8
ob-omp4	4	wgemmtr	UCN	256	1	207674028.0	416007221.0
ob-omp4	4	wgemmtr	UCT	64	45	3377948.2	6716471.6
ob-omp4	4	wgemmtr	UCT	128	6	32729674.9	55117089.0
ob-omp4	4	wgemmtr	UCT	256	1	265484127.5	480910259.0
ob-omp4	4	wgemmtr	UCC	64	41	5195490.8	7327324.7
ob-omp4	4	wgemmtr	UCC	128	6	32037410.5	57255583.8
ob-omp4	4	wgemmtr	UCC	256	1	259315848.5	466807006.0
ob-omp4	4	wgemmtr	LNN	64	47	3146039.6	6471381.1
